"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-28",164,"2020-09-01",,0,,380,65,"-"
"2020-06-29",189,"2020-09-01",,0,,380,64,"-"
"2020-06-30",189,"2020-09-01",,0,,380,63,"-"
"2020-07-01",189,"2020-09-01",,0,,380,62,"-"
"2020-07-02",189,"2020-09-01",,0,,380,61,"-"
"2020-07-03",189,"2020-09-01",,0,,380,60,"-"
"2020-07-04",189,"2020-09-01",,0,,380,59,"-"
"2020-07-05",189,"2020-09-01",,0,,380,58,"-"
"2020-07-07",189,"2020-09-01",,0,,380,56,"-"
"2020-07-08",189,"2020-09-01",,0,,380,55,"-"
"2020-07-09",190,"2020-09-01",,0,,380,54,"-"
"2020-07-10",190,"2020-09-01",,0,,380,53,"-"
"2020-07-11",190,"2020-09-01",,0,,380,52,"-"
"2020-07-13",191,"2020-09-01",,0,,380,50,"-"
"2020-07-14",192,"2020-09-01",,0,,380,49,"-"
"2020-07-16",197,"2020-09-01",,0,,380,47,"-"
"2020-07-17",202,"2020-09-01",,0,,380,46,"-"
"2020-07-18",204,"2020-09-01",,0,,380,45,"-"
"2020-07-20",211,"2020-09-01",,0,,380,43,"-"
"2020-07-21",211,"2020-09-01",,0,,380,42,"-"
"2020-07-22",212,"2020-09-01",,0,,380,41,"-"
"2020-07-23",214,"2020-09-01",,0,,380,40,"-"
"2020-07-24",215,"2020-09-01",,0,,380,39,"-"
"2020-07-25",219,"2020-09-01",,0,,380,38,"-"
"2020-07-26",219,"2020-09-01",,0,,380,37,"-"
"2020-07-28",222,"2020-09-01",,0,,380,35,"-"
"2020-07-29",222,"2020-09-01",,0,,380,34,"-"
"2020-07-30",224,"2020-09-01",,0,,380,33,"-"
"2020-07-31",225,"2020-09-01",,0,,380,32,"-"
"2020-08-03",250,"2020-09-01",,0,,380,29,"-"
"2020-08-04",251,"2020-09-01",,0,,380,28,"-"
"2020-08-05",257,"2020-09-01",,0,,380,27,"-"
"2020-08-06",258,"2020-09-01",,0,,380,26,"-"
"2020-08-07",263,"2020-09-01",,0,,380,25,"-"
"2020-08-08",267,"2020-09-01",,0,,380,24,"-"
"2020-08-09",269,"2020-09-01",,0,,380,23,"-"
"2020-08-10",278,"2020-09-01",,0,,380,22,"-"
"2020-08-11",277,"2020-09-01",,0,,380,21,"-"
"2020-08-12",290,"2020-09-01",,0,,380,20,"-"
"2020-08-13",292,"2020-09-01",,0,,380,19,"-"
"2020-08-14",295,"2020-09-01",,0,,380,18,"-"
"2020-08-15",303,"2020-09-01",,0,,380,17,"-"
"2020-08-16",314,"2020-09-01",,0,,380,16,"-"
"2020-08-17",318,"2020-09-01",,0,,380,15,"-"
"2020-08-18",337,"2020-09-01",,0,,380,14,"-"
"2020-08-19",342,"2020-09-01",,0,,380,13,"-"
"2020-08-20",361,"2020-09-01",,0,,380,12,"-"
"2020-08-21",367,"2020-09-01",,0,,380,11,"-"
"2020-08-22",374,"2020-09-01",,0,,380,10,"-"
"2020-08-23",384,"2020-09-02",,0,,387,10,"-"
"2020-08-24",390,"2020-09-03",,0,,401,10,"-"
"2020-08-25",392,"2020-09-03",,0,,401,9,"-"
"2020-08-26",395,"2020-09-03",,0,,401,8,"-"
"2020-08-27",400,"2020-09-03",,0,,401,7,"-"
"2020-08-28",412,"2020-09-06",,0,,413,9,"-"
"2020-08-29",420,"2020-09-08",,0,,428,10,"-"
"2020-08-30",433,"2020-09-09",,0,,440,10,"-"
"2020-08-31",449,"2020-09-10",,0,,455,10,"-"
"2020-09-01",460,"2020-09-11",1,0,380,466,10,"-1.16%"
"2020-09-02",482,"2020-09-13",1,0,387,482,11,"-1.05%"
"2020-09-03",491,"2020-09-14",2,0,401,523,11,"-1.64%"
"2020-09-04",538,"2020-09-16",2,0,401,543,12,"-1.41%"
"2020-09-05",559,"2020-09-23",2,2,408,586,18,"0.%"
"2020-09-06",570,"2020-09-23",2,2,413,586,17,"0.%"
"2020-09-07",577,"2020-09-23",2,2,418,586,16,"0.%"
"2020-09-08",602,"2020-09-24",2,2,428,620,16,"0.%"
"2020-09-09",634,"2020-09-25",2,2,440,664,16,"0.%"
"2020-09-10",642,"2020-09-25",2,2,455,664,15,"0.%"
"2020-09-11",682,"2020-09-27",2,2,466,684,16,"0.%"
"2020-09-12",694,"2020-09-27",2,2,470,708,15,"0.%"
"2020-09-13",707,"2020-09-27",2,2,482,708,14,"0.%"
"2020-09-14",724,"2020-09-29",2,3,523,797,15,".36%"
"2020-09-15",765,"2020-09-29",2,3,525,797,14,".37%"
"2020-09-16",781,"2020-09-29",2,3,543,797,13,".39%"
"2020-09-17",802,"2020-09-30",2,3,543,842,13,".33%"
"2020-09-18",832,"2020-09-30",2,3,547,842,12,".34%"
"2020-09-19",832,"2020-09-30",0,3,546,842,11,"1.01%"
"2020-09-20",832,"2020-09-30",2,3,548,842,10,".34%"
"2020-09-21",848,"2020-10-01",2,3,548,848,10,".33%"
"2020-09-22",896,"2020-10-03",2,3,554,902,11,".29%"
"2020-09-23",913,"2020-10-04",2,3,586,915,11,".3%"
"2020-09-24",913,"2020-10-04",2,3,620,915,10,".34%"
"2020-09-25",942,"2020-10-05",2,3,664,948,10,".35%"
"2020-09-26",972,"2020-10-06",2,4,668,975,10,".65%"
"2020-09-27",998,"2020-10-07",2,4,708,1005,10,".67%"
"2020-09-28",1048,"2020-10-11",2,6,684,1057,13,"1.07%"
"2020-09-29",1057,"2020-10-11",3,6,797,1057,12,"1.15%"
"2020-09-30",1133,"2020-10-15",3,7,842,1149,15,"1.3%"
"2020-10-01",1156,"2020-10-16",3,7,848,1169,15,"1.25%"
"2020-10-02",1164,"2020-10-16",3,7,881,1169,14,"1.39%"
"2020-10-03",1186,"2020-10-17",3,7,902,1199,14,"1.35%"
"2020-10-04",1201,"2020-10-18",3,7,915,1220,14,"1.31%"
"2020-10-05",1223,"2020-10-19",3,7,948,1251,14,"1.32%"
"2020-10-06",1241,"2020-10-19",4,7,975,1251,13,"1.09%"
"2020-10-07",1264,"2020-10-20",4,7,1005,1268,13,"1.14%"
"2020-10-08",1300,"2020-10-22",4,7,1010,1312,14,".99%"
"2020-10-09",1327,"2020-10-24",4,10,1016,1344,15,"1.83%"
"2020-10-10",1350,"2020-10-26",5,10,1043,1388,16,"1.45%"
"2020-10-11",1369,"2020-10-26",6,10,1057,1388,15,"1.21%"
"2020-10-12",1409,"2020-10-27",6,10,1074,1465,15,"1.02%"
"2020-10-13",1356,"2020-10-26",6,10,1091,1388,13,"1.35%"
"2020-10-14",1374,"2020-10-26",6,10,1122,1388,12,"1.5%"
"2020-10-15",1438,"2020-10-27",7,10,1149,1465,12,".95%"
"2020-10-16",1466,"2020-10-28",7,10,1169,1501,12,".9%"
"2020-10-17",1507,"2020-10-29",7,11,1199,1530,12,"1.21%"
"2020-10-18",1561,"2020-10-31",7,11,1220,1610,13,"1.03%"
"2020-10-19",1616,"2020-11-01",7,11,1251,1632,13,"1.05%"
"2020-10-20",1670,"2020-11-02",7,11,1268,1678,13,".98%"
"2020-10-21",1721,"2020-11-06",7,12,1294,1754,16,"1.09%"
"2020-10-22",1741,"2020-11-06",7,12,1312,1754,15,"1.13%"
"2020-10-23",1787,"2020-11-08",7,12,1322,1809,16,"1.03%"
"2020-10-24",1799,"2020-11-08",10,12,1344,1809,15,".43%"
"2020-10-25",1805,"2020-11-08",10,12,1344,1809,14,".43%"
"2020-10-26",1818,"2020-11-09",10,12,1388,1818,14,".47%"
"2020-10-27",1836,"2020-11-11",10,13,1465,1856,15,".77%"
"2020-10-28",1862,"2020-11-12",10,13,1501,1888,15,".78%"
"2020-10-29",1893,"2020-11-13",11,13,1530,1898,15,".54%"
"2020-10-30",1900,"2020-11-15",11,15,1554,1906,16,"1.14%"
"2020-10-31",1925,"2020-11-17",11,15,1610,1942,17,"1.2%"
"2020-11-01",1933,"2020-11-17",11,15,1632,1942,16,"1.29%"
"2020-11-02",1966,"2020-11-18",11,16,1678,2041,16,"1.38%"
"2020-11-03",1972,"2020-11-18",11,16,1687,2041,15,"1.41%"
"2020-11-04",1986,"2020-11-18",11,16,1703,2041,14,"1.48%"
"2020-11-05",2007,"2020-11-18",11,16,1717,2041,13,"1.54%"
"2020-11-06",2034,"2020-11-18",12,16,1754,2041,12,"1.39%"
"2020-11-07",2055,"2020-11-20",12,16,1778,2108,13,"1.21%"
"2020-11-08",2108,"2020-11-20",12,16,1809,2108,12,"1.34%"
"2020-11-09",2136,"2020-11-22",12,17,1818,2160,13,"1.46%"
"2020-11-10",2151,"2020-11-22",12,17,1832,2160,12,"1.52%"
"2020-11-11",2160,"2020-11-22",13,17,1856,2160,11,"1.32%"
"2020-11-12",2185,"2020-11-23",13,17,1888,2209,11,"1.25%"
"2020-11-13",2215,"2020-11-24",13,17,1898,2240,11,"1.17%"
"2020-11-14",2221,"2020-11-24",14,17,1899,2240,10,".88%"
"2020-11-15",2243,"2020-11-26",15,18,1906,2284,11,".79%"
"2020-11-16",2253,"2020-11-26",15,18,1922,2284,10,".83%"
"2020-11-17",2273,"2020-11-26",15,18,1942,2284,9,".88%"
