"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-02-05",5425,"2021-04-12",62,77,5102,5468,66,"4.1%"
"2021-02-06",5427,"2021-04-12",62,77,5102,5468,65,"4.1%"
"2021-02-07",5429,"2021-04-12",62,77,5103,5468,64,"4.11%"
"2021-02-08",5429,"2021-04-12",62,77,5105,5468,63,"4.13%"
"2021-02-09",5429,"2021-04-12",62,77,5111,5468,62,"4.2%"
"2021-02-10",5432,"2021-04-12",62,77,5126,5468,61,"4.39%"
"2021-02-11",5434,"2021-04-12",62,77,5131,5468,60,"4.45%"
"2021-02-12",5435,"2021-04-12",62,77,5132,5468,59,"4.46%"
"2021-02-13",5437,"2021-04-12",62,77,5132,5468,58,"4.46%"
"2021-02-14",5439,"2021-04-12",62,77,5132,5468,57,"4.46%"
"2021-02-15",5440,"2021-04-12",62,77,5134,5468,56,"4.49%"
"2021-02-16",5441,"2021-04-12",62,77,5138,5468,55,"4.55%"
"2021-02-17",5443,"2021-04-12",62,77,5138,5468,54,"4.55%"
"2021-02-19",5444,"2021-04-12",62,77,5138,5468,52,"4.55%"
"2021-02-20",5446,"2021-04-12",62,77,5138,5468,51,"4.55%"
"2021-02-22",5448,"2021-04-12",62,77,5142,5468,49,"4.6%"
"2021-02-23",5449,"2021-04-12",62,77,5142,5468,48,"4.6%"
"2021-02-24",5453,"2021-04-12",62,77,5142,5468,47,"4.6%"
"2021-02-25",5455,"2021-04-12",62,77,5143,5468,46,"4.62%"
"2021-02-26",5458,"2021-04-12",62,77,5144,5468,45,"4.63%"
"2021-02-28",5458,"2021-04-12",62,77,5147,5468,43,"4.67%"
"2021-03-01",5458,"2021-04-12",62,77,5148,5468,42,"4.69%"
"2021-03-02",5463,"2021-04-12",62,77,5148,5468,41,"4.69%"
"2021-03-03",5465,"2021-04-12",62,77,5148,5468,40,"4.69%"
"2021-03-04",5467,"2021-04-12",62,77,5149,5468,39,"4.7%"
"2021-03-05",5468,"2021-04-12",62,77,5151,5468,38,"4.73%"
"2021-03-06",5474,"2021-04-14",62,79,5151,5544,39,"4.33%"
"2021-03-07",5476,"2021-04-14",62,79,5151,5544,38,"4.33%"
"2021-03-08",5480,"2021-04-14",62,79,5155,5544,37,"4.37%"
