"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-12",8054,"2021-03-26",126,130,7871,8060,14,"2.12%"
"2021-03-13",8058,"2021-03-26",126,130,7871,8060,13,"2.12%"
"2021-03-14",8062,"2021-03-27",126,130,7871,8076,13,"1.95%"
"2021-03-15",8081,"2021-03-30",127,135,7872,8110,15,"3.36%"
"2021-03-16",8098,"2021-03-30",128,135,7875,8110,14,"2.98%"
"2021-03-17",8119,"2021-03-31",128,138,7884,8134,14,"4.%"
"2021-03-18",8141,"2021-04-01",128,140,7893,8201,14,"3.9%"
"2021-03-19",8160,"2021-04-01",128,140,7895,8201,13,"3.92%"
"2021-03-20",8185,"2021-04-01",128,140,7897,8201,12,"3.95%"
"2021-03-21",8202,"2021-04-02",128,143,7897,8213,12,"4.75%"
"2021-03-22",8241,"2021-04-03",128,146,7958,8292,12,"5.39%"
"2021-03-23",8271,"2021-04-03",129,146,7975,8292,11,"5.36%"
"2021-03-24",8347,"2021-04-06",130,147,7983,8471,13,"3.48%"
"2021-03-25",8392,"2021-04-06",130,147,8039,8471,12,"3.94%"
"2021-03-26",8462,"2021-04-06",130,147,8060,8471,11,"4.14%"
"2021-03-27",8554,"2021-04-09",130,152,8076,8640,13,"3.9%"
"2021-03-28",8624,"2021-04-09",130,152,8076,8640,12,"3.9%"
"2021-03-29",8664,"2021-04-11",130,159,8076,8812,13,"3.94%"
"2021-03-30",8783,"2021-04-11",135,159,8110,8812,12,"3.42%"
"2021-03-31",8912,"2021-04-12",138,165,8134,8919,12,"3.44%"
"2021-04-01",9094,"2021-04-14",140,169,8201,9171,13,"2.99%"
"2021-04-02",9282,"2021-04-15",143,171,8213,9347,13,"2.47%"
"2021-04-03",9585,"2021-04-17",146,176,8292,9832,14,"1.95%"
"2021-04-04",9822,"2021-04-17",146,176,8293,9832,13,"1.95%"
"2021-04-05",10160,"2021-04-18",147,176,8322,11136,13,"1.03%"
"2021-04-06",10628,"2021-04-18",147,176,8471,11136,12,"1.09%"
"2021-04-07",11035,"2021-04-18",147,176,8524,11136,11,"1.11%"
"2021-04-08",11552,"2021-04-20",150,178,8552,11822,12,".86%"
"2021-04-09",12100,"2021-04-22",152,186,8640,12431,13,".9%"
"2021-04-10",12633,"2021-04-23",155,190,8653,12838,13,".84%"
"2021-04-11",12987,"2021-04-24",159,193,8812,13052,13,".8%"
