"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-11",3153,"2020-11-20",16,18,2852,3210,9,".56%"
"2020-11-12",3189,"2020-11-20",16,18,2887,3210,8,".62%"
"2020-11-13",3217,"2020-11-21",16,18,2919,3320,8,".5%"
"2020-11-14",3217,"2020-11-21",17,18,2920,3320,7,".25%"
"2020-11-15",3224,"2020-11-21",17,18,2992,3320,6,".3%"
"2020-11-16",3230,"2020-11-21",18,18,3013,3320,5,"0.%"
"2020-11-17",3262,"2020-11-21",18,18,3050,3320,4,"0.%"
"2020-11-18",3288,"2020-11-21",18,18,3076,3320,3,"0.%"
"2020-11-19",3314,"2020-11-21",18,18,3076,3320,2,"0.%"
"2020-11-20",3324,"2020-11-22",18,19,3210,3334,2,".81%"
"2020-11-21",3355,"2020-11-23",18,19,3320,3397,2,"1.3%"
"2020-11-22",3371,"2020-11-23",19,19,3334,3397,1,"0.%"
"2020-11-23",3397,"2020-11-23",19,19,3397,3397,0,"-"
"2020-11-24",3426,"2020-11-27",19,20,3400,3427,3,"3.7%"
"2020-11-25",3462,"2020-11-30",19,20,3400,3484,5,"1.19%"
"2020-11-26",3479,"2020-11-30",19,20,3418,3484,4,"1.52%"
"2020-11-27",3498,"2020-12-01",20,21,3427,3499,4,"1.39%"
"2020-11-28",3512,"2020-12-26",20,21,3449,3531,28,"1.22%"
"2020-11-29",3528,"2020-12-26",20,21,3449,3531,27,"1.22%"
"2020-11-30",3542,"2020-12-28",20,21,3484,3545,28,"1.64%"
"2020-12-01",3559,"2021-01-04",21,22,3499,3566,34,"1.49%"
"2020-12-26",3566,"2021-01-04",21,22,3531,3566,9,"2.86%"
"2020-12-27",3571,"2021-01-06",21,22,3539,3575,10,"2.78%"
"2020-12-28",3582,"2021-01-08",21,22,3545,3587,11,"2.38%"
"2020-12-29",3592,"2021-01-10",21,22,3550,3598,12,"2.08%"
"2020-12-30",3602,"2021-01-11",21,22,3554,3605,12,"1.96%"
"2020-12-31",3603,"2021-01-11",21,22,3554,3605,11,"1.96%"
"2021-01-01",3606,"2021-01-12",21,22,3554,3609,11,"1.82%"
