"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-14",1831,"2020-12-26",2,2,1777,1832,42,"0.%"
"2020-11-15",1832,"2020-12-26",2,2,1777,1832,41,"0.%"
"2020-11-16",1833,"2020-12-31",2,2,1784,1834,45,"0.%"
"2020-11-17",1836,"2021-01-02",2,2,1785,1840,46,"0.%"
"2020-11-18",1842,"2021-01-05",2,2,1787,1845,48,"0.%"
"2020-11-19",1845,"2021-01-05",2,2,1791,1845,47,"0.%"
"2020-11-20",1848,"2021-01-18",2,2,1797,1850,59,"0.%"
"2020-11-21",1851,"2021-01-19",2,2,1803,1851,59,"0.%"
"2020-11-22",1851,"2021-01-19",2,2,1804,1851,58,"0.%"
"2020-11-23",1854,"2021-01-21",2,2,1806,1854,59,"0.%"
"2020-11-24",1857,"2021-01-22",2,2,1806,1858,59,"0.%"
"2020-11-25",1859,"2021-01-25",2,2,1806,1859,61,"0.%"
"2020-11-26",1860,"2021-01-27",2,2,1807,1879,62,"0.%"
"2020-11-27",1861,"2021-01-27",2,2,1811,1879,61,"0.%"
"2020-11-28",1862,"2021-01-27",2,2,1819,1879,60,"0.%"
"2020-11-29",1863,"2021-01-27",2,2,1819,1879,59,"0.%"
"2020-11-30",1864,"2021-01-27",2,2,1827,1879,58,"0.%"
"2020-12-01",1864,"2021-01-27",2,2,1828,1879,57,"0.%"
"2020-12-26",1865,"2021-01-27",2,2,1832,1879,32,"0.%"
"2020-12-27",1867,"2021-01-27",2,2,1832,1879,31,"0.%"
"2020-12-31",1868,"2021-01-27",2,2,1834,1879,27,"0.%"
"2021-01-01",1869,"2021-01-27",2,2,1834,1879,26,"0.%"
"2021-01-02",1869,"2021-01-27",2,2,1840,1879,25,"0.%"
"2021-01-04",1870,"2021-01-27",2,2,1841,1879,23,"0.%"
"2021-01-05",1870,"2021-01-27",2,2,1845,1879,22,"0.%"
"2021-01-08",1873,"2021-01-27",2,2,1845,1879,19,"0.%"
"2021-01-09",1876,"2021-01-27",2,2,1845,1879,18,"0.%"
"2021-01-10",1876,"2021-01-27",2,2,1846,1879,17,"0.%"
"2021-01-11",1877,"2021-01-27",2,2,1846,1879,16,"0.%"
"2021-01-12",1880,"2021-01-28",2,2,1846,1920,16,"0.%"
"2021-01-16",1881,"2021-01-28",2,2,1846,1920,12,"0.%"
"2021-01-17",1882,"2021-01-28",2,2,1847,1920,11,"0.%"
"2021-01-18",1883,"2021-01-28",2,2,1850,1920,10,"0.%"
"2021-01-19",1883,"2021-01-28",2,2,1851,1920,9,"0.%"
"2021-01-20",1883,"2021-01-28",2,2,1853,1920,8,"0.%"
"2021-01-21",1885,"2021-01-28",2,2,1854,1920,7,"0.%"
"2021-01-22",1886,"2021-01-28",2,2,1858,1920,6,"0.%"
"2021-01-24",1887,"2021-01-28",2,2,1858,1920,4,"0.%"
"2021-01-25",1888,"2021-01-28",2,2,1859,1920,3,"0.%"
"2021-01-27",1888,"2021-01-28",2,2,1879,1920,1,"0.%"
"2021-01-28",1914,"2021-01-28",2,2,1920,1920,0,"-"
"2021-01-30",1915,"2021-01-30",2,2,1920,1920,0,"-"
"2021-02-01",1915,"2021-02-01",2,2,1921,1921,0,"-"
"2021-02-08",1916,"2021-02-08",2,2,1921,1921,0,"-"
"2021-02-09",1917,"2021-02-09",2,2,1921,1921,0,"-"
"2021-02-11",1917,"2021-02-11",2,2,1923,1923,0,"-"
"2021-02-16",1918,"2021-02-16",2,2,1923,1923,0,"-"
"2021-02-17",1919,"2021-02-17",2,2,1923,1923,0,"-"
"2021-02-19",1920,"2021-02-19",2,2,1924,1924,0,"-"
"2021-02-23",1921,"2021-02-23",2,2,1924,1924,0,"-"
"2021-02-24",1922,"2021-02-24",2,2,1924,1924,0,"-"
"2021-02-26",1922,"2021-02-26",2,2,1925,1925,0,"-"
"2021-02-27",1922,"2021-02-27",2,2,1926,1926,0,"-"
"2021-03-05",1922,"2021-03-05",2,2,1928,1928,0,"-"
"2021-03-06",1923,"2021-03-06",2,2,1928,1928,0,"-"
"2021-03-15",1925,"2021-03-15",2,2,1928,1928,0,"-"
"2021-03-16",1926,"2021-03-16",2,2,1929,1929,0,"-"
"2021-03-17",1928,"2021-03-17",2,2,1929,1929,0,"-"
"2021-03-18",1929,"2021-03-18",2,2,1929,1929,0,"-"
"2021-03-19",1931,"2021-03-25",2,2,1929,1931,6,"0.%"
"2021-03-21",1932,"2021-03-27",2,2,1929,1935,6,"0.%"
"2021-03-22",1933,"2021-03-27",2,2,1929,1935,5,"0.%"
"2021-03-23",1934,"2021-03-27",2,2,1929,1935,4,"0.%"
"2021-03-24",1937,"2021-03-30",2,2,1929,1938,6,"0.%"
"2021-03-25",1937,"2021-03-30",2,2,1931,1938,5,"0.%"
"2021-03-26",1939,"2021-04-04",2,2,1931,1941,9,"0.%"
"2021-03-27",1943,"2021-04-06",2,2,1935,1943,10,"0.%"
"2021-03-28",1944,"2021-04-07",2,2,1935,1946,10,"0.%"
"2021-03-30",1946,"2021-04-07",2,2,1938,1946,8,"0.%"
"2021-03-31",1950,"2021-04-10",2,2,1938,1954,10,"0.%"
"2021-04-01",1957,"2021-04-11",2,2,1938,1961,10,"0.%"
"2021-04-02",1964,"2021-04-12",2,2,1938,1966,10,"0.%"
"2021-04-03",1966,"2021-04-12",2,2,1938,1966,9,"0.%"
"2021-04-04",1972,"2021-04-15",2,2,1941,1976,11,"0.%"
"2021-04-05",1975,"2021-04-15",2,2,1941,1976,10,"0.%"
"2021-04-06",1980,"2021-04-16",2,2,1943,1983,10,"0.%"
"2021-04-07",1999,"2021-04-18",2,2,1946,2004,11,"0.%"
"2021-04-08",2001,"2021-04-18",2,2,1946,2004,10,"0.%"
"2021-04-09",2011,"2021-04-20",2,2,1946,2016,11,"0.%"
"2021-04-10",2011,"2021-04-20",2,2,1954,2016,10,"0.%"
"2021-04-11",2022,"2021-04-21",2,2,1961,2028,10,"0.%"
"2021-04-12",2034,"2021-04-22",2,2,1966,2037,10,"0.%"
"2021-04-13",2043,"2021-04-23",2,2,1968,2050,10,"0.%"
"2021-04-14",2060,"2021-04-24",2,2,1970,2068,10,"0.%"
"2021-04-15",2076,"2021-04-25",2,2,1976,2081,10,"0.%"
"2021-04-16",2089,"2021-04-26",2,2,1983,2091,10,"0.%"
"2021-04-17",2108,"2021-04-28",2,2,1996,2115,11,"0.%"
"2021-04-18",2119,"2021-04-29",2,2,2004,2120,11,"0.%"
"2021-04-19",2132,"2021-04-30",2,2,2006,2145,11,"0.%"
"2021-04-20",2155,"2021-05-01",2,2,2016,2164,11,"0.%"
"2021-04-21",2168,"2021-05-02",2,2,2028,2181,11,"0.%"
"2021-04-22",2194,"2021-05-04",2,2,2037,2214,12,"0.%"
"2021-04-23",2212,"2021-05-04",2,2,2050,2214,11,"0.%"
"2021-04-24",2238,"2021-05-06",2,3,2068,2259,12,".52%"
"2021-04-25",2251,"2021-05-06",2,3,2081,2259,11,".56%"
"2021-04-26",2284,"2021-05-08",2,5,2091,2297,12,"1.46%"
"2021-04-27",2309,"2021-05-09",2,7,2099,2323,12,"2.23%"
"2021-04-28",2326,"2021-05-10",2,9,2115,2363,12,"2.82%"
"2021-04-29",2348,"2021-05-10",2,9,2120,2363,11,"2.88%"
