"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-19",10814,"2020-10-30",119,135,9019,10962,11,".82%"
"2020-10-20",11096,"2020-10-31",120,144,9280,11200,11,"1.25%"
"2020-10-21",11343,"2020-11-01",120,146,9423,11386,11,"1.32%"
"2020-10-22",11582,"2020-11-03",120,152,9632,11718,12,"1.53%"
"2020-10-23",11764,"2020-11-04",122,153,9740,11790,12,"1.51%"
"2020-10-24",11939,"2020-11-06",126,158,9936,12015,13,"1.54%"
"2020-10-25",12026,"2020-11-07",129,164,10123,12174,13,"1.71%"
"2020-10-26",12176,"2020-11-08",130,166,10254,12364,13,"1.71%"
"2020-10-27",12382,"2020-11-09",131,169,10453,12697,13,"1.69%"
"2020-10-28",12617,"2020-11-09",135,169,10568,12697,12,"1.6%"
"2020-10-29",12742,"2020-11-10",135,171,10810,12858,12,"1.76%"
"2020-10-30",13027,"2020-11-12",135,178,10962,13263,13,"1.87%"
"2020-10-31",13220,"2020-11-12",144,178,11200,13263,12,"1.65%"
"2020-11-01",13484,"2020-11-14",146,184,11386,13572,13,"1.74%"
"2020-11-02",13674,"2020-11-15",150,188,11411,13678,13,"1.68%"
"2020-11-03",13864,"2020-11-16",152,198,11718,13893,13,"2.11%"
"2020-11-04",14070,"2020-11-18",153,210,11790,14156,14,"2.41%"
"2020-11-05",14248,"2020-11-19",154,210,11893,14283,14,"2.34%"
"2020-11-06",14419,"2020-11-20",158,218,12015,14499,14,"2.42%"
"2020-11-07",14509,"2020-11-21",164,221,12174,14625,14,"2.33%"
"2020-11-08",14704,"2020-11-23",166,222,12364,14864,15,"2.24%"
"2020-11-09",14842,"2020-11-23",169,222,12697,14864,14,"2.45%"
"2020-11-10",15010,"2020-11-26",171,231,12858,15724,16,"2.09%"
"2020-11-11",15174,"2020-11-26",176,231,12972,15724,15,"2.%"
"2020-11-12",15389,"2020-11-26",178,231,13263,15724,14,"2.15%"
"2020-11-13",15504,"2020-11-26",183,231,13469,15724,13,"2.13%"
"2020-11-14",15572,"2020-11-26",184,231,13572,15724,12,"2.18%"
"2020-11-15",15630,"2020-11-26",188,231,13678,15724,11,"2.1%"
"2020-11-16",15756,"2020-11-27",198,232,13893,16223,11,"1.46%"
"2020-11-17",15994,"2020-11-27",204,232,14032,16223,10,"1.28%"
"2020-11-18",16213,"2020-11-27",210,232,14156,16223,9,"1.06%"
"2020-11-19",16467,"2020-11-28",210,234,14283,17314,9,".79%"
"2020-11-20",16708,"2020-11-28",218,234,14499,17314,8,".57%"
"2020-11-21",16932,"2020-11-28",221,234,14625,17314,7,".48%"
"2020-11-22",17116,"2020-11-28",222,234,14691,17314,6,".46%"
"2020-11-23",17284,"2020-11-28",222,234,14864,17314,5,".49%"
"2020-11-24",17451,"2020-11-29",227,235,14993,17637,5,".3%"
"2020-11-25",17629,"2020-11-29",227,235,14993,17637,4,".3%"
"2020-11-26",17796,"2020-11-30",231,241,15724,17901,4,".46%"
"2020-11-27",17961,"2020-12-01",232,245,16223,18239,4,".64%"
"2020-11-28",18085,"2020-12-01",234,245,17314,18239,3,"1.19%"
"2020-11-29",18186,"2020-12-01",235,245,17637,18239,2,"1.66%"
"2020-11-30",18290,"2020-12-26",241,246,17901,18320,26,"1.19%"
"2020-12-01",18383,"2020-12-27",245,246,18239,18418,26,".56%"
"2020-12-26",18463,"2020-12-28",246,249,18320,18515,2,"1.54%"
"2020-12-27",18512,"2020-12-28",246,249,18418,18515,1,"3.09%"
"2020-12-28",18587,"2020-12-29",249,249,18515,18602,1,"0.%"
"2020-12-29",18655,"2020-12-30",249,250,18602,18706,1,".96%"
"2020-12-30",18730,"2021-01-01",250,252,18706,18805,2,"2.02%"
"2020-12-31",18779,"2021-01-01",252,252,18728,18805,1,"0.%"
"2021-01-01",18833,"2021-01-02",252,252,18805,18885,1,"0.%"
"2021-01-02",18901,"2021-01-03",252,252,18885,18954,1,"0.%"
"2021-01-03",18926,"2021-01-03",252,252,18954,18954,0,"-"
"2021-01-04",18987,"2021-01-04",254,254,19027,19027,0,"-"
"2021-01-05",19041,"2021-01-05",256,256,19102,19102,0,"-"
"2021-01-06",19098,"2021-01-06",258,258,19140,19140,0,"-"
"2021-01-07",19178,"2021-01-07",258,258,19190,19190,0,"-"
"2021-01-08",19247,"2021-01-09",258,259,19228,19301,1,"1.37%"
"2021-01-09",19310,"2021-01-10",259,260,19301,19353,1,"1.92%"
"2021-01-10",19352,"2021-01-10",260,260,19353,19353,0,"-"
"2021-01-11",19414,"2021-01-11",260,260,19418,19418,0,"-"
"2021-01-12",19461,"2021-01-12",261,261,19471,19471,0,"-"
"2021-01-13",19472,"2021-01-13",261,261,19501,19501,0,"-"
"2021-01-14",19487,"2021-01-14",262,262,19578,19578,0,"-"
"2021-01-15",19519,"2021-01-15",263,263,19645,19645,0,"-"
"2021-01-16",19583,"2021-01-16",263,263,19650,19650,0,"-"
"2021-01-17",19600,"2021-01-17",264,264,19699,19699,0,"-"
"2021-01-18",19624,"2021-01-18",265,265,19768,19768,0,"-"
"2021-01-19",19656,"2021-01-19",267,267,19803,19803,0,"-"
"2021-01-20",19703,"2021-01-20",268,268,19837,19837,0,"-"
"2021-01-21",19754,"2021-01-21",268,268,19844,19844,0,"-"
"2021-01-22",19784,"2021-01-22",268,268,19854,19854,0,"-"
"2021-01-23",19819,"2021-01-23",268,268,19898,19898,0,"-"
"2021-01-24",19832,"2021-01-24",269,269,19919,19919,0,"-"
"2021-01-25",19862,"2021-01-25",269,269,19937,19937,0,"-"
"2021-01-26",19887,"2021-01-26",272,272,19968,19968,0,"-"
"2021-01-27",19920,"2021-01-27",272,272,19998,19998,0,"-"
"2021-01-28",21225,"2021-02-02",276,281,21100,21231,5,"3.82%"
"2021-01-29",21252,"2021-02-04",276,281,21122,21272,6,"3.33%"
"2021-01-30",21283,"2021-02-05",277,282,21153,21288,6,"3.7%"
"2021-01-31",21298,"2021-02-06",280,283,21196,21308,6,"2.68%"
"2021-02-01",21309,"2021-02-07",281,284,21212,21327,6,"2.61%"
"2021-02-02",21322,"2021-02-07",281,284,21231,21327,5,"3.12%"
"2021-02-03",21342,"2021-02-09",281,284,21244,21364,6,"2.5%"
"2021-02-04",21367,"2021-02-10",281,284,21272,21373,6,"2.97%"
"2021-02-05",21390,"2021-02-11",282,284,21288,21456,6,"1.19%"
"2021-02-06",21401,"2021-02-11",283,284,21308,21456,5,".68%"
"2021-02-07",21414,"2021-02-11",285,284,21327,21456,4,"-.78%"
"2021-02-08",21432,"2021-02-11",285,284,21341,21456,3,"-.87%"
"2021-02-09",21457,"2021-02-12",285,284,21364,21483,3,"-.84%"
"2021-02-10",21471,"2021-02-12",284,284,21373,21483,2,"0.%"
"2021-02-11",21501,"2021-02-13",284,284,21456,21521,2,"0.%"
"2021-02-12",21511,"2021-02-13",284,284,21483,21521,1,"0.%"
"2021-02-13",21534,"2021-02-15",284,285,21521,21552,2,"3.23%"
"2021-02-14",21543,"2021-02-15",284,285,21527,21552,1,"4.%"
"2021-02-15",21553,"2021-02-16",285,285,21552,21562,1,"0.%"
"2021-02-16",21567,"2021-02-17",285,285,21562,21578,1,"0.%"
"2021-02-17",21575,"2021-02-17",285,285,21578,21578,0,"-"
"2021-02-18",21592,"2021-02-19",285,285,21591,21622,1,"0.%"
"2021-02-19",21606,"2021-02-19",285,285,21622,21622,0,"-"
"2021-02-20",21615,"2021-02-20",285,285,21651,21651,0,"-"
"2021-02-21",21624,"2021-02-21",285,285,21665,21665,0,"-"
"2021-02-22",21637,"2021-02-22",285,285,21678,21678,0,"-"
"2021-02-23",21645,"2021-02-23",285,285,21687,21687,0,"-"
"2021-02-24",21655,"2021-02-24",285,285,21688,21688,0,"-"
"2021-02-25",21664,"2021-02-25",285,285,21697,21697,0,"-"
"2021-02-26",21669,"2021-02-26",286,286,21704,21704,0,"-"
"2021-02-27",21679,"2021-02-27",286,286,21709,21709,0,"-"
"2021-02-28",21692,"2021-02-28",286,286,21721,21721,0,"-"
"2021-03-01",21698,"2021-03-01",286,286,21726,21726,0,"-"
"2021-03-02",21700,"2021-03-02",286,286,21758,21758,0,"-"
"2021-03-03",21712,"2021-03-03",286,286,21766,21766,0,"-"
"2021-03-04",21723,"2021-03-04",287,287,21772,21772,0,"-"
"2021-03-05",21730,"2021-03-05",287,287,21823,21823,0,"-"
"2021-03-06",21733,"2021-03-06",287,287,21840,21840,0,"-"
"2021-03-07",21738,"2021-03-07",287,287,21855,21855,0,"-"
"2021-03-08",21743,"2021-03-08",287,287,21868,21868,0,"-"
"2021-03-09",21751,"2021-03-09",287,287,21869,21869,0,"-"
"2021-03-10",21752,"2021-03-10",288,288,21879,21879,0,"-"
"2021-03-11",21757,"2021-03-11",288,288,21881,21881,0,"-"
"2021-03-12",21764,"2021-03-12",289,289,21890,21890,0,"-"
"2021-03-13",21767,"2021-03-13",290,290,21895,21895,0,"-"
"2021-03-14",21774,"2021-03-14",291,291,21896,21896,0,"-"
"2021-03-15",21787,"2021-03-15",291,291,21900,21900,0,"-"
"2021-03-16",21811,"2021-03-16",292,292,21904,21904,0,"-"
"2021-03-17",21829,"2021-03-17",292,292,21907,21907,0,"-"
"2021-03-18",21839,"2021-03-18",292,292,21908,21908,0,"-"
"2021-03-19",21852,"2021-03-19",293,293,21911,21911,0,"-"
"2021-03-20",21875,"2021-03-20",293,293,21919,21919,0,"-"
"2021-03-21",21891,"2021-03-21",293,293,21922,21922,0,"-"
"2021-03-22",21909,"2021-03-22",293,293,21925,21925,0,"-"
"2021-03-23",21937,"2021-03-24",293,294,21936,21939,1,"33.33%"
"2021-03-24",21953,"2021-03-25",294,295,21939,21975,1,"2.78%"
"2021-03-25",21979,"2021-03-26",295,295,21975,21992,1,"0.%"
"2021-03-26",21996,"2021-03-27",295,295,21992,22010,1,"0.%"
"2021-03-27",22033,"2021-03-31",295,297,22010,22043,4,"6.06%"
"2021-03-28",22051,"2021-04-01",295,297,22014,22052,4,"5.26%"
"2021-03-29",22058,"2021-04-02",295,297,22014,22076,4,"3.23%"
"2021-03-30",22127,"2021-04-06",295,297,22031,22132,7,"1.98%"
"2021-03-31",22190,"2021-04-08",297,301,22043,22238,8,"2.05%"
"2021-04-01",22266,"2021-04-09",297,301,22052,22300,8,"1.61%"
"2021-04-02",22369,"2021-04-10",297,302,22076,22375,8,"1.67%"
"2021-04-03",22453,"2021-04-11",297,305,22084,22469,8,"2.08%"
"2021-04-04",22571,"2021-04-13",297,319,22107,22657,9,"4.%"
"2021-04-05",22728,"2021-04-15",297,324,22116,22922,10,"3.35%"
"2021-04-06",22917,"2021-04-15",297,324,22132,22922,9,"3.42%"
