"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-13",819,"2020-07-25",3,18,388,822,12,"3.46%"
"2020-07-14",836,"2020-07-26",4,19,414,935,12,"2.88%"
"2020-07-15",913,"2020-07-26",4,19,414,935,11,"2.88%"
"2020-07-16",970,"2020-07-27",4,20,466,1023,11,"2.87%"
"2020-07-17",1097,"2020-07-28",6,20,469,1143,11,"2.08%"
"2020-07-18",1122,"2020-07-28",6,20,539,1143,10,"2.32%"
"2020-07-19",1167,"2020-07-29",6,22,551,1254,10,"2.28%"
"2020-07-20",1247,"2020-07-29",9,22,611,1254,9,"2.02%"
"2020-07-21",1309,"2020-07-30",10,23,694,1361,9,"1.95%"
"2020-07-22",1397,"2020-07-31",10,25,707,1485,9,"1.93%"
"2020-07-23",1602,"2020-08-01",14,26,729,1690,9,"1.25%"
"2020-07-24",1849,"2020-08-03",15,31,793,1972,10,"1.36%"
"2020-07-25",1983,"2020-08-04",18,34,822,2153,10,"1.2%"
"2020-07-26",2182,"2020-08-05",19,35,935,2250,10,"1.22%"
"2020-07-27",2361,"2020-08-06",20,38,1023,2363,10,"1.34%"
"2020-07-28",2519,"2020-08-08",20,44,1143,2534,11,"1.73%"
"2020-07-29",2654,"2020-08-09",22,45,1254,2661,11,"1.63%"
"2020-07-30",2758,"2020-08-11",23,47,1361,2780,12,"1.69%"
"2020-07-31",2942,"2020-08-13",25,57,1485,2957,13,"2.17%"
"2020-08-01",3040,"2020-08-14",26,68,1690,3042,13,"3.11%"
"2020-08-02",3107,"2020-08-15",29,71,1845,3125,13,"3.28%"
"2020-08-03",3176,"2020-08-17",31,79,1972,3375,14,"3.42%"
"2020-08-04",3333,"2020-08-17",34,79,2153,3375,13,"3.68%"
"2020-08-05",3475,"2020-08-19",35,89,2250,3546,14,"4.17%"
"2020-08-06",3668,"2020-08-20",38,93,2363,3828,14,"3.75%"
"2020-08-07",3829,"2020-08-21",42,98,2455,3908,14,"3.85%"
"2020-08-08",3974,"2020-08-22",44,102,2534,3995,14,"3.97%"
"2020-08-09",4083,"2020-08-23",45,105,2661,4111,14,"4.14%"
"2020-08-10",4302,"2020-08-25",45,118,2721,4345,15,"4.5%"
"2020-08-11",4407,"2020-08-26",47,123,2780,4476,15,"4.48%"
"2020-08-12",4589,"2020-08-27",50,133,2890,4724,15,"4.53%"
"2020-08-13",4784,"2020-08-28",57,137,2957,4882,15,"4.16%"
"2020-08-14",4968,"2020-08-29",68,139,3042,5073,15,"3.5%"
"2020-08-15",5185,"2020-08-30",71,144,3125,5202,15,"3.51%"
"2020-08-16",5431,"2020-09-01",76,150,3160,5500,16,"3.16%"
"2020-08-17",5621,"2020-09-02",79,155,3375,5634,16,"3.36%"
"2020-08-18",5888,"2020-09-04",86,177,3442,6040,17,"3.5%"
"2020-08-19",6208,"2020-09-05",89,187,3546,6297,17,"3.56%"
"2020-08-20",6549,"2020-09-06",93,200,3828,6638,17,"3.81%"
"2020-08-21",6885,"2020-09-07",98,207,3908,6952,17,"3.58%"
"2020-08-22",7120,"2020-09-09",102,218,3995,7442,18,"3.37%"
"2020-08-23",7360,"2020-09-09",105,218,4111,7442,17,"3.39%"
"2020-08-24",7658,"2020-09-10",112,223,4240,7675,17,"3.23%"
"2020-08-25",8113,"2020-09-12",118,240,4345,8124,18,"3.23%"
"2020-08-26",8731,"2020-09-13",123,261,4476,10848,18,"2.17%"
"2020-08-27",9224,"2020-09-13",133,261,4724,10848,17,"2.09%"
"2020-08-28",9672,"2020-09-13",137,261,4882,10848,16,"2.08%"
"2020-08-29",10302,"2020-09-13",139,261,5073,10848,15,"2.11%"
"2020-08-30",10971,"2020-09-14",144,268,5202,11180,15,"2.07%"
"2020-08-31",11329,"2020-09-15",147,278,5396,11649,15,"2.09%"
"2020-09-01",11995,"2020-09-16",150,288,5500,12252,15,"2.04%"
"2020-09-02",12973,"2020-09-17",155,296,5634,15448,15,"1.44%"
"2020-09-03",13685,"2020-09-17",164,296,5871,15448,14,"1.38%"
"2020-09-04",14618,"2020-09-17",177,296,6040,15448,13,"1.26%"
"2020-09-05",15496,"2020-09-18",187,301,6297,16965,13,"1.07%"
"2020-09-06",16207,"2020-09-18",200,301,6638,16965,12,".98%"
"2020-09-07",16861,"2020-09-18",207,301,6952,16965,11,".94%"
"2020-09-08",17649,"2020-09-19",212,310,7070,17856,11,".91%"
"2020-09-09",18655,"2020-09-22",218,339,7442,19256,13,"1.02%"
"2020-09-10",19520,"2020-09-23",223,347,7675,19572,13,"1.04%"
"2020-09-11",20460,"2020-09-25",239,373,7908,20654,14,"1.05%"
"2020-09-12",21224,"2020-09-26",240,387,8124,21410,14,"1.11%"
"2020-09-13",21845,"2020-09-28",261,408,10848,22085,15,"1.31%"
"2020-09-14",22601,"2020-09-30",268,428,11180,22820,16,"1.37%"
"2020-09-15",23616,"2020-10-02",278,437,11649,24328,17,"1.25%"
"2020-09-16",24333,"2020-10-03",288,446,12252,24763,17,"1.26%"
"2020-09-17",25442,"2020-10-05",296,455,15448,25667,18,"1.56%"
"2020-09-18",26114,"2020-10-06",301,465,16965,26318,18,"1.75%"
"2020-09-19",26894,"2020-10-08",310,473,17856,27019,19,"1.78%"
"2020-09-20",27706,"2020-10-10",319,488,18119,27804,20,"1.74%"
"2020-09-21",28185,"2020-10-12",325,496,18560,28474,21,"1.72%"
"2020-09-22",29143,"2020-10-14",339,505,19256,29321,22,"1.65%"
"2020-09-23",29891,"2020-10-16",347,511,19572,30223,23,"1.54%"
"2020-09-24",30301,"2020-10-17",361,513,19961,30584,23,"1.43%"
"2020-09-25",30881,"2020-10-18",373,518,20654,30957,23,"1.41%"
"2020-09-26",31772,"2020-10-21",387,532,21410,31913,25,"1.38%"
"2020-09-27",32234,"2020-10-22",393,535,21628,32278,25,"1.33%"
"2020-09-28",32824,"2020-10-25",408,541,22085,32928,27,"1.23%"
"2020-09-29",33280,"2020-10-27",420,546,22446,33317,28,"1.16%"
"2020-09-30",33824,"2020-10-31",428,581,22820,33874,31,"1.38%"
"2020-10-01",34182,"2020-11-03",434,613,23233,34270,33,"1.62%"
"2020-10-02",34577,"2020-11-07",437,621,24328,34652,36,"1.78%"
