"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-02-05",17469,"2021-03-03",157,165,17177,17470,26,"2.73%"
"2021-02-06",17476,"2021-03-06",157,165,17189,17481,28,"2.74%"
"2021-02-07",17482,"2021-03-07",157,166,17197,17493,28,"3.04%"
"2021-02-08",17491,"2021-03-07",157,166,17208,17493,27,"3.16%"
"2021-02-09",17496,"2021-03-08",158,166,17216,17503,27,"2.79%"
"2021-02-10",17504,"2021-03-09",159,166,17220,17509,27,"2.42%"
"2021-02-11",17511,"2021-03-10",159,166,17234,17512,27,"2.52%"
"2021-02-12",17514,"2021-03-11",159,166,17341,17516,27,"4.%"
"2021-02-13",17518,"2021-03-12",159,166,17345,17522,27,"3.95%"
"2021-02-14",17527,"2021-03-13",160,167,17350,17534,27,"3.8%"
"2021-02-15",17535,"2021-03-14",160,167,17355,17555,27,"3.5%"
"2021-02-16",17555,"2021-03-14",160,167,17359,17555,26,"3.57%"
"2021-02-17",17570,"2021-03-15",160,167,17359,17607,26,"2.82%"
"2021-02-18",17585,"2021-03-15",160,167,17369,17607,25,"2.94%"
"2021-02-19",17596,"2021-03-15",161,167,17380,17607,24,"2.64%"
"2021-02-20",17610,"2021-03-16",162,167,17397,17644,24,"2.02%"
"2021-02-21",17615,"2021-03-16",162,167,17400,17644,23,"2.05%"
"2021-02-22",17632,"2021-03-16",162,167,17401,17644,22,"2.06%"
"2021-02-23",17641,"2021-03-16",162,167,17409,17644,21,"2.13%"
"2021-02-24",17650,"2021-03-18",162,167,17418,17720,22,"1.66%"
"2021-02-25",17659,"2021-03-18",162,167,17432,17720,21,"1.74%"
"2021-02-26",17671,"2021-03-18",162,167,17432,17720,20,"1.74%"
"2021-02-27",17675,"2021-03-18",163,167,17461,17720,19,"1.54%"
"2021-02-28",17676,"2021-03-18",164,167,17463,17720,18,"1.17%"
"2021-03-01",17691,"2021-03-18",165,167,17465,17720,17,".78%"
"2021-03-02",17705,"2021-03-18",165,167,17466,17720,16,".79%"
"2021-03-03",17719,"2021-03-18",165,167,17470,17720,15,".8%"
"2021-03-04",17735,"2021-03-20",165,168,17470,17753,16,"1.06%"
"2021-03-05",17755,"2021-03-21",165,168,17472,17775,16,".99%"
"2021-03-06",17788,"2021-03-22",165,168,17481,17799,16,".94%"
"2021-03-07",17798,"2021-03-22",166,168,17493,17799,15,".65%"
"2021-03-08",17816,"2021-03-23",166,169,17503,17820,15,".95%"
"2021-03-09",17830,"2021-03-24",166,169,17509,17926,15,".72%"
"2021-03-10",17843,"2021-03-24",166,169,17512,17926,14,".72%"
"2021-03-11",17864,"2021-03-24",166,169,17516,17926,13,".73%"
"2021-03-12",17881,"2021-03-24",166,169,17522,17926,12,".74%"
"2021-03-13",17911,"2021-03-24",167,169,17534,17926,11,".51%"
"2021-03-14",17922,"2021-03-24",167,169,17555,17926,10,".54%"
"2021-03-15",17955,"2021-03-25",167,171,17607,17996,10,"1.03%"
"2021-03-16",17982,"2021-03-25",167,171,17644,17996,9,"1.14%"
"2021-03-17",18028,"2021-03-26",167,174,17649,18037,9,"1.8%"
"2021-03-18",18087,"2021-03-27",167,174,17720,18091,9,"1.89%"
"2021-03-19",18135,"2021-03-30",168,178,17731,18269,11,"1.86%"
"2021-03-20",18206,"2021-03-30",168,178,17753,18269,10,"1.94%"
"2021-03-21",18234,"2021-03-30",168,178,17775,18269,9,"2.02%"
"2021-03-22",18349,"2021-04-02",168,180,17799,18402,11,"1.99%"
"2021-03-23",18447,"2021-04-03",169,180,17820,18453,11,"1.74%"
"2021-03-24",18573,"2021-04-06",169,185,17926,18593,13,"2.4%"
"2021-03-25",18736,"2021-04-10",171,210,17996,18863,16,"4.5%"
"2021-03-26",18914,"2021-04-11",174,215,18037,19081,16,"3.93%"
"2021-03-27",19136,"2021-04-12",174,219,18091,19377,16,"3.5%"
"2021-03-28",19361,"2021-04-12",174,219,18115,19377,15,"3.57%"
"2021-03-29",19434,"2021-04-13",177,230,18118,19794,15,"3.16%"
"2021-03-30",19679,"2021-04-13",178,230,18269,19794,14,"3.41%"
"2021-03-31",20079,"2021-04-14",178,236,18279,20429,14,"2.7%"
"2021-04-01",20516,"2021-04-15",178,238,18280,21101,14,"2.13%"
"2021-04-02",20757,"2021-04-15",180,238,18402,21101,13,"2.15%"
"2021-04-03",21098,"2021-04-15",180,238,18453,21101,12,"2.19%"
"2021-04-04",21523,"2021-04-16",180,240,18550,22197,12,"1.65%"
"2021-04-05",22416,"2021-04-17",182,240,18563,23286,12,"1.23%"
"2021-04-06",23356,"2021-04-18",185,240,18593,24092,12,"1.%"
"2021-04-07",24229,"2021-04-19",186,246,18654,25244,12,".91%"
"2021-04-08",25276,"2021-04-20",186,247,18672,27662,12,".68%"
"2021-04-09",26425,"2021-04-20",190,247,18730,27662,11,".64%"
"2021-04-10",27403,"2021-04-20",210,247,18863,27662,10,".42%"
"2021-04-11",28162,"2021-04-21",215,248,19081,29447,10,".32%"
"2021-04-12",29294,"2021-04-21",219,248,19377,29447,9,".29%"
"2021-04-13",30585,"2021-04-22",230,248,19794,30677,9,".17%"
"2021-04-14",31839,"2021-04-23",236,259,20429,32201,9,".2%"
"2021-04-15",33158,"2021-04-24",238,272,21101,33530,9,".27%"
"2021-04-16",34227,"2021-04-25",240,281,22197,34358,9,".34%"
"2021-04-17",35138,"2021-04-26",240,291,23286,36011,9,".4%"
"2021-04-18",35870,"2021-04-26",240,291,24092,36011,8,".43%"
"2021-04-19",36479,"2021-04-27",246,305,25244,36785,8,".51%"
"2021-04-20",37304,"2021-04-29",247,321,27662,37458,9,".76%"
"2021-04-21",38189,"2021-05-01",248,351,29447,38449,10,"1.14%"
"2021-04-22",39213,"2021-05-03",248,369,30677,40046,11,"1.29%"
"2021-04-23",40186,"2021-05-04",259,378,32201,41035,11,"1.35%"
