"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-12-26",3607,"2021-01-08",10,10,3576,3608,13,"0.%"
"2020-12-27",3611,"2021-01-11",10,10,3577,3619,15,"0.%"
"2020-12-28",3615,"2021-01-11",10,10,3582,3619,14,"0.%"
"2020-12-29",3615,"2021-01-11",10,10,3585,3619,13,"0.%"
"2020-12-30",3618,"2021-01-11",10,10,3585,3619,12,"0.%"
"2020-12-31",3627,"2021-01-15",10,10,3594,3627,15,"0.%"
"2021-01-02",3632,"2021-01-18",10,10,3597,3641,16,"0.%"
"2021-01-03",3635,"2021-01-18",10,10,3598,3641,15,"0.%"
"2021-01-04",3639,"2021-01-18",10,10,3598,3641,14,"0.%"
"2021-01-05",3642,"2021-01-21",10,10,3598,3655,16,"0.%"
"2021-01-06",3646,"2021-01-21",10,10,3599,3655,15,"0.%"
"2021-01-07",3648,"2021-01-21",10,10,3605,3655,14,"0.%"
"2021-01-08",3655,"2021-01-21",10,10,3608,3655,13,"0.%"
"2021-01-09",3657,"2021-01-23",10,10,3608,3657,14,"0.%"
"2021-01-10",3658,"2021-01-25",10,10,3608,3663,15,"0.%"
"2021-01-11",3660,"2021-01-25",10,10,3619,3663,14,"0.%"
"2021-01-12",3662,"2021-01-25",10,10,3621,3663,13,"0.%"
"2021-01-13",3665,"2021-01-27",10,10,3622,3669,14,"0.%"
"2021-01-14",3671,"2021-01-28",10,10,3626,3920,14,"0.%"
"2021-01-15",3674,"2021-01-28",10,10,3627,3920,13,"0.%"
"2021-01-16",3678,"2021-01-28",10,10,3628,3920,12,"0.%"
"2021-01-17",3683,"2021-01-28",10,10,3630,3920,11,"0.%"
"2021-01-18",3686,"2021-01-28",10,10,3641,3920,10,"0.%"
"2021-01-19",3689,"2021-01-28",10,10,3641,3920,9,"0.%"
"2021-01-20",3692,"2021-01-28",10,10,3641,3920,8,"0.%"
"2021-01-21",3692,"2021-01-28",10,10,3655,3920,7,"0.%"
"2021-01-22",3692,"2021-01-28",10,10,3656,3920,6,"0.%"
"2021-01-23",3692,"2021-01-28",10,10,3657,3920,5,"0.%"
"2021-01-24",3693,"2021-01-28",10,10,3657,3920,4,"0.%"
"2021-01-25",3696,"2021-01-28",10,10,3663,3920,3,"0.%"
"2021-01-27",3697,"2021-01-28",10,10,3669,3920,1,"0.%"
"2021-01-28",3911,"2021-01-28",10,10,3920,3920,0,"-"
"2021-01-29",3911,"2021-01-29",10,10,3921,3921,0,"-"
"2021-01-30",3913,"2021-01-30",10,10,3921,3921,0,"-"
"2021-02-08",3913,"2021-02-08",10,10,3923,3923,0,"-"
"2021-02-11",3913,"2021-02-11",10,10,3929,3929,0,"-"
"2021-02-15",3915,"2021-02-15",10,10,3929,3929,0,"-"
"2021-02-17",3915,"2021-02-17",10,10,3933,3933,0,"-"
"2021-02-26",3916,"2021-02-26",10,10,3933,3933,0,"-"
"2021-02-27",3916,"2021-02-27",10,10,3934,3934,0,"-"
"2021-03-11",3918,"2021-03-11",10,10,3934,3934,0,"-"
