"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-12-31",6147,"2021-01-10",69,74,5761,6167,10,"1.23%"
"2021-01-01",6174,"2021-01-11",69,74,5811,6260,10,"1.11%"
"2021-01-02",6245,"2021-01-11",70,74,5845,6260,9,".96%"
"2021-01-03",6301,"2021-01-12",71,75,5895,6329,9,".92%"
"2021-01-04",6353,"2021-01-13",71,75,5929,6368,9,".91%"
"2021-01-05",6415,"2021-01-14",71,76,5974,6431,9,"1.09%"
"2021-01-06",6470,"2021-01-15",73,76,5993,6479,9,".62%"
"2021-01-07",6511,"2021-01-16",73,76,6029,6522,9,".61%"
"2021-01-08",6545,"2021-01-18",74,77,6081,6606,10,".57%"
"2021-01-09",6587,"2021-01-18",74,77,6118,6606,9,".61%"
"2021-01-10",6612,"2021-01-19",74,77,6167,6631,9,".65%"
"2021-01-11",6635,"2021-01-20",74,77,6260,6644,9,".78%"
"2021-01-12",6663,"2021-01-21",75,77,6329,6685,9,".56%"
"2021-01-13",6685,"2021-01-21",75,77,6368,6685,8,".63%"
"2021-01-14",6702,"2021-01-22",76,77,6431,6705,8,".36%"
"2021-01-15",6717,"2021-01-23",76,77,6479,6722,8,".41%"
"2021-01-16",6736,"2021-01-23",76,77,6522,6748,7,".44%"
"2021-01-17",6753,"2021-01-23",77,77,6530,6761,6,"0.%"
"2021-01-18",6783,"2021-01-23",77,77,6606,6792,5,"0.%"
"2021-01-19",6800,"2021-01-23",77,77,6631,6801,4,"0.%"
"2021-01-20",6821,"2021-01-24",77,77,6644,6824,4,"0.%"
"2021-01-21",6843,"2021-01-25",77,78,6685,6843,4,".63%"
"2021-01-22",6850,"2021-01-25",77,78,6705,6866,3,".62%"
"2021-01-23",6867,"2021-01-25",77,78,6810,6874,2,"1.56%"
"2021-01-24",6880,"2021-01-26",77,78,6824,6892,2,"1.47%"
"2021-01-25",6893,"2021-01-27",78,78,6875,6897,2,"0.%"
"2021-01-26",6903,"2021-02-12",78,78,6892,6903,17,"0.%"
"2021-01-27",6926,"2021-02-16",78,78,6897,6931,20,"0.%"
"2021-01-28",6789,"2021-02-02",77,78,6722,6792,5,"1.43%"
"2021-01-29",6792,"2021-02-02",78,78,6734,6792,4,"0.%"
"2021-01-30",6801,"2021-02-03",78,78,6748,6801,4,"0.%"
"2021-01-31",6810,"2021-02-05",78,78,6761,6820,5,"0.%"
"2021-02-01",6813,"2021-02-05",78,78,6778,6820,4,"0.%"
"2021-02-02",6821,"2021-02-06",78,78,6792,6843,4,"0.%"
"2021-02-03",6829,"2021-02-06",78,78,6801,6843,3,"0.%"
"2021-02-04",6837,"2021-02-06",78,78,6809,6843,2,"0.%"
"2021-02-05",6841,"2021-02-06",78,78,6820,6843,1,"0.%"
"2021-02-06",6845,"2021-02-07",78,78,6843,6845,1,"0.%"
"2021-02-07",6853,"2021-02-08",78,78,6845,6866,1,"0.%"
"2021-02-08",6863,"2021-02-08",78,78,6866,6866,0,"-"
"2021-02-09",6870,"2021-02-09",78,78,6874,6874,0,"-"
"2021-02-10",6879,"2021-02-11",78,78,6874,6897,1,"0.%"
"2021-02-11",6887,"2021-02-11",78,78,6897,6897,0,"-"
"2021-02-12",6898,"2021-02-12",78,78,6903,6903,0,"-"
