"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-28",302,"2020-08-09",23,23,275,304,12,"0.%"
"2020-07-29",303,"2020-08-09",23,23,275,304,11,"0.%"
"2020-07-30",306,"2020-08-11",23,23,278,306,12,"0.%"
"2020-07-31",308,"2020-08-15",23,23,282,311,15,"0.%"
"2020-08-01",311,"2020-08-15",23,23,282,311,14,"0.%"
"2020-08-02",312,"2020-08-16",23,23,285,313,14,"0.%"
"2020-08-03",312,"2020-08-16",23,23,286,313,13,"0.%"
"2020-08-04",317,"2020-08-19",23,23,289,319,15,"0.%"
"2020-08-05",320,"2020-08-20",23,23,290,321,15,"0.%"
"2020-08-06",321,"2020-08-20",23,23,294,321,14,"0.%"
"2020-08-07",325,"2020-08-26",23,23,297,325,19,"0.%"
"2020-08-08",328,"2020-08-28",23,23,300,329,20,"0.%"
"2020-08-09",330,"2020-08-29",23,23,304,332,20,"0.%"
"2020-08-10",331,"2020-08-29",23,23,304,332,19,"0.%"
"2020-08-11",334,"2020-08-31",23,23,306,334,20,"0.%"
"2020-08-12",338,"2020-09-02",23,23,307,340,21,"0.%"
"2020-08-13",342,"2020-09-04",23,23,307,345,22,"0.%"
"2020-08-14",345,"2020-09-04",23,23,307,345,21,"0.%"
"2020-08-15",349,"2020-09-05",23,23,311,349,21,"0.%"
"2020-08-16",352,"2020-09-07",23,23,313,356,22,"0.%"
"2020-08-17",356,"2020-09-07",23,23,314,356,21,"0.%"
"2020-08-18",359,"2020-09-09",23,23,316,359,22,"0.%"
"2020-08-19",363,"2020-09-10",23,23,319,366,22,"0.%"
"2020-08-20",367,"2020-09-11",23,23,321,375,22,"0.%"
"2020-08-21",370,"2020-09-11",23,23,322,375,21,"0.%"
"2020-08-22",373,"2020-09-11",23,23,322,375,20,"0.%"
"2020-08-23",375,"2020-09-11",23,23,322,375,19,"0.%"
"2020-08-24",381,"2020-09-12",23,23,324,382,19,"0.%"
"2020-08-25",386,"2020-09-14",23,23,324,387,20,"0.%"
"2020-08-26",388,"2020-09-16",23,23,325,388,21,"0.%"
"2020-08-27",392,"2020-09-19",23,23,325,395,23,"0.%"
"2020-08-28",398,"2020-09-20",23,23,329,401,23,"0.%"
"2020-08-29",409,"2020-09-23",23,23,332,410,25,"0.%"
"2020-08-30",420,"2020-10-01",23,23,332,421,32,"0.%"
"2020-08-31",425,"2020-10-03",23,23,334,429,33,"0.%"
"2020-09-01",431,"2020-10-05",23,23,334,432,34,"0.%"
"2020-09-02",439,"2020-10-08",23,23,340,441,36,"0.%"
"2020-09-03",451,"2020-10-11",23,23,340,456,38,"0.%"
"2020-09-04",454,"2020-10-11",23,23,345,456,37,"0.%"
"2020-09-05",464,"2020-10-12",23,23,349,472,37,"0.%"
"2020-09-06",468,"2020-10-12",23,23,349,472,36,"0.%"
"2020-09-07",471,"2020-10-12",23,23,356,472,35,"0.%"
"2020-09-09",478,"2020-10-13",23,23,359,485,34,"0.%"
"2020-09-10",481,"2020-10-13",23,23,366,485,33,"0.%"
"2020-09-11",487,"2020-10-14",23,23,375,494,33,"0.%"
"2020-09-12",489,"2020-10-14",23,23,382,494,32,"0.%"
"2020-09-13",492,"2020-10-14",23,23,382,494,31,"0.%"
"2020-09-14",499,"2020-10-15",23,23,387,499,31,"0.%"
"2020-09-15",500,"2020-10-16",23,23,387,504,31,"0.%"
"2020-09-16",505,"2020-10-17",23,23,388,518,31,"0.%"
"2020-09-17",514,"2020-10-17",23,23,391,518,30,"0.%"
"2020-09-18",521,"2020-10-18",23,23,391,529,30,"0.%"
"2020-09-19",523,"2020-10-18",23,23,395,529,29,"0.%"
"2020-09-20",527,"2020-10-18",23,23,401,529,28,"0.%"
"2020-09-21",536,"2020-10-19",23,23,403,537,28,"0.%"
"2020-09-22",544,"2020-10-20",23,23,403,557,28,"0.%"
"2020-09-23",552,"2020-10-20",23,23,410,557,27,"0.%"
"2020-09-24",559,"2020-10-21",23,23,411,581,27,"0.%"
"2020-09-25",569,"2020-10-21",23,23,411,581,26,"0.%"
"2020-09-26",574,"2020-10-21",23,23,411,581,25,"0.%"
"2020-09-27",580,"2020-10-21",23,23,411,581,24,"0.%"
"2020-09-28",585,"2020-10-22",23,23,411,604,24,"0.%"
"2020-09-29",591,"2020-10-22",23,23,415,604,23,"0.%"
"2020-09-30",594,"2020-10-22",23,23,418,604,22,"0.%"
"2020-10-01",601,"2020-10-22",23,23,421,604,21,"0.%"
"2020-10-02",607,"2020-10-23",23,23,423,618,21,"0.%"
"2020-10-03",615,"2020-10-23",23,23,429,618,20,"0.%"
"2020-10-04",619,"2020-10-24",23,23,429,635,20,"0.%"
"2020-10-05",624,"2020-10-24",23,23,432,635,19,"0.%"
"2020-10-06",630,"2020-10-24",23,23,434,635,18,"0.%"
"2020-10-07",635,"2020-10-24",23,23,434,635,17,"0.%"
"2020-10-08",639,"2020-10-26",23,23,441,642,18,"0.%"
"2020-10-09",640,"2020-10-26",23,23,441,642,17,"0.%"
"2020-10-10",643,"2020-10-27",23,23,445,671,17,"0.%"
"2020-10-11",649,"2020-10-27",23,23,456,671,16,"0.%"
"2020-10-12",652,"2020-10-27",23,23,472,671,15,"0.%"
"2020-10-13",655,"2020-10-27",23,23,485,671,14,"0.%"
"2020-10-14",661,"2020-10-27",23,23,494,671,13,"0.%"
"2020-10-15",670,"2020-10-27",23,23,499,671,12,"0.%"
"2020-10-16",673,"2020-10-28",23,23,504,690,12,"0.%"
"2020-10-17",676,"2020-10-28",23,23,518,690,11,"0.%"
"2020-10-18",679,"2020-10-28",23,23,529,690,10,"0.%"
"2020-10-19",682,"2020-10-28",23,23,537,690,9,"0.%"
"2020-10-20",684,"2020-10-28",23,23,557,690,8,"0.%"
"2020-10-21",691,"2020-10-29",23,23,581,693,8,"0.%"
"2020-10-22",696,"2020-10-31",23,23,604,696,9,"0.%"
"2020-10-23",702,"2020-11-03",23,23,618,704,11,"0.%"
"2020-10-24",706,"2020-11-05",23,23,635,714,12,"0.%"
"2020-10-25",711,"2020-11-05",23,23,637,714,11,"0.%"
"2020-10-26",715,"2020-11-06",23,23,642,720,11,"0.%"
"2020-10-27",719,"2020-11-06",23,23,671,720,10,"0.%"
"2020-10-28",723,"2020-11-07",23,23,690,731,10,"0.%"
"2020-10-29",734,"2020-11-08",23,23,693,734,10,"0.%"
"2020-10-30",743,"2020-11-10",23,23,693,749,11,"0.%"
"2020-10-31",753,"2020-11-11",23,23,696,753,11,"0.%"
"2020-11-01",757,"2020-11-12",23,23,698,759,11,"0.%"
"2020-11-02",771,"2020-11-13",23,23,698,771,11,"0.%"
"2020-11-03",779,"2020-11-16",23,23,704,786,13,"0.%"
"2020-11-04",791,"2020-11-17",23,23,704,794,13,"0.%"
"2020-11-05",802,"2020-11-20",23,23,714,804,15,"0.%"
"2020-11-06",808,"2020-11-23",23,23,720,812,17,"0.%"
"2020-11-07",816,"2020-11-24",23,23,731,816,17,"0.%"
"2020-11-08",822,"2020-11-27",23,23,734,824,19,"0.%"
"2020-11-09",833,"2020-11-30",23,23,739,836,21,"0.%"
"2020-11-10",836,"2020-11-30",23,23,749,836,20,"0.%"
"2020-11-11",841,"2020-12-01",23,23,753,845,20,"0.%"
"2020-11-12",849,"2020-12-27",23,23,759,856,45,"0.%"
"2020-11-13",855,"2020-12-27",23,23,771,856,44,"0.%"
"2020-11-14",860,"2020-12-28",23,24,771,862,44,"1.1%"
"2020-11-15",862,"2020-12-28",23,24,772,862,43,"1.11%"
"2020-11-16",866,"2020-12-30",23,24,786,869,44,"1.2%"
"2020-11-17",871,"2021-01-01",23,24,794,872,45,"1.28%"
"2020-11-18",877,"2021-01-02",23,24,799,879,45,"1.25%"
"2020-11-19",886,"2021-01-04",23,24,801,892,46,"1.1%"
"2020-11-20",893,"2021-01-05",23,24,804,901,46,"1.03%"
"2020-11-21",905,"2021-01-06",23,24,805,911,46,".94%"
"2020-11-22",920,"2021-01-12",23,24,805,922,51,".85%"
"2020-11-23",929,"2021-01-13",23,24,812,931,51,".84%"
"2020-11-24",932,"2021-01-14",23,24,816,933,51,".85%"
"2020-11-25",938,"2021-01-16",23,24,818,940,52,".82%"
"2020-11-26",944,"2021-01-18",23,24,821,944,53,".81%"
"2020-11-27",948,"2021-01-21",23,24,824,960,55,".74%"
"2020-11-28",955,"2021-01-21",23,24,828,960,54,".76%"
