"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-16",501,"2020-07-28",9,9,282,533,12,"0.%"
"2020-07-17",548,"2020-07-30",9,9,302,566,13,"0.%"
"2020-07-18",561,"2020-07-30",9,9,334,566,12,"0.%"
"2020-07-19",579,"2020-07-31",9,9,334,592,12,"0.%"
"2020-07-20",601,"2020-08-01",9,9,360,604,12,"0.%"
"2020-07-21",617,"2020-08-03",9,9,380,685,13,"0.%"
"2020-07-22",644,"2020-08-03",9,9,408,685,12,"0.%"
"2020-07-23",671,"2020-08-03",9,9,415,685,11,"0.%"
"2020-07-24",701,"2020-08-05",9,9,415,725,12,"0.%"
"2020-07-25",726,"2020-08-06",9,9,457,752,12,"0.%"
"2020-07-26",745,"2020-08-06",9,9,471,752,11,"0.%"
"2020-07-27",769,"2020-08-08",9,9,484,782,12,"0.%"
"2020-07-28",788,"2020-08-09",9,9,533,803,12,"0.%"
"2020-07-29",821,"2020-08-10",9,9,544,827,12,"0.%"
"2020-07-30",856,"2020-08-12",9,9,566,865,13,"0.%"
"2020-07-31",877,"2020-08-13",9,9,592,882,13,"0.%"
"2020-08-01",893,"2020-08-14",9,9,604,897,13,"0.%"
"2020-08-02",909,"2020-08-17",9,9,604,927,15,"0.%"
"2020-08-03",927,"2020-08-17",9,9,685,927,14,"0.%"
"2020-08-04",943,"2020-08-19",9,9,700,956,15,"0.%"
"2020-08-05",964,"2020-08-20",9,9,725,979,15,"0.%"
"2020-08-06",983,"2020-08-21",9,9,752,1000,15,"0.%"
"2020-08-07",996,"2020-08-21",9,9,766,1000,14,"0.%"
"2020-08-08",1007,"2020-08-22",9,9,782,1009,14,"0.%"
"2020-08-09",1035,"2020-08-24",9,9,803,1044,15,"0.%"
"2020-08-10",1055,"2020-08-25",9,9,827,1118,15,"0.%"
"2020-08-11",1095,"2020-08-25",9,9,847,1118,14,"0.%"
"2020-08-12",1120,"2020-08-26",9,9,865,1166,14,"0.%"
"2020-08-13",1130,"2020-08-26",9,9,882,1166,13,"0.%"
"2020-08-14",1153,"2020-08-26",9,9,897,1166,12,"0.%"
"2020-08-15",1177,"2020-08-27",9,9,897,1181,12,"0.%"
"2020-08-16",1207,"2020-08-29",9,9,908,1219,13,"0.%"
"2020-08-17",1223,"2020-08-30",9,9,927,1237,13,"0.%"
"2020-08-18",1249,"2020-08-31",9,9,942,1251,13,"0.%"
"2020-08-19",1271,"2020-09-01",9,9,956,1271,13,"0.%"
"2020-08-20",1291,"2020-09-03",9,10,979,1309,14,".3%"
"2020-08-21",1322,"2020-09-04",9,10,1000,1332,14,".3%"
"2020-08-22",1354,"2020-09-05",9,10,1009,1364,14,".28%"
"2020-08-23",1381,"2020-09-07",9,10,1031,1390,15,".28%"
"2020-08-24",1395,"2020-09-08",9,10,1044,1428,15,".26%"
"2020-08-25",1421,"2020-09-08",9,10,1118,1428,14,".32%"
"2020-08-26",1450,"2020-09-09",9,10,1166,1459,14,".34%"
"2020-08-27",1471,"2020-09-10",9,10,1181,1478,14,".34%"
"2020-08-28",1492,"2020-09-11",9,12,1196,1538,14,".88%"
"2020-08-29",1513,"2020-09-11",9,12,1219,1538,13,".94%"
"2020-08-30",1543,"2020-09-12",9,12,1237,1598,13,".83%"
"2020-08-31",1563,"2020-09-12",9,12,1251,1598,12,".86%"
"2020-09-01",1588,"2020-09-12",9,12,1271,1598,11,".92%"
"2020-09-02",1611,"2020-09-13",9,13,1285,1621,11,"1.19%"
"2020-09-03",1637,"2020-09-14",10,14,1309,1640,11,"1.21%"
"2020-09-04",1656,"2020-09-15",10,14,1332,1681,11,"1.15%"
"2020-09-05",1681,"2020-09-15",10,14,1364,1681,10,"1.26%"
"2020-09-06",1703,"2020-09-17",10,14,1376,1715,11,"1.18%"
"2020-09-07",1723,"2020-09-18",10,14,1390,1731,11,"1.17%"
"2020-09-08",1745,"2020-09-19",10,14,1428,1751,11,"1.24%"
"2020-09-09",1769,"2020-09-20",10,14,1459,1770,11,"1.29%"
"2020-09-10",1793,"2020-09-22",10,14,1478,1806,12,"1.22%"
"2020-09-11",1818,"2020-09-23",12,14,1538,1824,12,".7%"
"2020-09-12",1837,"2020-09-24",12,14,1598,1845,12,".81%"
"2020-09-13",1858,"2020-09-25",13,14,1621,1874,12,".4%"
"2020-09-14",1877,"2020-09-26",14,14,1640,1898,12,"0.%"
"2020-09-15",1893,"2020-09-26",14,14,1681,1898,11,"0.%"
"2020-09-16",1918,"2020-09-28",14,15,1697,1935,12,".42%"
"2020-09-17",1943,"2020-09-29",14,15,1715,1967,12,".4%"
"2020-09-18",1969,"2020-09-30",14,15,1731,1988,12,".39%"
"2020-09-19",1993,"2020-10-01",14,15,1751,2008,12,".39%"
"2020-09-20",2015,"2020-10-02",14,15,1770,2035,12,".38%"
"2020-09-21",2028,"2020-10-02",14,15,1786,2035,11,".4%"
"2020-09-22",2050,"2020-10-03",14,15,1806,2060,11,".39%"
"2020-09-23",2072,"2020-10-04",14,15,1824,2077,11,".4%"
"2020-09-24",2095,"2020-10-05",14,15,1845,2097,11,".4%"
"2020-09-25",2121,"2020-10-06",14,15,1874,2124,11,".4%"
"2020-09-26",2142,"2020-10-07",14,15,1898,2145,11,".4%"
"2020-09-27",2163,"2020-10-08",14,15,1916,2172,11,".39%"
"2020-09-28",2192,"2020-10-10",15,15,1935,2209,12,"0.%"
"2020-09-29",2221,"2020-10-11",15,15,1967,2228,12,"0.%"
"2020-09-30",2245,"2020-10-12",15,15,1988,2247,12,"0.%"
