"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-08",4413,"2020-10-19",61,61,4097,4428,11,"0.%"
"2020-10-09",4431,"2020-10-20",61,61,4171,4452,11,"0.%"
"2020-10-10",4453,"2020-10-21",61,61,4192,4472,11,"0.%"
"2020-10-11",4466,"2020-10-21",61,61,4264,4472,10,"0.%"
"2020-10-12",4481,"2020-10-22",61,61,4282,4493,10,"0.%"
"2020-10-13",4493,"2020-10-22",61,61,4298,4493,9,"0.%"
"2020-10-14",4513,"2020-10-23",61,61,4315,4513,9,"0.%"
"2020-10-15",4532,"2020-10-24",61,61,4340,4533,9,"0.%"
"2020-10-16",4545,"2020-10-25",61,61,4369,4553,9,"0.%"
"2020-10-17",4563,"2020-10-26",61,61,4391,4575,9,"0.%"
"2020-10-18",4581,"2020-10-27",61,61,4410,4591,9,"0.%"
"2020-10-19",4587,"2020-10-27",61,61,4428,4591,8,"0.%"
"2020-10-20",4606,"2020-10-28",61,61,4452,4606,8,"0.%"
"2020-10-21",4618,"2020-10-29",61,61,4472,4624,8,"0.%"
"2020-10-22",4635,"2020-10-30",61,61,4493,4638,8,"0.%"
"2020-10-23",4650,"2020-11-01",61,61,4513,4657,9,"0.%"
"2020-10-24",4665,"2020-11-02",61,61,4533,4667,9,"0.%"
"2020-10-25",4683,"2020-11-04",61,61,4553,4692,10,"0.%"
"2020-10-26",4693,"2020-11-05",61,61,4575,4706,10,"0.%"
"2020-10-27",4705,"2020-11-05",61,61,4591,4706,9,"0.%"
"2020-10-28",4721,"2020-11-06",61,61,4606,4730,9,"0.%"
"2020-10-29",4739,"2020-11-07",61,61,4624,4755,9,"0.%"
"2020-10-30",4753,"2020-11-07",61,61,4638,4755,8,"0.%"
"2020-10-31",4766,"2020-11-08",61,61,4648,4766,8,"0.%"
"2020-11-01",4775,"2020-11-10",61,61,4657,4781,9,"0.%"
"2020-11-02",4784,"2020-11-11",61,61,4667,4792,9,"0.%"
"2020-11-03",4800,"2020-11-12",61,61,4678,4805,9,"0.%"
"2020-11-04",4817,"2020-11-13",61,61,4692,4826,9,"0.%"
"2020-11-05",4827,"2020-11-14",61,61,4706,4835,9,"0.%"
"2020-11-06",4846,"2020-11-17",61,61,4730,4858,11,"0.%"
"2020-11-07",4857,"2020-11-17",61,61,4755,4858,10,"0.%"
"2020-11-08",4871,"2020-11-19",61,61,4766,4882,11,"0.%"
"2020-11-09",4879,"2020-11-19",61,61,4772,4882,10,"0.%"
"2020-11-10",4887,"2020-11-20",61,61,4781,4892,10,"0.%"
"2020-11-11",4901,"2020-11-21",61,61,4792,4905,10,"0.%"
"2020-11-12",4914,"2020-11-22",61,62,4805,4917,10,".89%"
"2020-11-13",4922,"2020-11-23",61,62,4826,4946,10,".83%"
"2020-11-14",4932,"2020-11-23",61,62,4835,4946,9,".9%"
"2020-11-15",4937,"2020-11-23",61,62,4841,4946,8,".95%"
"2020-11-16",4949,"2020-11-24",61,62,4845,4971,8,".79%"
"2020-11-17",4956,"2020-11-24",61,62,4858,4971,7,".88%"
"2020-11-18",4970,"2020-11-24",61,62,4867,4971,6,".96%"
"2020-11-19",4982,"2020-11-25",61,62,4882,4987,6,".95%"
"2020-11-20",4996,"2020-11-26",61,62,4892,4998,6,".94%"
"2020-11-21",5015,"2020-11-28",61,62,4905,5034,7,".78%"
"2020-11-22",5038,"2020-11-29",62,62,4917,5061,7,"0.%"
"2020-11-23",5064,"2020-11-30",62,62,4946,5091,7,"0.%"
"2020-11-24",5082,"2020-11-30",62,62,4971,5091,6,"0.%"
"2020-11-25",5101,"2020-12-01",62,62,4987,5103,6,"0.%"
"2020-11-26",5109,"2020-12-26",62,62,4998,5132,30,"0.%"
"2020-11-27",5135,"2020-12-27",62,62,5010,5146,30,"0.%"
"2020-11-28",5162,"2020-12-28",62,62,5034,5172,30,"0.%"
"2020-11-29",5191,"2020-12-30",62,62,5061,5199,31,"0.%"
"2020-11-30",5205,"2020-12-31",62,62,5091,5209,31,"0.%"
"2020-12-01",5224,"2021-01-03",62,62,5103,5249,33,"0.%"
"2020-12-26",5246,"2021-01-03",62,62,5132,5249,8,"0.%"
"2020-12-27",5269,"2021-01-06",62,62,5146,5270,10,"0.%"
"2020-12-28",5287,"2021-01-08",62,62,5172,5296,11,"0.%"
"2020-12-29",5294,"2021-01-08",62,62,5190,5296,10,"0.%"
"2020-12-30",5305,"2021-01-10",62,62,5199,5310,11,"0.%"
"2020-12-31",5312,"2021-01-11",62,62,5209,5320,11,"0.%"
"2021-01-01",5314,"2021-01-11",62,62,5217,5320,10,"0.%"
"2021-01-02",5322,"2021-01-12",62,62,5222,5339,10,"0.%"
"2021-01-03",5330,"2021-01-12",62,62,5249,5339,9,"0.%"
"2021-01-04",5345,"2021-01-13",62,62,5253,5351,9,"0.%"
"2021-01-05",5349,"2021-01-13",62,62,5261,5351,8,"0.%"
"2021-01-06",5357,"2021-01-14",62,62,5270,5362,8,"0.%"
"2021-01-07",5372,"2021-01-16",62,62,5285,5383,9,"0.%"
"2021-01-08",5379,"2021-01-16",62,62,5296,5383,8,"0.%"
"2021-01-09",5384,"2021-01-17",62,62,5302,5389,8,"0.%"
"2021-01-10",5395,"2021-01-18",62,62,5310,5395,8,"0.%"
"2021-01-11",5403,"2021-01-19",62,62,5320,5403,8,"0.%"
"2021-01-12",5417,"2021-01-22",62,62,5339,5421,10,"0.%"
"2021-01-13",5428,"2021-01-24",62,62,5351,5430,11,"0.%"
"2021-01-14",5436,"2021-01-25",62,62,5362,5436,11,"0.%"
"2021-01-15",5441,"2021-01-27",62,62,5371,5446,12,"0.%"
"2021-01-16",5449,"2021-01-28",62,62,5383,5449,12,"0.%"
"2021-01-17",5460,"2021-01-30",62,62,5389,5460,13,"0.%"
"2021-01-18",5463,"2021-02-01",62,62,5395,5463,14,"0.%"
"2021-01-19",5469,"2021-02-02",62,62,5403,5473,14,"0.%"
"2021-01-20",5481,"2021-02-04",62,62,5406,5481,15,"0.%"
"2021-01-21",5488,"2021-02-06",62,62,5414,5488,16,"0.%"
"2021-01-22",5494,"2021-02-08",62,62,5421,5494,17,"0.%"
"2021-01-23",5501,"2021-02-10",62,62,5427,5503,18,"0.%"
"2021-01-24",5503,"2021-02-10",62,62,5430,5503,17,"0.%"
"2021-01-25",5506,"2021-02-11",62,62,5436,5506,17,"0.%"
"2021-01-26",5511,"2021-02-12",62,62,5440,5512,17,"0.%"
"2021-01-27",5515,"2021-02-13",62,62,5446,5517,17,"0.%"
"2021-01-28",5518,"2021-02-15",62,62,5449,5522,18,"0.%"
"2021-01-29",5522,"2021-02-15",62,62,5454,5522,17,"0.%"
"2021-01-30",5527,"2021-02-17",62,62,5460,5531,18,"0.%"
"2021-01-31",5528,"2021-02-17",62,62,5462,5531,17,"0.%"
"2021-02-01",5528,"2021-02-17",62,62,5463,5531,16,"0.%"
"2021-02-02",5528,"2021-02-17",62,62,5473,5531,15,"0.%"
"2021-02-03",5535,"2021-02-19",62,62,5478,5537,16,"0.%"
