"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-01",1933,"2020-11-11",6,7,1645,1949,10,".33%"
"2020-11-02",1938,"2020-11-11",6,7,1676,1949,9,".37%"
"2020-11-03",1946,"2020-11-11",6,7,1676,1949,8,".37%"
"2020-11-04",1958,"2020-11-14",6,7,1676,1968,10,".34%"
"2020-11-05",1966,"2020-11-14",7,7,1677,1968,9,"0.%"
"2020-11-06",1977,"2020-11-15",7,7,1706,1979,9,"0.%"
"2020-11-07",1992,"2020-11-17",7,7,1706,2001,10,"0.%"
"2020-11-08",2000,"2020-11-17",7,7,1706,2001,9,"0.%"
"2020-11-09",2015,"2020-11-19",7,7,1719,2017,10,"0.%"
"2020-11-10",2020,"2020-11-20",7,7,1719,2027,10,"0.%"
"2020-11-11",2032,"2020-11-21",7,7,1949,2032,10,"0.%"
"2020-11-12",2041,"2020-11-23",7,7,1949,2084,11,"0.%"
"2020-11-13",2060,"2020-11-23",7,7,1949,2084,10,"0.%"
"2020-11-14",2072,"2020-11-23",7,7,1968,2084,9,"0.%"
"2020-11-15",2080,"2020-11-23",7,7,1979,2084,8,"0.%"
"2020-11-16",2096,"2020-11-24",7,7,1989,2097,8,"0.%"
"2020-11-17",2114,"2020-11-26",7,7,2001,2120,9,"0.%"
"2020-11-18",2149,"2020-11-28",7,7,2001,2180,10,"0.%"
"2020-11-19",2177,"2020-11-28",7,7,2017,2180,9,"0.%"
"2020-11-20",2189,"2020-11-29",7,7,2027,2208,9,"0.%"
"2020-11-21",2203,"2020-11-29",7,7,2032,2208,8,"0.%"
"2020-11-22",2218,"2020-11-30",7,7,2039,2218,8,"0.%"
"2020-11-23",2234,"2020-12-27",7,7,2084,2254,34,"0.%"
"2020-11-24",2253,"2020-12-27",7,7,2097,2254,33,"0.%"
"2020-11-25",2269,"2020-12-29",7,7,2110,2299,34,"0.%"
"2020-11-26",2292,"2020-12-29",7,7,2120,2299,33,"0.%"
"2020-11-27",2311,"2020-12-30",7,7,2130,2325,33,"0.%"
"2020-11-28",2340,"2021-01-01",7,7,2180,2360,34,"0.%"
"2020-11-29",2366,"2021-01-02",7,7,2208,2375,34,"0.%"
"2020-11-30",2386,"2021-01-03",7,7,2218,2390,34,"0.%"
"2020-12-01",2404,"2021-01-05",7,7,2229,2419,35,"0.%"
"2020-12-26",2426,"2021-01-06",7,7,2229,2438,11,"0.%"
"2020-12-27",2456,"2021-01-07",7,7,2254,2477,11,"0.%"
"2020-12-28",2466,"2021-01-07",7,7,2254,2477,10,"0.%"
"2020-12-29",2494,"2021-01-10",7,7,2299,2523,12,"0.%"
"2020-12-30",2509,"2021-01-10",7,7,2325,2523,11,"0.%"
"2020-12-31",2533,"2021-01-11",7,7,2336,2546,11,"0.%"
"2021-01-01",2539,"2021-01-11",7,7,2360,2546,10,"0.%"
"2021-01-02",2557,"2021-01-12",7,7,2375,2563,10,"0.%"
"2021-01-03",2568,"2021-01-13",7,7,2390,2570,10,"0.%"
"2021-01-04",2594,"2021-01-14",7,7,2403,2600,10,"0.%"
