"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-21",12,"2020-06-23",,1,,15,33,"-"
"2020-05-23",12,"2020-06-23",,1,,15,31,"-"
"2020-05-31",13,"2020-06-23",,1,,15,23,"-"
"2020-06-04",14,"2020-06-23",,1,,15,19,"-"
"2020-06-05",15,"2020-06-23",,1,,15,18,"-"
"2020-06-10",15,"2020-06-23",,1,,15,13,"-"
"2020-06-14",15,"2020-06-23",,1,,15,9,"-"
"2020-06-15",15,"2020-06-23",,1,,15,8,"-"
"2020-06-16",16,"2020-06-24",,1,,16,8,"-"
"2020-06-17",18,"2020-07-01",,2,,18,14,"-"
"2020-06-20",19,"2020-07-05",,2,,20,15,"-"
"2020-06-21",20,"2020-07-05",,2,,20,14,"-"
"2020-06-23",20,"2020-07-05",1,2,15,20,12,"20.%"
"2020-06-24",20,"2020-07-05",1,2,16,20,11,"25.%"
"2020-06-29",22,"2020-07-09",1,3,16,24,10,"25.%"
"2020-06-30",23,"2020-07-09",1,3,16,24,9,"25.%"
"2020-07-01",23,"2020-07-09",2,3,18,24,8,"16.67%"
"2020-07-02",24,"2020-07-09",2,3,18,24,7,"16.67%"
"2020-07-03",25,"2020-07-12",2,3,18,25,9,"14.29%"
"2020-07-04",26,"2020-07-14",2,3,18,26,10,"12.5%"
"2020-07-05",27,"2020-07-18",2,3,20,27,13,"14.29%"
"2020-07-07",28,"2020-07-20",3,3,21,28,13,"0.%"
"2020-07-09",28,"2020-07-20",3,3,24,28,11,"0.%"
"2020-07-11",29,"2020-07-23",3,3,24,29,12,"0.%"
"2020-07-12",29,"2020-07-23",3,3,25,29,11,"0.%"
"2020-07-14",29,"2020-07-23",3,3,26,29,9,"0.%"
"2020-07-17",30,"2020-07-28",3,3,26,31,11,"0.%"
"2020-07-18",30,"2020-07-28",3,3,27,31,10,"0.%"
"2020-07-20",33,"2020-07-29",3,3,28,34,9,"0.%"
"2020-07-21",34,"2020-07-29",3,3,28,34,8,"0.%"
"2020-07-23",34,"2020-07-29",3,3,29,34,6,"0.%"
"2020-07-24",36,"2020-07-31",3,3,29,36,7,"0.%"
"2020-07-25",39,"2020-08-02",3,4,29,41,8,"8.33%"
"2020-07-26",43,"2020-08-03",3,4,29,45,8,"6.25%"
"2020-07-27",45,"2020-08-03",3,4,29,45,7,"6.25%"
"2020-07-28",45,"2020-08-03",3,4,31,45,6,"7.14%"
"2020-07-29",46,"2020-08-04",3,4,34,47,6,"7.69%"
"2020-07-30",47,"2020-08-04",3,4,34,47,5,"7.69%"
"2020-07-31",47,"2020-08-04",3,4,36,47,4,"9.09%"
"2020-08-01",51,"2020-08-06",3,4,36,51,5,"6.67%"
"2020-08-02",64,"2020-08-13",4,4,41,73,11,"0.%"
"2020-08-03",69,"2020-08-13",4,4,45,73,10,"0.%"
"2020-08-04",71,"2020-08-13",4,4,47,73,9,"0.%"
"2020-08-05",72,"2020-08-13",4,4,49,73,8,"0.%"
"2020-08-06",73,"2020-08-13",4,4,51,73,7,"0.%"
"2020-08-07",74,"2020-08-18",4,4,52,78,11,"0.%"
"2020-08-08",78,"2020-08-18",4,4,56,78,10,"0.%"
"2020-08-09",83,"2020-08-26",4,4,56,95,17,"0.%"
"2020-08-10",88,"2020-08-26",4,4,56,95,16,"0.%"
"2020-08-11",95,"2020-08-26",4,4,60,95,15,"0.%"
"2020-08-12",96,"2020-08-30",4,4,60,130,18,"0.%"
"2020-08-13",102,"2020-08-30",4,4,73,130,17,"0.%"
"2020-08-14",105,"2020-08-30",4,4,73,130,16,"0.%"
"2020-08-15",110,"2020-08-30",4,4,73,130,15,"0.%"
"2020-08-16",126,"2020-08-30",4,4,73,130,14,"0.%"
"2020-08-17",135,"2020-09-01",4,4,73,137,15,"0.%"
"2020-08-18",140,"2020-09-02",4,4,78,192,15,"0.%"
"2020-08-19",143,"2020-09-02",4,4,78,192,14,"0.%"
"2020-08-20",147,"2020-09-02",4,4,78,192,13,"0.%"
