"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-18",2271,"2020-10-30",42,44,2055,2282,12,".88%"
"2020-10-19",2297,"2020-11-01",42,46,2068,2309,13,"1.66%"
"2020-10-20",2310,"2020-11-02",42,46,2088,2332,13,"1.64%"
"2020-10-21",2336,"2020-11-03",42,46,2110,2351,13,"1.66%"
"2020-10-22",2363,"2020-11-04",42,46,2128,2383,13,"1.57%"
"2020-10-23",2384,"2020-11-05",42,46,2138,2387,13,"1.61%"
"2020-10-24",2398,"2020-11-06",42,46,2152,2398,13,"1.63%"
"2020-10-25",2404,"2020-11-07",43,46,2170,2422,13,"1.19%"
"2020-10-26",2421,"2020-11-07",43,46,2207,2422,12,"1.4%"
"2020-10-27",2454,"2020-11-10",43,46,2233,2469,14,"1.27%"
"2020-10-28",2472,"2020-11-11",43,46,2248,2478,14,"1.3%"
"2020-10-29",2493,"2020-11-12",43,46,2263,2505,14,"1.24%"
"2020-10-30",2515,"2020-11-13",44,47,2282,2524,14,"1.24%"
"2020-10-31",2527,"2020-11-14",45,47,2295,2562,14,".75%"
"2020-11-01",2532,"2020-11-14",46,47,2309,2562,13,".4%"
"2020-11-02",2555,"2020-11-14",46,47,2332,2562,12,".43%"
"2020-11-03",2595,"2020-11-16",46,47,2351,2604,13,".4%"
"2020-11-04",2620,"2020-11-17",46,47,2383,2637,13,".39%"
"2020-11-05",2649,"2020-11-18",46,48,2387,2665,13,".72%"
"2020-11-06",2687,"2020-11-20",46,49,2398,2707,14,".97%"
"2020-11-07",2723,"2020-11-21",46,49,2422,2737,14,".95%"
"2020-11-08",2740,"2020-11-22",46,49,2437,2764,14,".92%"
"2020-11-09",2778,"2020-11-23",46,49,2451,2794,14,".87%"
"2020-11-10",2814,"2020-11-24",46,49,2469,2823,14,".85%"
"2020-11-11",2852,"2020-11-25",46,49,2478,2853,14,".8%"
"2020-11-12",2890,"2020-11-26",46,49,2505,2905,14,".75%"
"2020-11-13",2922,"2020-11-27",47,49,2524,2922,14,".5%"
"2020-11-14",2952,"2020-11-28",47,49,2562,3052,14,".41%"
"2020-11-15",2983,"2020-11-28",47,49,2576,3052,13,".42%"
"2020-11-16",3001,"2020-11-28",47,49,2604,3052,12,".45%"
"2020-11-17",3035,"2020-11-28",47,49,2637,3052,11,".48%"
"2020-11-18",3077,"2020-11-29",48,49,2665,3093,11,".23%"
"2020-11-19",3110,"2020-11-30",48,49,2674,3122,11,".22%"
"2020-11-20",3159,"2020-12-01",49,50,2707,3172,11,".22%"
"2020-11-21",3210,"2020-12-29",49,51,2737,3220,38,".41%"
"2020-11-22",3240,"2020-12-31",49,51,2764,3244,39,".42%"
"2020-11-23",3284,"2021-01-05",49,51,2794,3287,43,".41%"
"2020-11-24",3330,"2021-01-17",49,51,2823,3331,54,".39%"
"2020-11-25",3379,"2021-02-26",49,51,2853,3380,93,".38%"
"2020-11-26",3443,"2021-03-25",49,51,2905,3456,119,".36%"
"2020-11-27",3492,"2021-04-01",49,51,2922,3506,125,".34%"
"2020-11-28",3542,"2021-04-03",49,51,3052,3544,126,".41%"
"2020-11-29",3572,"2021-04-04",49,51,3093,3583,126,".41%"
"2020-11-30",3598,"2021-04-05",49,51,3122,3638,126,".39%"
"2020-12-01",3612,"2021-04-05",50,51,3172,3638,125,".21%"
"2020-12-26",3626,"2021-04-05",50,51,3178,3638,100,".22%"
"2020-12-27",3632,"2021-04-05",50,51,3187,3638,99,".22%"
"2020-12-28",3640,"2021-04-06",51,51,3206,3661,99,"0.%"
"2020-12-29",3647,"2021-04-06",51,51,3220,3661,98,"0.%"
"2020-12-30",3653,"2021-04-06",51,51,3232,3661,97,"0.%"
"2020-12-31",3657,"2021-04-06",51,51,3244,3661,96,"0.%"
"2021-01-01",3660,"2021-04-06",51,51,3248,3661,95,"0.%"
"2021-01-02",3664,"2021-04-07",51,51,3256,3684,95,"0.%"
"2021-01-03",3666,"2021-04-07",51,51,3268,3684,94,"0.%"
"2021-01-04",3666,"2021-04-07",51,51,3277,3684,93,"0.%"
"2021-01-05",3670,"2021-04-07",51,51,3287,3684,92,"0.%"
"2021-01-06",3676,"2021-04-07",51,51,3288,3684,91,"0.%"
"2021-01-07",3678,"2021-04-07",51,51,3293,3684,90,"0.%"
"2021-01-08",3682,"2021-04-07",51,51,3296,3684,89,"0.%"
"2021-01-09",3686,"2021-04-08",51,51,3301,3693,89,"0.%"
"2021-01-10",3690,"2021-04-08",51,51,3304,3693,88,"0.%"
"2021-01-11",3690,"2021-04-08",51,51,3307,3693,87,"0.%"
"2021-01-12",3690,"2021-04-08",51,51,3309,3693,86,"0.%"
"2021-01-13",3692,"2021-04-08",51,51,3313,3693,85,"0.%"
"2021-01-14",3695,"2021-04-09",51,51,3317,3716,85,"0.%"
"2021-01-15",3701,"2021-04-09",51,51,3317,3716,84,"0.%"
"2021-01-16",3703,"2021-04-09",51,51,3328,3716,83,"0.%"
"2021-01-17",3705,"2021-04-09",51,51,3331,3716,82,"0.%"
"2021-01-18",3709,"2021-04-09",51,51,3332,3716,81,"0.%"
"2021-01-19",3711,"2021-04-09",51,51,3334,3716,80,"0.%"
"2021-01-20",3714,"2021-04-09",51,51,3341,3716,79,"0.%"
"2021-01-21",3715,"2021-04-09",51,51,3344,3716,78,"0.%"
"2021-01-22",3715,"2021-04-09",51,51,3349,3716,77,"0.%"
"2021-01-23",3715,"2021-04-09",51,51,3351,3716,76,"0.%"
"2021-01-24",3715,"2021-04-09",51,51,3354,3716,75,"0.%"
"2021-01-25",3715,"2021-04-09",51,51,3356,3716,74,"0.%"
"2021-01-26",3717,"2021-04-10",51,51,3358,3765,74,"0.%"
"2021-01-27",3719,"2021-04-10",51,51,3358,3765,73,"0.%"
"2021-01-28",3721,"2021-04-10",51,51,3358,3765,72,"0.%"
"2021-01-29",3722,"2021-04-10",51,51,3358,3765,71,"0.%"
"2021-01-30",3722,"2021-04-10",51,51,3362,3765,70,"0.%"
"2021-02-03",3722,"2021-04-10",51,51,3366,3765,66,"0.%"
"2021-02-04",3723,"2021-04-10",51,51,3366,3765,65,"0.%"
"2021-02-05",3724,"2021-04-10",51,51,3366,3765,64,"0.%"
"2021-02-06",3730,"2021-04-10",51,51,3366,3765,63,"0.%"
"2021-02-07",3730,"2021-04-10",51,51,3368,3765,62,"0.%"
"2021-02-08",3730,"2021-04-10",51,51,3369,3765,61,"0.%"
"2021-02-13",3731,"2021-04-10",51,51,3369,3765,56,"0.%"
"2021-02-14",3732,"2021-04-10",51,51,3369,3765,55,"0.%"
"2021-02-15",3733,"2021-04-10",51,51,3371,3765,54,"0.%"
"2021-02-16",3735,"2021-04-10",51,51,3371,3765,53,"0.%"
"2021-02-17",3736,"2021-04-10",51,51,3377,3765,52,"0.%"
"2021-02-18",3738,"2021-04-10",51,51,3377,3765,51,"0.%"
"2021-02-19",3742,"2021-04-10",51,51,3377,3765,50,"0.%"
"2021-02-23",3744,"2021-04-10",51,51,3377,3765,46,"0.%"
"2021-02-24",3746,"2021-04-10",51,51,3377,3765,45,"0.%"
"2021-02-25",3746,"2021-04-10",51,51,3378,3765,44,"0.%"
"2021-02-26",3746,"2021-04-10",51,51,3380,3765,43,"0.%"
"2021-02-27",3746,"2021-04-10",51,51,3381,3765,42,"0.%"
"2021-02-28",3746,"2021-04-10",51,51,3382,3765,41,"0.%"
"2021-03-01",3746,"2021-04-10",51,51,3386,3765,40,"0.%"
"2021-03-02",3747,"2021-04-10",51,51,3386,3765,39,"0.%"
"2021-03-03",3748,"2021-04-10",51,51,3386,3765,38,"0.%"
"2021-03-05",3748,"2021-04-10",51,51,3388,3765,36,"0.%"
"2021-03-06",3749,"2021-04-10",51,51,3390,3765,35,"0.%"
"2021-03-07",3752,"2021-04-10",51,51,3390,3765,34,"0.%"
"2021-03-09",3755,"2021-04-10",51,51,3390,3765,32,"0.%"
"2021-03-10",3757,"2021-04-10",51,51,3390,3765,31,"0.%"
"2021-03-11",3762,"2021-04-10",51,51,3390,3765,30,"0.%"
"2021-03-12",3770,"2021-04-11",51,51,3391,3813,30,"0.%"
"2021-03-13",3783,"2021-04-11",51,51,3392,3813,29,"0.%"
"2021-03-14",3793,"2021-04-11",51,51,3392,3813,28,"0.%"
"2021-03-15",3798,"2021-04-11",51,51,3393,3813,27,"0.%"
"2021-03-16",3803,"2021-04-11",51,51,3395,3813,26,"0.%"
"2021-03-17",3805,"2021-04-11",51,51,3397,3813,25,"0.%"
"2021-03-18",3812,"2021-04-11",51,51,3406,3813,24,"0.%"
"2021-03-19",3822,"2021-04-12",51,51,3407,3855,24,"0.%"
"2021-03-20",3833,"2021-04-12",51,51,3410,3855,23,"0.%"
"2021-03-21",3846,"2021-04-12",51,51,3414,3855,22,"0.%"
"2021-03-22",3861,"2021-04-13",51,51,3422,3906,22,"0.%"
"2021-03-23",3876,"2021-04-13",51,51,3434,3906,21,"0.%"
"2021-03-24",3895,"2021-04-13",51,51,3442,3906,20,"0.%"
"2021-03-25",3919,"2021-04-14",51,51,3456,3988,20,"0.%"
"2021-03-26",3964,"2021-04-14",51,51,3461,3988,19,"0.%"
"2021-03-27",3983,"2021-04-14",51,51,3463,3988,18,"0.%"
