"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-08",830,"2020-11-12",6,6,804,832,4,"0.%"
"2020-11-09",835,"2020-11-13",6,6,809,835,4,"0.%"
"2020-11-10",847,"2020-11-18",6,6,813,847,8,"0.%"
"2020-11-11",851,"2020-11-19",6,6,822,853,8,"0.%"
"2020-11-12",857,"2020-11-21",6,6,832,864,9,"0.%"
"2020-11-13",863,"2020-11-21",6,6,835,864,8,"0.%"
"2020-11-14",869,"2020-11-22",6,6,837,874,8,"0.%"
"2020-11-15",874,"2020-11-22",6,6,839,874,7,"0.%"
"2020-11-16",875,"2020-11-23",6,6,841,881,7,"0.%"
"2020-11-17",875,"2020-11-23",6,6,844,881,6,"0.%"
"2020-11-18",882,"2020-11-24",6,6,847,882,6,"0.%"
"2020-11-19",885,"2020-11-25",6,6,853,886,6,"0.%"
"2020-11-20",885,"2020-11-25",6,6,854,886,5,"0.%"
"2020-11-21",891,"2020-11-26",6,6,864,891,5,"0.%"
"2020-11-22",903,"2020-11-28",6,6,874,905,6,"0.%"
"2020-11-23",913,"2020-11-30",6,6,881,913,7,"0.%"
"2020-11-24",917,"2020-12-29",6,6,882,919,35,"0.%"
"2020-11-25",921,"2020-12-31",6,6,886,923,36,"0.%"
"2020-11-26",926,"2021-01-01",6,6,891,926,36,"0.%"
"2020-11-27",927,"2021-01-02",6,6,891,928,36,"0.%"
"2020-11-28",929,"2021-01-03",6,6,905,929,36,"0.%"
"2020-11-29",934,"2021-01-07",6,6,908,936,39,"0.%"
"2020-11-30",943,"2021-01-11",6,7,913,943,42,"3.33%"
"2020-12-01",947,"2021-01-13",6,7,914,947,43,"3.03%"
"2020-12-26",948,"2021-01-14",6,7,914,950,19,"2.78%"
"2020-12-27",949,"2021-01-14",6,7,916,950,18,"2.94%"
"2020-12-28",950,"2021-01-14",6,7,916,950,17,"2.94%"
"2020-12-29",951,"2021-01-15",6,7,919,951,17,"3.12%"
"2020-12-30",954,"2021-01-16",6,7,919,956,17,"2.7%"
"2020-12-31",955,"2021-01-16",6,7,923,956,16,"3.03%"
"2021-01-01",956,"2021-01-16",6,7,926,956,15,"3.33%"
"2021-01-02",960,"2021-01-17",6,7,928,960,15,"3.12%"
"2021-01-03",963,"2021-01-18",6,7,929,963,15,"2.94%"
"2021-01-04",967,"2021-01-20",6,7,929,967,16,"2.63%"
"2021-01-05",969,"2021-01-24",6,7,930,969,19,"2.56%"
"2021-01-06",971,"2021-01-25",6,7,933,971,19,"2.63%"
"2021-01-07",971,"2021-01-25",6,7,936,971,18,"2.86%"
"2021-01-08",976,"2021-02-02",7,7,939,976,25,"0.%"
"2021-01-09",979,"2021-02-23",7,7,942,980,45,"0.%"
"2021-01-10",982,"2021-02-24",7,7,942,984,45,"0.%"
"2021-01-11",983,"2021-02-24",7,7,943,984,44,"0.%"
"2021-01-12",984,"2021-02-24",7,7,945,984,43,"0.%"
"2021-01-13",986,"2021-03-01",7,7,947,986,47,"0.%"
"2021-01-14",987,"2021-03-03",7,7,950,987,48,"0.%"
"2021-01-15",987,"2021-03-03",7,7,951,987,47,"0.%"
"2021-01-16",987,"2021-03-03",7,7,956,987,46,"0.%"
"2021-01-17",988,"2021-03-06",7,7,960,988,48,"0.%"
"2021-01-18",989,"2021-03-07",7,7,963,991,48,"0.%"
"2021-01-19",991,"2021-03-07",7,7,966,991,47,"0.%"
"2021-01-20",991,"2021-03-07",7,7,967,991,46,"0.%"
"2021-01-21",991,"2021-03-07",7,7,968,991,45,"0.%"
"2021-01-22",992,"2021-03-09",7,7,968,993,46,"0.%"
"2021-01-23",993,"2021-03-09",7,7,968,993,45,"0.%"
"2021-01-24",993,"2021-03-09",7,7,969,993,44,"0.%"
"2021-01-25",993,"2021-03-09",7,7,971,993,43,"0.%"
"2021-01-26",994,"2021-03-13",7,7,971,995,46,"0.%"
"2021-01-29",994,"2021-03-13",7,7,973,995,43,"0.%"
"2021-01-30",996,"2021-03-15",7,7,974,996,44,"0.%"
"2021-01-31",996,"2021-03-15",7,7,975,996,43,"0.%"
"2021-02-01",997,"2021-03-17",7,7,975,998,44,"0.%"
"2021-02-02",997,"2021-03-17",7,7,976,998,43,"0.%"
"2021-02-03",998,"2021-03-17",7,7,976,998,42,"0.%"
"2021-02-05",998,"2021-03-17",7,7,977,998,40,"0.%"
"2021-02-06",998,"2021-03-17",7,7,978,998,39,"0.%"
"2021-02-16",1001,"2021-03-20",7,7,978,1001,32,"0.%"
"2021-02-17",1002,"2021-03-21",7,7,978,1003,32,"0.%"
"2021-02-21",1003,"2021-03-21",7,7,978,1003,28,"0.%"
"2021-02-22",1005,"2021-03-23",7,7,978,1005,29,"0.%"
"2021-02-23",1006,"2021-03-25",7,7,980,1011,30,"0.%"
"2021-02-24",1006,"2021-03-25",7,7,984,1011,29,"0.%"
"2021-02-26",1007,"2021-03-25",7,7,984,1011,27,"0.%"
"2021-02-27",1010,"2021-03-25",7,7,984,1011,26,"0.%"
"2021-03-01",1010,"2021-03-25",7,7,986,1011,24,"0.%"
"2021-03-03",1010,"2021-03-25",7,7,987,1011,22,"0.%"
"2021-03-06",1011,"2021-03-25",7,7,988,1011,19,"0.%"
"2021-03-07",1013,"2021-03-26",7,7,991,1015,19,"0.%"
"2021-03-08",1014,"2021-03-26",7,7,991,1015,18,"0.%"
"2021-03-09",1015,"2021-03-26",7,7,993,1015,17,"0.%"
"2021-03-10",1016,"2021-03-27",7,7,993,1021,17,"0.%"
"2021-03-11",1017,"2021-03-27",7,7,993,1021,16,"0.%"
"2021-03-12",1019,"2021-03-27",7,7,993,1021,15,"0.%"
"2021-03-13",1021,"2021-03-27",7,7,995,1021,14,"0.%"
"2021-03-14",1022,"2021-03-28",7,7,995,1027,14,"0.%"
"2021-03-15",1024,"2021-03-28",7,7,996,1027,13,"0.%"
"2021-03-16",1026,"2021-03-28",7,7,996,1027,12,"0.%"
"2021-03-17",1028,"2021-03-29",7,7,998,1032,12,"0.%"
"2021-03-18",1033,"2021-03-31",7,7,998,1039,13,"0.%"
"2021-03-19",1035,"2021-03-31",7,7,999,1039,12,"0.%"
"2021-03-20",1038,"2021-03-31",7,7,1001,1039,11,"0.%"
"2021-03-21",1043,"2021-04-01",7,7,1003,1048,11,"0.%"
"2021-03-22",1050,"2021-04-02",7,7,1003,1051,11,"0.%"
"2021-03-23",1056,"2021-04-03",7,8,1005,1058,11,"1.89%"
"2021-03-24",1064,"2021-04-04",7,8,1005,1067,11,"1.61%"
"2021-03-25",1069,"2021-04-05",7,8,1011,1074,11,"1.59%"
"2021-03-26",1075,"2021-04-07",7,8,1015,1083,12,"1.47%"
"2021-03-27",1083,"2021-04-07",7,8,1021,1083,11,"1.61%"
"2021-03-28",1088,"2021-04-08",7,8,1027,1088,11,"1.64%"
"2021-03-29",1094,"2021-04-09",7,8,1032,1094,11,"1.61%"
"2021-03-30",1099,"2021-04-10",7,8,1032,1100,11,"1.47%"
"2021-03-31",1103,"2021-04-11",7,8,1039,1110,11,"1.41%"
"2021-04-01",1110,"2021-04-11",7,8,1048,1110,10,"1.61%"
"2021-04-02",1120,"2021-04-13",7,8,1051,1120,11,"1.45%"
"2021-04-03",1125,"2021-04-14",8,8,1058,1129,11,"0.%"
"2021-04-04",1143,"2021-04-16",8,8,1067,1149,12,"0.%"
"2021-04-05",1150,"2021-04-17",8,8,1074,1165,12,"0.%"
"2021-04-06",1156,"2021-04-17",8,8,1074,1165,11,"0.%"
"2021-04-07",1161,"2021-04-17",8,8,1083,1165,10,"0.%"
"2021-04-08",1170,"2021-04-18",8,8,1088,1181,10,"0.%"
"2021-04-09",1180,"2021-04-18",8,8,1094,1181,9,"0.%"
"2021-04-10",1195,"2021-04-19",8,8,1100,1196,9,"0.%"
"2021-04-11",1212,"2021-04-20",8,8,1110,1231,9,"0.%"
"2021-04-12",1226,"2021-04-20",8,8,1117,1231,8,"0.%"
"2021-04-13",1247,"2021-04-21",8,8,1120,1277,8,"0.%"
"2021-04-14",1288,"2021-04-22",8,8,1129,1324,8,"0.%"
"2021-04-15",1349,"2021-04-23",8,8,1137,1377,8,"0.%"
"2021-04-16",1427,"2021-04-25",8,9,1149,1470,9,".31%"
"2021-04-17",1525,"2021-04-26",8,9,1165,1530,9,".27%"
"2021-04-18",1624,"2021-04-28",8,9,1181,1642,10,".22%"
"2021-04-19",1733,"2021-04-30",8,9,1196,1818,11,".16%"
"2021-04-20",1846,"2021-05-01",8,10,1231,1909,11,".29%"
"2021-04-21",1981,"2021-05-02",8,10,1277,1992,11,".28%"
"2021-04-22",2084,"2021-05-03",8,11,1324,2089,11,".39%"
"2021-04-23",2173,"2021-05-05",8,12,1377,2191,12,".49%"
