"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-24",1195,"2020-07-31",9,15,945,1220,7,"2.18%"
"2020-07-25",1222,"2020-08-01",10,15,998,1307,7,"1.62%"
"2020-07-26",1254,"2020-08-01",10,15,1006,1307,6,"1.66%"
"2020-07-27",1334,"2020-08-02",11,16,1053,1366,6,"1.6%"
"2020-07-28",1372,"2020-08-03",13,16,1098,1404,6,".98%"
"2020-07-29",1447,"2020-08-05",13,16,1152,1501,7,".86%"
"2020-07-30",1495,"2020-08-05",14,16,1186,1501,6,".63%"
"2020-07-31",1543,"2020-08-07",15,18,1220,1608,7,".77%"
"2020-08-01",1626,"2020-08-08",15,18,1307,1656,7,".86%"
"2020-08-02",1701,"2020-08-09",16,18,1366,1705,7,".59%"
"2020-08-03",1710,"2020-08-10",16,18,1404,1748,7,".58%"
"2020-08-04",1742,"2020-08-10",16,18,1438,1748,6,".65%"
"2020-08-05",1810,"2020-08-11",16,19,1501,1819,6,".94%"
"2020-08-06",1888,"2020-08-13",17,20,1534,1972,7,".68%"
"2020-08-07",1967,"2020-08-13",18,20,1608,1972,6,".55%"
"2020-08-08",2055,"2020-08-14",18,20,1656,2060,6,".5%"
"2020-08-09",2107,"2020-08-15",18,20,1705,2135,6,".47%"
"2020-08-10",2191,"2020-08-16",18,20,1748,2217,6,".43%"
"2020-08-11",2260,"2020-08-17",19,21,1819,2278,6,".44%"
"2020-08-12",2325,"2020-08-18",19,21,1869,2352,6,".41%"
"2020-08-13",2388,"2020-08-19",20,23,1972,2415,6,".68%"
"2020-08-14",2446,"2020-08-20",20,23,2060,2470,6,".73%"
"2020-08-15",2501,"2020-08-21",20,23,2135,2541,6,".74%"
"2020-08-16",2569,"2020-08-22",20,23,2217,2613,6,".76%"
"2020-08-17",2640,"2020-08-23",21,25,2278,2662,6,"1.04%"
"2020-08-18",2703,"2020-08-24",21,26,2352,2736,6,"1.3%"
"2020-08-19",2771,"2020-08-25",23,27,2415,2832,6,".96%"
"2020-08-20",2863,"2020-08-26",23,28,2470,2898,6,"1.17%"
"2020-08-21",2961,"2020-08-27",23,28,2541,2973,6,"1.16%"
"2020-08-22",3051,"2020-08-29",23,28,2613,3155,7,".92%"
"2020-08-23",3148,"2020-08-29",25,28,2662,3155,6,".61%"
"2020-08-24",3228,"2020-08-31",26,31,2736,3271,7,".93%"
"2020-08-25",3299,"2020-09-01",27,32,2832,3319,7,"1.03%"
"2020-08-26",3359,"2020-09-02",28,33,2898,3426,7,".95%"
"2020-08-27",3430,"2020-09-03",28,35,2973,3504,7,"1.32%"
"2020-08-28",3510,"2020-09-04",28,36,3046,3575,7,"1.51%"
"2020-08-29",3608,"2020-09-05",28,38,3155,3680,7,"1.9%"
"2020-08-30",3728,"2020-09-06",31,40,3226,3784,7,"1.61%"
"2020-08-31",3842,"2020-09-07",31,42,3271,3876,7,"1.82%"
"2020-09-01",3920,"2020-09-08",32,44,3319,3985,7,"1.8%"
"2020-09-02",4016,"2020-09-09",33,47,3426,4106,7,"2.06%"
"2020-09-03",4108,"2020-09-10",35,50,3504,4249,7,"2.01%"
"2020-09-04",4235,"2020-09-10",36,50,3575,4249,6,"2.08%"
"2020-09-05",4395,"2020-09-12",38,56,3680,4478,7,"2.26%"
"2020-09-06",4585,"2020-09-14",40,59,3784,4816,8,"1.84%"
"2020-09-07",4773,"2020-09-14",42,59,3876,4816,7,"1.81%"
"2020-09-08",4871,"2020-09-15",44,61,3985,4923,7,"1.81%"
"2020-09-09",5051,"2020-09-16",47,62,4106,5068,7,"1.56%"
"2020-09-10",5276,"2020-09-18",50,66,4249,5380,8,"1.41%"
"2020-09-11",5444,"2020-09-19",53,69,4362,5523,8,"1.38%"
"2020-09-12",5641,"2020-09-21",56,72,4478,5746,9,"1.26%"
"2020-09-13",5823,"2020-09-22",59,75,4583,5941,9,"1.18%"
"2020-09-14",6008,"2020-09-23",59,78,4816,6081,9,"1.5%"
"2020-09-15",6198,"2020-09-25",61,83,4923,6445,10,"1.45%"
"2020-09-16",6390,"2020-09-25",62,83,5068,6445,9,"1.53%"
"2020-09-17",6550,"2020-09-26",64,85,5239,6570,9,"1.58%"
"2020-09-18",6690,"2020-09-27",66,87,5380,6702,9,"1.59%"
"2020-09-19",6910,"2020-09-29",69,89,5523,6919,10,"1.43%"
"2020-09-20",7090,"2020-09-30",72,90,5616,7195,10,"1.14%"
"2020-09-21",7182,"2020-09-30",72,90,5746,7195,9,"1.24%"
"2020-09-22",7272,"2020-10-01",75,91,5941,7307,9,"1.17%"
"2020-09-23",7397,"2020-10-02",78,92,6081,7403,9,"1.06%"
"2020-09-24",7489,"2020-10-03",81,94,6189,7519,9,".98%"
"2020-09-25",7579,"2020-10-04",83,94,6445,7644,9,".92%"
"2020-09-26",7649,"2020-10-05",85,99,6570,7734,9,"1.2%"
"2020-09-27",7709,"2020-10-05",87,99,6702,7734,8,"1.16%"
"2020-09-28",7776,"2020-10-06",88,99,6827,7829,8,"1.1%"
"2020-09-29",7837,"2020-10-07",89,99,6919,7928,8,".99%"
"2020-09-30",7910,"2020-10-07",90,99,7195,7928,7,"1.23%"
"2020-10-01",7969,"2020-10-08",91,100,7307,7998,7,"1.3%"
"2020-10-02",8054,"2020-10-09",92,101,7403,8069,7,"1.35%"
"2020-10-03",8104,"2020-10-10",94,103,7519,8137,7,"1.46%"
"2020-10-04",8176,"2020-10-11",94,103,7644,8187,7,"1.66%"
"2020-10-05",8211,"2020-10-12",99,103,7734,8222,7,".82%"
"2020-10-06",8268,"2020-10-13",99,103,7829,8272,7,".9%"
"2020-10-07",8324,"2020-10-15",99,104,7928,8348,8,"1.19%"
"2020-10-08",8373,"2020-10-16",100,104,7998,8381,8,"1.04%"
"2020-10-09",8416,"2020-10-18",101,104,8069,8438,9,".81%"
"2020-10-10",8461,"2020-10-20",103,104,8137,8484,10,".29%"
"2020-10-11",8487,"2020-10-21",103,104,8187,8515,10,".3%"
"2020-10-12",8515,"2020-10-21",103,104,8222,8515,9,".34%"
