"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-19",2003,"2020-06-29",51,75,705,2149,10,"1.66%"
"2020-06-20",2100,"2020-06-29",52,75,730,2149,9,"1.62%"
"2020-06-21",2237,"2020-06-30",56,77,945,2449,9,"1.4%"
"2020-06-22",2413,"2020-06-30",61,77,1084,2449,8,"1.17%"
"2020-06-23",2596,"2020-07-01",64,80,1263,2632,8,"1.17%"
"2020-06-24",2797,"2020-07-02",65,83,1342,2835,8,"1.21%"
"2020-06-25",2940,"2020-07-03",68,87,1536,3232,8,"1.12%"
"2020-06-26",3134,"2020-07-03",70,87,1776,3232,7,"1.17%"
"2020-06-27",3325,"2020-07-04",71,89,1871,3579,7,"1.05%"
"2020-06-28",3456,"2020-07-04",73,89,1873,3579,6,".94%"
"2020-06-29",3590,"2020-07-05",75,92,2149,3672,6,"1.12%"
"2020-06-30",3733,"2020-07-06",77,95,2449,3780,6,"1.35%"
"2020-07-01",3898,"2020-07-08",80,97,2632,3917,7,"1.32%"
"2020-07-02",4028,"2020-07-09",83,98,2835,4056,7,"1.23%"
"2020-07-03",4184,"2020-07-10",87,98,3232,4188,7,"1.15%"
"2020-07-04",4364,"2020-07-12",89,101,3579,4459,8,"1.36%"
"2020-07-05",4525,"2020-07-13",92,101,3672,4623,8,".95%"
"2020-07-06",4648,"2020-07-14",95,101,3780,4743,8,".62%"
"2020-07-07",4770,"2020-07-15",95,104,3860,4816,8,".94%"
"2020-07-08",4926,"2020-07-16",97,104,3917,4936,8,".69%"
"2020-07-09",5108,"2020-07-18",98,109,4056,5156,9,"1.%"
"2020-07-10",5108,"2020-07-18",98,109,4188,5156,8,"1.14%"
"2020-07-11",5198,"2020-07-19",101,110,4317,5242,8,".97%"
"2020-07-12",5420,"2020-07-22",101,114,4459,5496,10,"1.25%"
"2020-07-13",5550,"2020-07-23",101,117,4623,5641,10,"1.57%"
"2020-07-14",5665,"2020-07-24",101,117,4743,5761,10,"1.57%"
"2020-07-15",5881,"2020-07-26",104,120,4816,6143,11,"1.21%"
"2020-07-16",6051,"2020-07-26",104,120,4936,6143,10,"1.33%"
"2020-07-17",6211,"2020-07-27",104,123,5071,6311,10,"1.53%"
"2020-07-18",6350,"2020-07-28",109,127,5156,6454,10,"1.39%"
"2020-07-19",6465,"2020-07-29",110,129,5242,6621,10,"1.38%"
"2020-07-20",6568,"2020-07-29",110,129,5242,6621,9,"1.38%"
"2020-07-21",6679,"2020-07-30",112,131,5396,7017,9,"1.17%"
"2020-07-22",6853,"2020-07-30",114,131,5496,7017,8,"1.12%"
"2020-07-23",7073,"2020-07-31",117,131,5641,7397,8,".8%"
"2020-07-24",7276,"2020-07-31",117,131,5761,7397,7,".86%"
"2020-07-25",7474,"2020-08-01",120,134,5873,7652,7,".79%"
"2020-07-26",7693,"2020-08-02",120,134,6143,7799,7,".85%"
"2020-07-27",7911,"2020-08-03",123,134,6311,8211,7,".58%"
"2020-07-28",8097,"2020-08-03",127,134,6454,8211,6,".4%"
"2020-07-29",8295,"2020-08-04",129,135,6621,8392,6,".34%"
"2020-07-30",8479,"2020-08-05",131,137,7017,8513,6,".4%"
"2020-07-31",8655,"2020-08-06",131,139,7397,8732,6,".6%"
"2020-08-01",8830,"2020-08-07",134,139,7652,8917,6,".4%"
"2020-08-02",9002,"2020-08-08",134,140,7799,9079,6,".47%"
"2020-08-03",9172,"2020-08-09",134,141,8211,9267,6,".66%"
"2020-08-04",9341,"2020-08-10",135,142,8392,9372,6,".71%"
"2020-08-05",9510,"2020-08-12",137,146,8513,9611,7,".82%"
"2020-08-06",9671,"2020-08-13",139,148,8732,9718,7,".91%"
"2020-08-07",9830,"2020-08-14",139,149,8917,9853,7,"1.07%"
"2020-08-08",9979,"2020-08-15",140,151,9079,10035,7,"1.15%"
"2020-08-09",10129,"2020-08-16",141,153,9267,10156,7,"1.35%"
"2020-08-10",10283,"2020-08-17",142,154,9372,10306,7,"1.28%"
"2020-08-11",10404,"2020-08-18",144,155,9447,10431,7,"1.12%"
"2020-08-12",10517,"2020-08-19",146,157,9611,10565,7,"1.15%"
"2020-08-13",10653,"2020-08-20",148,159,9718,10689,7,"1.13%"
"2020-08-14",10782,"2020-08-21",149,160,9853,10800,7,"1.16%"
"2020-08-15",10913,"2020-08-23",151,160,10035,10987,8,".95%"
"2020-08-16",11030,"2020-08-24",153,162,10156,11052,8,"1.%"
"2020-08-17",11137,"2020-08-25",154,164,10306,11177,8,"1.15%"
"2020-08-18",11236,"2020-08-26",155,166,10431,11316,8,"1.24%"
"2020-08-19",11315,"2020-08-26",157,166,10565,11316,7,"1.2%"
"2020-08-20",11403,"2020-08-27",159,167,10689,11458,7,"1.04%"
"2020-08-21",11530,"2020-08-28",160,168,10800,11567,7,"1.04%"
"2020-08-22",11627,"2020-08-29",160,168,10908,11689,7,"1.02%"
"2020-08-23",11725,"2020-08-30",160,169,10987,11808,7,"1.1%"
"2020-08-24",11850,"2020-08-31",162,170,11052,11917,7,".92%"
"2020-08-25",11982,"2020-09-01",164,172,11177,11993,7,".98%"
"2020-08-26",12093,"2020-09-02",166,173,11316,12116,7,".88%"
"2020-08-27",12189,"2020-09-03",167,174,11458,12215,7,".92%"
"2020-08-28",12304,"2020-09-04",168,176,11567,12341,7,"1.03%"
"2020-08-29",12462,"2020-09-05",168,176,11689,12559,7,".92%"
"2020-08-30",12581,"2020-09-06",169,178,11808,12743,7,".96%"
"2020-08-31",12684,"2020-09-06",170,178,11917,12743,6,".97%"
"2020-09-01",12816,"2020-09-07",172,179,11993,12910,6,".76%"
"2020-09-02",12968,"2020-09-08",173,180,12116,13092,6,".72%"
"2020-09-03",13118,"2020-09-09",174,182,12215,13212,6,".8%"
"2020-09-04",13338,"2020-09-10",176,183,12341,13361,6,".69%"
"2020-09-05",13622,"2020-09-12",176,188,12559,13766,7,".99%"
"2020-09-06",13898,"2020-09-13",178,191,12743,14097,7,".96%"
"2020-09-07",14168,"2020-09-14",179,193,12910,14352,7,".97%"
"2020-09-08",14434,"2020-09-15",180,195,13092,14607,7,".99%"
