"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-22",8646,"2020-10-31",109,135,7560,8674,9,"2.33%"
"2020-10-23",8771,"2020-11-02",112,138,7674,8873,10,"2.17%"
"2020-10-24",8910,"2020-11-03",118,138,7783,8986,10,"1.66%"
"2020-10-25",9011,"2020-11-04",118,141,7922,9068,10,"2.01%"
"2020-10-26",9127,"2020-11-05",120,142,8041,9238,10,"1.84%"
"2020-10-27",9237,"2020-11-05",124,142,8139,9238,9,"1.64%"
"2020-10-28",9393,"2020-11-06",127,142,8204,9405,9,"1.25%"
"2020-10-29",9583,"2020-11-08",128,152,8371,9778,10,"1.71%"
"2020-10-30",9778,"2020-11-08",132,152,8458,9778,9,"1.52%"
"2020-10-31",9979,"2020-11-10",135,152,8674,10124,10,"1.17%"
"2020-11-01",10171,"2020-11-11",135,156,8769,10264,10,"1.4%"
"2020-11-02",10328,"2020-11-12",138,164,8873,10525,10,"1.57%"
"2020-11-03",10517,"2020-11-12",138,164,8986,10525,9,"1.69%"
"2020-11-04",10819,"2020-11-14",141,174,9068,10926,10,"1.78%"
"2020-11-05",11011,"2020-11-15",142,174,9238,11153,10,"1.67%"
"2020-11-06",11219,"2020-11-16",142,181,9405,11404,10,"1.95%"
"2020-11-07",11481,"2020-11-17",148,186,9577,11627,10,"1.85%"
"2020-11-08",11653,"2020-11-18",152,193,9778,11809,10,"2.02%"
"2020-11-09",11936,"2020-11-19",152,197,9924,12024,10,"2.14%"
"2020-11-10",12127,"2020-11-20",152,199,10124,12215,10,"2.25%"
"2020-11-11",12363,"2020-11-21",156,202,10264,12385,10,"2.17%"
"2020-11-12",12648,"2020-11-23",164,209,10525,13137,11,"1.72%"
"2020-11-13",12858,"2020-11-23",174,209,10751,13137,10,"1.47%"
"2020-11-14",13054,"2020-11-23",174,209,10926,13137,9,"1.58%"
"2020-11-15",13217,"2020-11-25",174,216,11153,13434,10,"1.84%"
"2020-11-16",13273,"2020-11-25",181,216,11404,13434,9,"1.72%"
"2020-11-17",13541,"2020-11-26",186,219,11627,13671,9,"1.61%"
"2020-11-18",13892,"2020-11-28",193,227,11809,14048,10,"1.52%"
"2020-11-19",14054,"2020-11-29",197,233,12024,14211,10,"1.65%"
"2020-11-20",14342,"2020-11-30",199,237,12215,14395,10,"1.74%"
"2020-11-21",14521,"2020-12-01",202,241,12385,14670,10,"1.71%"
"2020-11-22",14681,"2020-12-26",206,241,12560,14696,34,"1.64%"
"2020-11-23",14816,"2021-01-04",209,247,13137,14819,42,"2.26%"
"2020-11-24",14980,"2021-02-02",213,252,13216,14981,70,"2.21%"
"2020-11-25",15127,"2021-03-27",216,261,13434,15135,122,"2.65%"
"2020-11-26",15203,"2021-04-01",219,264,13671,15205,126,"2.93%"
"2020-11-27",15360,"2021-04-09",222,268,13868,15385,133,"3.03%"
"2020-11-28",15494,"2021-04-12",227,269,14048,15518,135,"2.86%"
"2020-11-29",15624,"2021-04-15",233,273,14211,15706,137,"2.68%"
"2020-11-30",15726,"2021-04-16",237,274,14395,15780,137,"2.67%"
"2020-12-01",15793,"2021-04-17",241,277,14670,15901,137,"2.92%"
"2020-12-26",15811,"2021-04-17",241,277,14696,15901,112,"2.99%"
"2020-12-27",15821,"2021-04-17",243,277,14738,15901,111,"2.92%"
"2020-12-28",15831,"2021-04-17",243,277,14738,15901,110,"2.92%"
"2020-12-29",15852,"2021-04-17",244,277,14759,15901,109,"2.89%"
"2020-12-30",15856,"2021-04-17",245,277,14769,15901,108,"2.83%"
"2020-12-31",15869,"2021-04-17",247,277,14771,15901,107,"2.65%"
"2021-01-01",15870,"2021-04-17",247,277,14803,15901,106,"2.73%"
"2021-01-02",15874,"2021-04-17",247,277,14803,15901,105,"2.73%"
"2021-01-03",15880,"2021-04-17",247,277,14803,15901,104,"2.73%"
"2021-01-04",15899,"2021-04-17",247,277,14819,15901,103,"2.77%"
"2021-01-05",15906,"2021-04-18",247,280,14819,16040,103,"2.7%"
"2021-01-06",15916,"2021-04-18",247,280,14837,16040,102,"2.74%"
"2021-01-07",15918,"2021-04-18",248,280,14853,16040,101,"2.7%"
"2021-01-08",15926,"2021-04-18",248,280,14860,16040,100,"2.71%"
"2021-01-09",15930,"2021-04-18",248,280,14864,16040,99,"2.72%"
"2021-01-10",15940,"2021-04-18",249,280,14866,16040,98,"2.64%"
"2021-01-11",15948,"2021-04-18",249,280,14873,16040,97,"2.66%"
"2021-01-12",15956,"2021-04-18",249,280,14885,16040,96,"2.68%"
"2021-01-13",15966,"2021-04-18",249,280,14897,16040,95,"2.71%"
"2021-01-14",15966,"2021-04-18",249,280,14902,16040,94,"2.72%"
"2021-01-15",15975,"2021-04-18",250,280,14910,16040,93,"2.65%"
"2021-01-16",15977,"2021-04-18",250,280,14914,16040,92,"2.66%"
"2021-01-17",15981,"2021-04-18",250,280,14922,16040,91,"2.68%"
"2021-01-18",15981,"2021-04-18",251,280,14926,16040,90,"2.6%"
"2021-01-19",15981,"2021-04-18",251,280,14940,16040,89,"2.64%"
"2021-01-20",15981,"2021-04-18",251,280,14946,16040,88,"2.65%"
"2021-01-21",15982,"2021-04-18",251,280,14957,16040,87,"2.68%"
"2021-01-22",15983,"2021-04-18",251,280,14961,16040,86,"2.69%"
"2021-01-23",15986,"2021-04-18",251,280,14963,16040,85,"2.69%"
"2021-01-24",15987,"2021-04-18",251,280,14969,16040,84,"2.71%"
"2021-01-25",15989,"2021-04-18",251,280,14971,16040,83,"2.71%"
"2021-01-26",15991,"2021-04-18",251,280,14971,16040,82,"2.71%"
"2021-01-27",15996,"2021-04-18",251,280,14971,16040,81,"2.71%"
"2021-01-28",16005,"2021-04-18",251,280,14971,16040,80,"2.71%"
"2021-01-29",16005,"2021-04-18",251,280,14972,16040,79,"2.72%"
"2021-01-30",16008,"2021-04-18",251,280,14975,16040,78,"2.72%"
"2021-01-31",16010,"2021-04-18",251,280,14976,16040,77,"2.73%"
"2021-02-01",16012,"2021-04-18",252,280,14979,16040,76,"2.64%"
"2021-02-02",16012,"2021-04-18",252,280,14981,16040,75,"2.64%"
"2021-02-03",16014,"2021-04-18",252,280,14984,16040,74,"2.65%"
"2021-02-04",16016,"2021-04-18",252,280,14987,16040,73,"2.66%"
"2021-02-05",16016,"2021-04-18",252,280,14988,16040,72,"2.66%"
"2021-02-06",16019,"2021-04-18",252,280,14995,16040,71,"2.68%"
"2021-02-07",16020,"2021-04-18",252,280,14997,16040,70,"2.68%"
"2021-02-08",16023,"2021-04-18",252,280,14998,16040,69,"2.69%"
"2021-02-09",16025,"2021-04-18",252,280,15000,16040,68,"2.69%"
"2021-02-10",16027,"2021-04-18",252,280,15002,16040,67,"2.7%"
"2021-02-11",16032,"2021-04-18",252,280,15003,16040,66,"2.7%"
"2021-02-12",16032,"2021-04-18",252,280,15004,16040,65,"2.7%"
"2021-02-13",16035,"2021-04-18",253,280,15007,16040,64,"2.61%"
"2021-02-14",16035,"2021-04-18",253,280,15014,16040,63,"2.63%"
"2021-02-15",16036,"2021-04-18",253,280,15014,16040,62,"2.63%"
"2021-02-16",16036,"2021-04-18",253,280,15015,16040,61,"2.63%"
