"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-08-20",568,"2020-08-28",4,9,348,591,8,"2.06%"
"2020-08-21",582,"2020-08-28",4,9,361,591,7,"2.17%"
"2020-08-22",647,"2020-08-31",4,11,397,650,9,"2.77%"
"2020-08-23",679,"2020-09-01",5,11,398,679,9,"2.14%"
"2020-08-24",700,"2020-09-03",5,11,425,760,10,"1.79%"
"2020-08-25",751,"2020-09-03",9,11,482,760,9,".72%"
"2020-08-26",829,"2020-09-05",9,14,508,832,10,"1.54%"
"2020-08-27",891,"2020-09-06",9,16,528,902,10,"1.87%"
"2020-08-28",933,"2020-09-07",9,18,591,952,10,"2.49%"
"2020-08-29",1006,"2020-09-08",9,19,601,1019,10,"2.39%"
"2020-08-30",1035,"2020-09-09",9,20,628,1065,10,"2.52%"
"2020-08-31",1075,"2020-09-10",11,20,650,1105,10,"1.98%"
"2020-09-01",1128,"2020-09-11",11,20,679,1155,10,"1.89%"
"2020-09-02",1217,"2020-09-12",11,21,696,1218,10,"1.92%"
"2020-09-03",1258,"2020-09-13",11,21,760,1262,10,"1.99%"
"2020-09-04",1312,"2020-09-14",13,25,807,1363,10,"2.16%"
"2020-09-05",1380,"2020-09-15",14,28,832,1420,10,"2.38%"
"2020-09-06",1411,"2020-09-15",16,28,902,1420,9,"2.32%"
"2020-09-07",1479,"2020-09-17",18,29,952,1522,10,"1.93%"
"2020-09-08",1536,"2020-09-18",19,29,1019,1565,10,"1.83%"
"2020-09-09",1564,"2020-09-18",20,29,1065,1565,9,"1.8%"
"2020-09-10",1620,"2020-09-19",20,29,1105,1626,9,"1.73%"
"2020-09-11",1683,"2020-09-21",20,32,1155,1721,10,"2.12%"
"2020-09-12",1722,"2020-09-22",21,33,1218,1758,10,"2.22%"
"2020-09-13",1766,"2020-09-23",21,34,1262,1799,10,"2.42%"
"2020-09-14",1831,"2020-09-24",25,36,1363,1874,10,"2.15%"
