"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-22",4761,"2020-09-29",80,90,3451,4765,7,".76%"
"2020-09-23",4861,"2020-09-30",82,91,3518,5002,7,".61%"
"2020-09-24",4986,"2020-09-30",85,91,3634,5002,6,".44%"
"2020-09-25",5117,"2020-10-01",85,91,3726,5182,6,".41%"
"2020-09-26",5146,"2020-10-01",85,91,3849,5182,5,".45%"
"2020-09-27",5205,"2020-10-02",87,91,4118,5241,5,".36%"
"2020-09-28",5368,"2020-10-06",88,92,4441,5408,8,".41%"
"2020-09-29",5511,"2020-10-09",90,95,4765,5547,10,".64%"
"2020-09-30",5645,"2020-10-12",91,96,5002,5657,12,".76%"
"2020-10-01",5684,"2020-10-13",91,96,5182,5705,12,".96%"
"2020-10-02",5730,"2020-10-14",91,96,5241,5758,12,".97%"
"2020-10-03",5781,"2020-10-15",91,96,5294,5848,12,".9%"
"2020-10-04",5808,"2020-10-15",92,96,5335,5848,11,".78%"
"2020-10-06",5892,"2020-10-16",92,97,5408,5900,10,"1.02%"
"2020-10-07",5924,"2020-10-18",94,97,5449,5935,11,".62%"
"2020-10-08",5961,"2020-10-19",95,97,5506,5975,11,".43%"
"2020-10-09",5987,"2020-10-20",95,97,5547,6009,11,".43%"
"2020-10-10",6032,"2020-10-21",95,97,5570,6036,11,".43%"
"2020-10-11",6062,"2020-10-23",95,99,5596,6102,12,".79%"
"2020-10-12",6113,"2020-10-24",96,99,5657,6157,12,".6%"
"2020-10-13",6150,"2020-10-24",96,99,5705,6157,11,".66%"
"2020-10-14",6218,"2020-10-27",96,101,5758,6254,13,"1.01%"
"2020-10-15",6267,"2020-10-28",96,101,5848,6273,13,"1.18%"
"2020-10-16",6285,"2020-10-29",97,102,5900,6290,13,"1.28%"
"2020-10-17",6314,"2020-10-31",97,103,5919,6336,14,"1.44%"
"2020-10-18",6338,"2020-11-01",97,103,5935,6379,14,"1.35%"
"2020-10-19",6357,"2020-11-01",97,103,5975,6379,13,"1.49%"
"2020-10-20",6371,"2020-11-01",97,103,6009,6379,12,"1.62%"
"2020-10-21",6404,"2020-11-03",97,104,6036,6446,13,"1.71%"
"2020-10-22",6422,"2020-11-03",98,104,6061,6446,12,"1.56%"
"2020-10-23",6461,"2020-11-05",99,105,6102,6492,13,"1.54%"
"2020-10-24",6481,"2020-11-05",99,105,6157,6492,12,"1.79%"
"2020-10-25",6526,"2020-11-06",100,105,6200,6597,12,"1.26%"
"2020-10-26",6541,"2020-11-06",100,105,6209,6597,11,"1.29%"
"2020-10-27",6564,"2020-11-06",101,105,6254,6597,10,"1.17%"
"2020-10-28",6579,"2020-11-06",101,105,6273,6597,9,"1.23%"
"2020-10-29",6634,"2020-11-08",102,105,6290,6655,10,".82%"
"2020-10-30",6665,"2020-11-09",103,105,6303,6676,10,".54%"
"2020-10-31",6700,"2020-11-10",103,105,6336,6708,10,".54%"
"2020-11-01",6724,"2020-11-11",103,105,6379,6724,10,".58%"
"2020-11-02",6754,"2020-11-12",104,105,6394,6756,10,".28%"
"2020-11-03",6797,"2020-11-15",104,105,6446,6815,12,".27%"
"2020-11-04",6828,"2020-11-16",104,105,6460,6836,12,".27%"
"2020-11-05",6893,"2020-11-18",105,107,6492,6900,13,".49%"
"2020-11-06",6919,"2020-11-19",105,108,6597,6927,13,".91%"
"2020-11-07",6933,"2020-11-20",105,108,6626,7022,13,".76%"
"2020-11-08",6950,"2020-11-20",105,108,6655,7022,12,".82%"
"2020-11-09",6979,"2020-11-20",105,108,6676,7022,11,".87%"
"2020-11-10",7000,"2020-11-20",105,108,6708,7022,10,".96%"
"2020-11-11",7040,"2020-11-21",105,108,6724,7050,10,".92%"
"2020-11-12",7070,"2020-11-22",105,109,6756,7078,10,"1.24%"
"2020-11-13",7114,"2020-11-24",105,110,6782,7147,11,"1.37%"
"2020-11-14",7153,"2020-11-25",105,111,6794,7158,11,"1.65%"
