"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-19",173,"2020-06-29",,1,,173,10,"-"
"2020-06-21",193,"2020-07-04",,1,,201,13,"-"
"2020-06-22",200,"2020-07-04",,1,,201,12,"-"
"2020-06-24",201,"2020-07-04",,1,,201,10,"-"
"2020-06-25",201,"2020-07-04",,1,,201,9,"-"
"2020-06-26",211,"2020-07-07",,1,,232,11,"-"
"2020-06-27",237,"2020-07-08",,1,,246,11,"-"
"2020-06-28",256,"2020-07-11",,1,,265,13,"-"
"2020-06-29",259,"2020-07-11",1,1,173,265,12,"0.%"
"2020-06-30",261,"2020-07-11",1,1,174,265,11,"0.%"
"2020-07-01",266,"2020-07-13",1,1,182,280,12,"0.%"
"2020-07-02",276,"2020-07-13",1,1,185,280,11,"0.%"
"2020-07-03",285,"2020-07-15",1,1,192,298,12,"0.%"
"2020-07-04",291,"2020-07-15",1,1,201,298,11,"0.%"
"2020-07-05",297,"2020-07-15",1,1,201,298,10,"0.%"
"2020-07-07",310,"2020-07-17",1,1,232,315,10,"0.%"
"2020-07-08",337,"2020-07-20",1,1,246,343,12,"0.%"
"2020-07-10",405,"2020-07-24",1,1,255,427,14,"0.%"
"2020-07-11",423,"2020-07-24",1,1,265,427,13,"0.%"
"2020-07-13",469,"2020-07-26",1,1,280,478,13,"0.%"
"2020-07-14",512,"2020-07-27",1,1,282,512,13,"0.%"
"2020-07-15",519,"2020-07-28",1,1,298,519,13,"0.%"
"2020-07-16",535,"2020-07-29",1,1,307,557,13,"0.%"
"2020-07-17",592,"2020-07-31",1,1,315,618,14,"0.%"
"2020-07-18",599,"2020-07-31",1,1,333,618,13,"0.%"
"2020-07-19",612,"2020-07-31",1,1,334,618,12,"0.%"
"2020-07-20",632,"2020-08-02",1,1,343,640,13,"0.%"
"2020-07-21",637,"2020-08-02",1,1,370,640,12,"0.%"
"2020-07-22",672,"2020-08-04",1,1,384,682,13,"0.%"
"2020-07-23",680,"2020-08-04",1,1,400,682,12,"0.%"
"2020-07-24",704,"2020-08-06",1,1,427,712,13,"0.%"
"2020-07-25",738,"2020-08-08",1,1,456,763,14,"0.%"
"2020-07-26",754,"2020-08-08",1,1,478,763,13,"0.%"
"2020-07-27",770,"2020-08-09",1,1,512,774,13,"0.%"
"2020-07-28",779,"2020-08-12",1,1,519,800,15,"0.%"
"2020-07-29",789,"2020-08-12",1,1,557,800,14,"0.%"
"2020-07-30",803,"2020-08-13",1,1,573,811,14,"0.%"
"2020-07-31",822,"2020-08-15",1,1,618,822,15,"0.%"
"2020-08-02",824,"2020-08-16",1,1,640,829,14,"0.%"
"2020-08-03",829,"2020-08-16",1,1,658,829,13,"0.%"
"2020-08-04",832,"2020-08-17",1,1,682,834,13,"0.%"
"2020-08-05",867,"2020-08-20",1,1,686,882,15,"0.%"
"2020-08-06",872,"2020-08-20",1,1,712,882,14,"0.%"
"2020-08-07",895,"2020-08-21",1,1,720,917,14,"0.%"
"2020-08-08",927,"2020-08-22",1,1,763,938,14,"0.%"
"2020-08-09",954,"2020-08-23",1,1,774,964,14,"0.%"
"2020-08-12",1014,"2020-08-25",1,1,800,1163,13,"0.%"
"2020-08-13",1051,"2020-08-25",1,1,811,1163,12,"0.%"
"2020-08-14",1084,"2020-08-25",1,1,815,1163,11,"0.%"
"2020-08-15",1127,"2020-08-25",1,1,822,1163,10,"0.%"
"2020-08-16",1150,"2020-08-25",1,1,829,1163,9,"0.%"
"2020-08-17",1191,"2020-08-27",1,1,834,1245,10,"0.%"
"2020-08-18",1216,"2020-08-27",1,1,848,1245,9,"0.%"
"2020-08-19",1271,"2020-08-29",1,1,865,1297,10,"0.%"
"2020-08-20",1284,"2020-08-29",1,1,882,1297,9,"0.%"
"2020-08-21",1342,"2020-08-31",1,1,917,1370,10,"0.%"
"2020-08-22",1364,"2020-08-31",1,1,938,1370,9,"0.%"
"2020-08-23",1391,"2020-09-01",1,1,964,1409,9,"0.%"
"2020-08-24",1438,"2020-09-02",1,1,999,1450,9,"0.%"
"2020-08-25",1450,"2020-09-02",1,1,1163,1450,8,"0.%"
"2020-08-26",1501,"2020-09-03",1,1,1182,1507,8,"0.%"
"2020-08-27",1564,"2020-09-05",1,1,1245,1571,9,"0.%"
"2020-08-28",1617,"2020-09-07",1,2,1269,1649,10,".26%"
"2020-08-29",1636,"2020-09-07",1,2,1297,1649,9,".28%"
"2020-08-30",1688,"2020-09-08",1,2,1327,1711,9,".26%"
"2020-08-31",1748,"2020-09-09",1,3,1370,1776,9,".49%"
"2020-09-01",1805,"2020-09-10",1,3,1409,1824,9,".48%"
"2020-09-02",1841,"2020-09-11",1,3,1450,1859,9,".49%"
"2020-09-03",1902,"2020-09-12",1,3,1507,1919,9,".49%"
"2020-09-04",1970,"2020-09-14",1,3,1542,2025,10,".41%"
"2020-09-05",2029,"2020-09-15",1,3,1571,2093,10,".38%"
