"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-25",1074,"2020-10-09",21,24,952,1085,14,"2.26%"
"2020-09-26",1086,"2020-10-11",21,25,960,1091,15,"3.05%"
"2020-09-27",1092,"2020-10-12",21,25,970,1092,15,"3.28%"
"2020-09-28",1097,"2020-10-13",21,25,981,1097,15,"3.45%"
"2020-09-29",1102,"2020-10-15",22,25,995,1109,16,"2.63%"
"2020-09-30",1117,"2020-10-18",22,25,1000,1125,18,"2.4%"
"2020-10-01",1123,"2020-10-18",23,25,1016,1125,17,"1.83%"
"2020-10-02",1128,"2020-10-19",23,25,1024,1146,17,"1.64%"
"2020-10-03",1130,"2020-10-19",23,25,1028,1146,16,"1.69%"
"2020-10-04",1132,"2020-10-19",23,25,1032,1146,15,"1.75%"
"2020-10-05",1138,"2020-10-19",23,25,1049,1146,14,"2.06%"
"2020-10-06",1189,"2020-10-27",23,26,1054,1194,21,"2.14%"
"2020-10-07",1189,"2020-10-27",24,26,1062,1194,20,"1.52%"
"2020-10-08",1189,"2020-10-27",24,26,1072,1194,19,"1.64%"
"2020-10-09",1189,"2020-10-27",24,26,1085,1194,18,"1.83%"
"2020-10-11",1189,"2020-10-27",25,26,1091,1194,16,".97%"
"2020-10-12",1189,"2020-10-27",25,26,1092,1194,15,".98%"
"2020-10-13",1189,"2020-10-27",25,26,1097,1194,14,"1.03%"
"2020-10-14",1196,"2020-10-28",25,26,1101,1203,14,".98%"
"2020-10-15",1202,"2020-10-28",25,26,1109,1203,13,"1.06%"
"2020-10-16",1204,"2020-10-29",25,26,1111,1207,13,"1.04%"
"2020-10-17",1207,"2020-10-29",25,26,1115,1207,12,"1.09%"
"2020-10-18",1208,"2020-10-30",25,26,1125,1215,12,"1.11%"
"2020-10-19",1223,"2020-11-03",25,26,1146,1226,15,"1.25%"
"2020-10-20",1230,"2020-11-04",26,26,1155,1231,15,"0.%"
"2020-10-21",1236,"2020-11-06",26,26,1158,1240,16,"0.%"
"2020-10-22",1244,"2020-11-07",26,26,1171,1248,16,"0.%"
"2020-10-23",1245,"2020-11-07",26,26,1174,1248,15,"0.%"
"2020-10-24",1246,"2020-11-07",26,26,1182,1248,14,"0.%"
"2020-10-25",1249,"2020-11-08",26,26,1182,1250,14,"0.%"
"2020-10-26",1250,"2020-11-08",26,26,1188,1250,13,"0.%"
"2020-10-27",1261,"2020-11-12",26,26,1194,1268,16,"0.%"
"2020-10-28",1269,"2020-11-13",26,26,1203,1279,16,"0.%"
"2020-10-29",1273,"2020-11-13",26,26,1207,1279,15,"0.%"
"2020-10-30",1278,"2020-11-13",26,26,1215,1279,14,"0.%"
"2020-10-31",1281,"2020-11-14",26,26,1216,1286,14,"0.%"
"2020-11-01",1284,"2020-11-14",26,26,1217,1286,13,"0.%"
"2020-11-02",1285,"2020-11-14",26,26,1222,1286,12,"0.%"
"2020-11-03",1291,"2020-11-15",26,26,1226,1296,12,"0.%"
"2020-11-04",1297,"2020-11-16",26,26,1231,1304,12,"0.%"
"2020-11-05",1309,"2020-11-17",26,26,1235,1314,12,"0.%"
"2020-11-06",1317,"2020-11-19",26,26,1240,1318,13,"0.%"
"2020-11-07",1325,"2020-11-20",26,27,1248,1338,13,"1.11%"
"2020-11-08",1326,"2020-11-20",26,27,1250,1338,12,"1.14%"
"2020-11-09",1336,"2020-11-20",26,27,1253,1338,11,"1.18%"
"2020-11-10",1349,"2020-11-21",26,27,1256,1366,11,".91%"
"2020-11-11",1360,"2020-11-21",26,27,1259,1366,10,".93%"
"2020-11-12",1365,"2020-11-21",26,27,1268,1366,9,"1.02%"
"2020-11-13",1374,"2020-11-22",26,27,1279,1375,9,"1.04%"
"2020-11-14",1379,"2020-11-23",26,27,1286,1393,9,".93%"
"2020-11-15",1382,"2020-11-23",26,27,1296,1393,8,"1.03%"
"2020-11-16",1386,"2020-11-23",26,27,1304,1393,7,"1.12%"
"2020-11-17",1387,"2020-11-23",26,27,1314,1393,6,"1.27%"
"2020-11-18",1388,"2020-11-23",26,27,1315,1393,5,"1.28%"
"2020-11-19",1401,"2020-11-25",26,28,1318,1409,6,"2.2%"
"2020-11-20",1422,"2020-11-26",27,28,1338,1423,6,"1.18%"
"2020-11-21",1449,"2020-11-28",27,28,1366,1455,7,"1.12%"
"2020-11-22",1477,"2020-11-30",27,28,1375,1477,8,".98%"
"2020-11-23",1490,"2020-12-29",27,29,1393,1496,36,"1.94%"
"2020-11-24",1500,"2021-01-01",28,29,1395,1503,38,".93%"
"2020-11-25",1511,"2021-01-06",28,29,1409,1512,42,".97%"
"2020-11-26",1523,"2021-01-12",28,29,1423,1524,47,".99%"
"2020-11-27",1528,"2021-01-16",28,29,1437,1528,50,"1.1%"
"2020-11-28",1538,"2021-02-25",28,29,1455,1538,89,"1.2%"
"2020-11-29",1542,"2021-03-13",28,29,1462,1542,104,"1.25%"
"2020-11-30",1544,"2021-03-18",28,29,1477,1546,108,"1.45%"
