"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-24",6971,"2020-11-03",109,116,6771,6977,10,"3.4%"
"2020-10-25",6979,"2020-11-04",109,116,6783,7002,10,"3.2%"
"2020-10-26",6984,"2020-11-04",110,116,6806,7002,9,"3.06%"
"2020-10-27",7017,"2020-11-05",111,117,6841,7025,9,"3.26%"
"2020-10-28",7039,"2020-11-06",111,117,6860,7067,9,"2.9%"
"2020-10-29",7078,"2020-11-07",111,117,6881,7101,9,"2.73%"
"2020-10-30",7124,"2020-11-09",113,117,6922,7150,10,"1.75%"
"2020-10-31",7150,"2020-11-09",113,117,6934,7150,9,"1.85%"
"2020-11-01",7173,"2020-11-11",114,117,6953,7212,10,"1.16%"
"2020-11-02",7187,"2020-11-11",116,117,6968,7212,9,".41%"
"2020-11-03",7231,"2020-11-12",116,117,6977,7240,9,".38%"
"2020-11-04",7264,"2020-11-13",116,117,7002,7265,9,".38%"
"2020-11-05",7314,"2020-11-14",117,117,7025,7348,9,"0.%"
"2020-11-06",7383,"2020-11-15",117,117,7067,7400,9,"0.%"
"2020-11-07",7443,"2020-11-16",117,119,7101,7476,9,".53%"
"2020-11-08",7509,"2020-11-17",117,119,7118,7549,9,".46%"
"2020-11-09",7574,"2020-11-18",117,120,7150,7655,9,".59%"
"2020-11-10",7644,"2020-11-18",117,120,7171,7655,8,".62%"
"2020-11-11",7711,"2020-11-21",117,121,7212,7734,10,".77%"
"2020-11-12",7783,"2020-11-22",117,121,7240,7805,10,".71%"
"2020-11-13",7823,"2020-11-23",117,122,7265,7885,10,".81%"
"2020-11-14",7862,"2020-11-23",117,122,7348,7885,9,".93%"
"2020-11-15",7886,"2020-11-24",117,124,7400,7900,9,"1.4%"
"2020-11-16",7939,"2020-11-26",119,127,7476,7987,10,"1.57%"
"2020-11-17",8022,"2020-11-28",119,127,7549,8083,11,"1.5%"
"2020-11-18",8049,"2020-11-28",120,127,7655,8083,10,"1.64%"
"2020-11-19",8136,"2020-11-30",121,127,7691,8179,11,"1.23%"
"2020-11-20",8208,"2020-12-01",121,127,7702,8258,11,"1.08%"
"2020-11-21",8270,"2020-12-26",121,127,7734,8286,35,"1.09%"
"2020-11-22",8345,"2020-12-28",121,129,7805,8357,36,"1.45%"
"2020-11-23",8382,"2020-12-30",122,129,7885,8406,37,"1.34%"
"2020-11-24",8396,"2020-12-30",124,129,7900,8406,36,".99%"
"2020-11-25",8454,"2021-01-01",125,130,7915,8458,37,".92%"
"2020-11-26",8480,"2021-01-02",127,131,7987,8505,37,".77%"
"2020-11-27",8519,"2021-01-04",127,131,8007,8547,38,".74%"
"2020-11-28",8615,"2021-01-08",127,131,8083,8615,41,".75%"
"2020-11-29",8679,"2021-01-13",127,132,8127,8698,45,".88%"
"2020-11-30",8697,"2021-01-13",127,132,8179,8698,44,".96%"
"2020-12-01",8786,"2021-01-17",127,132,8258,8799,47,".92%"
"2020-12-26",8808,"2021-01-18",127,133,8286,8825,23,"1.11%"
"2020-12-27",8844,"2021-01-20",127,134,8328,8855,24,"1.33%"
"2020-12-28",8857,"2021-01-21",129,134,8357,8876,24,".96%"
"2020-12-29",8883,"2021-01-22",129,134,8361,8902,24,".92%"
"2020-12-30",8902,"2021-01-22",129,134,8406,8902,23,"1.01%"
"2020-12-31",8923,"2021-01-23",129,134,8418,8924,23,".99%"
"2021-01-01",8945,"2021-01-25",130,134,8458,9001,24,".74%"
"2021-01-02",8965,"2021-01-25",131,134,8505,9001,23,".6%"
"2021-01-03",8984,"2021-01-25",131,134,8512,9001,22,".61%"
"2021-01-04",8993,"2021-01-25",131,134,8547,9001,21,".66%"
"2021-01-05",9025,"2021-01-27",131,134,8554,9035,22,".62%"
"2021-01-06",9059,"2021-01-29",131,134,8573,9066,23,".61%"
"2021-01-07",9080,"2021-01-30",131,134,8591,9100,23,".59%"
"2021-01-08",9114,"2021-02-02",131,134,8615,9121,25,".59%"
"2021-01-09",9137,"2021-02-05",131,134,8627,9158,27,".56%"
"2021-01-10",9152,"2021-02-05",131,134,8648,9158,26,".59%"
"2021-01-11",9172,"2021-02-08",131,134,8661,9176,28,".58%"
"2021-01-12",9187,"2021-02-09",132,134,8676,9195,28,".39%"
"2021-01-13",9202,"2021-02-10",132,134,8698,9207,28,".39%"
"2021-01-14",9219,"2021-02-12",132,134,8728,9227,29,".4%"
"2021-01-15",9242,"2021-02-13",132,134,8761,9244,29,".41%"
"2021-01-16",9264,"2021-02-17",132,134,8779,9264,32,".41%"
"2021-01-17",9287,"2021-02-20",132,135,8799,9289,34,".61%"
"2021-01-18",9296,"2021-02-21",133,135,8825,9298,34,".42%"
"2021-01-19",9321,"2021-02-24",134,136,8839,9321,36,".41%"
"2021-01-20",9339,"2021-02-27",134,136,8855,9356,38,".4%"
"2021-01-21",9359,"2021-02-28",134,136,8876,9367,38,".41%"
"2021-01-22",9374,"2021-03-01",134,136,8902,9388,38,".41%"
"2021-01-23",9383,"2021-03-01",134,136,8924,9388,37,".43%"
"2021-01-24",9392,"2021-03-02",134,136,8939,9396,37,".44%"
"2021-01-25",9405,"2021-03-03",134,136,9001,9423,37,".47%"
"2021-01-26",9415,"2021-03-03",134,136,9022,9423,36,".5%"
"2021-01-27",9424,"2021-03-04",134,136,9035,9433,36,".5%"
"2021-01-28",9433,"2021-03-04",134,136,9045,9433,35,".52%"
"2021-01-29",9443,"2021-03-05",134,136,9066,9445,35,".53%"
"2021-01-30",9453,"2021-03-06",134,136,9100,9462,35,".55%"
"2021-01-31",9461,"2021-03-06",134,136,9105,9462,34,".56%"
"2021-02-01",9470,"2021-03-07",134,136,9113,9477,34,".55%"
"2021-02-02",9482,"2021-03-08",134,136,9121,9487,34,".55%"
"2021-02-03",9491,"2021-03-09",134,136,9131,9491,34,".56%"
"2021-02-04",9505,"2021-03-10",134,136,9136,9514,34,".53%"
"2021-02-05",9523,"2021-03-11",134,136,9158,9531,34,".54%"
"2021-02-06",9534,"2021-03-12",134,136,9162,9586,34,".47%"
"2021-02-07",9542,"2021-03-12",134,136,9169,9586,33,".48%"
"2021-02-08",9549,"2021-03-12",134,136,9176,9586,32,".49%"
"2021-02-09",9559,"2021-03-12",134,136,9195,9586,31,".51%"
"2021-02-10",9566,"2021-03-12",134,136,9207,9586,30,".53%"
"2021-02-11",9574,"2021-03-12",134,136,9216,9586,29,".54%"
"2021-02-12",9586,"2021-03-12",134,136,9227,9586,28,".56%"
"2021-02-13",9596,"2021-03-13",134,136,9244,9610,28,".55%"
"2021-02-14",9604,"2021-03-13",134,136,9251,9610,27,".56%"
"2021-02-15",9616,"2021-03-14",134,136,9252,9645,27,".51%"
"2021-02-16",9623,"2021-03-14",134,136,9260,9645,26,".52%"
"2021-02-17",9630,"2021-03-14",134,136,9264,9645,25,".52%"
"2021-02-18",9639,"2021-03-14",135,136,9273,9645,24,".27%"
"2021-02-19",9654,"2021-03-15",135,136,9280,9685,24,".25%"
"2021-02-20",9670,"2021-03-15",135,136,9289,9685,23,".25%"
"2021-02-21",9679,"2021-03-15",135,136,9298,9685,22,".26%"
