"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-08-26",57739,"2020-09-04",630,756,47874,57742,9,"1.28%"
"2020-08-27",59032,"2020-09-05",642,778,48963,59173,9,"1.33%"
"2020-08-28",59797,"2020-09-06",649,803,49621,60669,9,"1.39%"
"2020-08-29",61188,"2020-09-07",658,826,50631,62252,9,"1.45%"
"2020-08-30",63282,"2020-09-08",679,851,52114,63981,9,"1.45%"
"2020-08-31",64732,"2020-09-09",686,879,53173,65837,9,"1.52%"
"2020-09-01",66426,"2020-09-10",703,904,54353,67424,9,"1.54%"
"2020-09-02",67550,"2020-09-11",710,917,55031,68709,9,"1.51%"
"2020-09-03",70099,"2020-09-12",737,953,56441,71481,9,"1.44%"
"2020-09-04",71983,"2020-09-13",756,972,57742,73374,9,"1.38%"
"2020-09-05",74272,"2020-09-14",778,997,59173,75524,9,"1.34%"
"2020-09-06",76549,"2020-09-15",803,1023,60669,78004,9,"1.27%"
"2020-09-07",78773,"2020-09-16",826,1042,62252,79794,9,"1.23%"
"2020-09-08",81059,"2020-09-17",851,1066,63981,82571,9,"1.16%"
"2020-09-09",83353,"2020-09-18",879,1089,65837,84782,9,"1.11%"
"2020-09-10",85944,"2020-09-19",904,1117,67424,87082,9,"1.08%"
"2020-09-11",87253,"2020-09-20",917,1132,68709,88728,9,"1.07%"
"2020-09-12",91115,"2020-09-21",953,1174,71481,91873,9,"1.08%"
"2020-09-13",93641,"2020-09-22",972,1203,73374,94794,9,"1.08%"
"2020-09-14",96129,"2020-09-23",997,1230,75524,97392,9,"1.07%"
"2020-09-15",98622,"2020-09-24",1023,1252,78004,99477,9,"1.07%"
"2020-09-16",101316,"2020-09-25",1042,1270,79794,102358,9,"1.01%"
"2020-09-17",103773,"2020-09-26",1066,1277,82571,104930,9,".94%"
"2020-09-18",106261,"2020-09-28",1089,1328,84782,109554,10,".96%"
"2020-09-19",108952,"2020-09-28",1117,1328,87082,109554,9,".94%"
"2020-09-20",109583,"2020-09-29",1132,1352,88728,111982,9,".95%"
"2020-09-21",113075,"2020-10-01",1174,1372,91873,114662,10,".87%"
"2020-09-22",114870,"2020-10-02",1203,1396,94794,117483,10,".85%"
"2020-09-23",116856,"2020-10-02",1230,1396,97392,117483,9,".83%"
"2020-09-24",118554,"2020-10-04",1252,1467,99477,121623,10,".97%"
"2020-09-25",120578,"2020-10-04",1270,1467,102358,121623,9,"1.02%"
"2020-09-26",122267,"2020-10-06",1288,1506,104930,124607,10,"1.11%"
"2020-09-27",121759,"2020-10-06",1277,1506,105519,124607,9,"1.2%"
"2020-09-28",125412,"2020-10-07",1328,1525,109554,126181,9,"1.18%"
"2020-09-29",126974,"2020-10-08",1353,1541,111982,127627,9,"1.2%"
"2020-09-30",126540,"2020-10-08",1352,1541,112481,127627,8,"1.25%"
"2020-10-01",127853,"2020-10-09",1372,1541,114662,128605,8,"1.21%"
"2020-10-02",131388,"2020-10-11",1422,1567,117953,131394,9,"1.08%"
"2020-10-03",130197,"2020-10-11",1407,1567,117483,131394,8,"1.15%"
"2020-10-04",133878,"2020-10-16",1467,1631,121623,137304,12,"1.05%"
"2020-10-05",129101,"2020-10-11",1396,1549,117564,130137,6,"1.22%"
"2020-10-06",136115,"2020-10-16",1506,1631,124607,137304,10,".98%"
"2020-10-07",137398,"2020-10-17",1525,1637,126181,138628,10,".9%"
"2020-10-08",138682,"2020-10-18",1545,1637,127627,139803,10,".76%"
"2020-10-09",139932,"2020-10-19",1559,1645,128914,140971,10,".71%"
"2020-10-10",139199,"2020-10-18",1541,1637,128605,139803,8,".86%"
"2020-10-11",142155,"2020-10-21",1576,1671,131394,142992,10,".82%"
"2020-10-12",143221,"2020-10-22",1589,1685,132632,144298,10,".82%"
"2020-10-13",144302,"2020-10-23",1598,1702,133795,145495,10,".89%"
"2020-10-14",143079,"2020-10-22",1567,1685,132975,144298,8,"1.04%"
"2020-10-15",139959,"2020-10-19",1549,1645,130137,140971,4,".89%"
"2020-10-16",147933,"2020-10-26",1631,1734,137304,149115,10,".87%"
"2020-10-17",149081,"2020-10-26",1637,1734,138628,149115,9,".92%"
"2020-10-18",150033,"2020-10-27",1637,1747,139803,150065,9,"1.07%"
"2020-10-19",151234,"2020-10-29",1645,1763,140971,152238,10,"1.05%"
"2020-10-20",152174,"2020-10-29",1657,1763,141908,152238,9,"1.03%"
"2020-10-21",153367,"2020-10-30",1671,1774,142992,153428,9,".99%"
"2020-10-22",154495,"2020-10-31",1685,1786,144298,154831,9,".96%"
"2020-10-23",155765,"2020-11-01",1702,1792,145495,156058,9,".85%"
"2020-10-24",157064,"2020-11-02",1717,1807,146728,157339,9,".85%"
"2020-10-25",158304,"2020-11-03",1724,1814,147821,158604,9,".83%"
"2020-10-26",159457,"2020-11-04",1734,1833,149115,159784,9,".93%"
"2020-10-27",160705,"2020-11-06",1747,1877,150065,162868,10,"1.02%"
"2020-10-28",162223,"2020-11-06",1755,1877,151021,162868,9,"1.03%"
"2020-10-29",163817,"2020-11-07",1763,1894,152238,164523,9,"1.07%"
"2020-10-30",165467,"2020-11-08",1774,1909,153428,166168,9,"1.06%"
"2020-10-31",167210,"2020-11-09",1786,1916,154831,168326,9,".96%"
"2020-11-01",168880,"2020-11-10",1792,1932,156058,170168,9,".99%"
"2020-11-02",170446,"2020-11-11",1807,1955,157339,172020,9,"1.01%"
"2020-11-03",172130,"2020-11-12",1814,1976,158604,174056,9,"1.05%"
