"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-05",263,"2020-07-15",3,3,189,264,10,"0.%"
"2020-07-06",265,"2020-07-16",3,3,198,265,10,"0.%"
"2020-07-07",265,"2020-07-16",3,3,206,265,9,"0.%"
"2020-07-08",266,"2020-07-17",3,3,214,267,9,"0.%"
"2020-07-09",266,"2020-07-17",3,3,215,267,8,"0.%"
"2020-07-10",269,"2020-07-19",3,3,228,270,9,"0.%"
"2020-07-11",270,"2020-07-19",3,3,237,270,8,"0.%"
"2020-07-13",274,"2020-07-22",3,3,245,276,9,"0.%"
"2020-07-15",274,"2020-07-22",3,3,264,276,7,"0.%"
"2020-07-16",276,"2020-07-22",3,3,265,276,6,"0.%"
"2020-07-17",276,"2020-07-22",3,3,267,276,5,"0.%"
"2020-07-18",277,"2020-07-26",3,3,267,279,8,"0.%"
"2020-07-19",279,"2020-07-26",3,3,270,279,7,"0.%"
"2020-07-20",281,"2020-07-28",3,3,270,282,8,"0.%"
"2020-07-21",283,"2020-08-03",3,3,273,288,13,"0.%"
"2020-07-22",284,"2020-08-03",3,3,276,288,12,"0.%"
"2020-07-23",286,"2020-08-03",3,3,276,288,11,"0.%"
"2020-07-24",289,"2020-08-08",3,3,276,291,15,"0.%"
"2020-07-25",291,"2020-08-08",3,3,276,291,14,"0.%"
"2020-07-26",297,"2020-08-09",3,4,279,302,14,"4.35%"
"2020-07-27",298,"2020-08-09",3,4,279,302,13,"4.35%"
"2020-07-28",300,"2020-08-09",3,4,282,302,12,"5.%"
"2020-07-29",302,"2020-08-09",3,4,282,302,11,"5.%"
"2020-07-31",304,"2020-08-11",3,4,282,309,11,"3.7%"
"2020-08-01",305,"2020-08-11",3,4,282,309,10,"3.7%"
"2020-08-02",311,"2020-08-13",3,4,282,313,11,"3.23%"
"2020-08-03",313,"2020-08-13",3,4,288,313,10,"4.%"
"2020-08-04",316,"2020-08-15",3,4,288,325,11,"2.7%"
"2020-08-06",337,"2020-08-16",3,4,288,341,10,"1.89%"
"2020-08-08",345,"2020-08-17",3,4,291,349,9,"1.72%"
"2020-08-09",358,"2020-08-20",4,4,302,359,11,"0.%"
"2020-08-10",367,"2020-08-21",4,4,302,367,11,"0.%"
"2020-08-11",368,"2020-08-22",4,4,309,381,11,"0.%"
"2020-08-13",387,"2020-08-23",4,4,313,390,10,"0.%"
"2020-08-14",392,"2020-08-24",4,4,313,398,10,"0.%"
"2020-08-15",405,"2020-08-25",4,4,325,409,10,"0.%"
"2020-08-16",412,"2020-08-27",4,4,341,416,11,"0.%"
"2020-08-17",412,"2020-08-27",4,4,349,416,10,"0.%"
"2020-08-18",414,"2020-08-27",4,4,356,416,9,"0.%"
"2020-08-19",418,"2020-08-28",4,4,356,421,9,"0.%"
"2020-08-20",425,"2020-08-30",4,4,359,428,10,"0.%"
"2020-08-21",433,"2020-08-31",4,5,367,447,10,"1.25%"
"2020-08-22",459,"2020-09-03",4,5,381,463,12,"1.22%"
"2020-08-23",463,"2020-09-03",4,5,390,463,11,"1.37%"
"2020-08-24",466,"2020-09-04",4,5,398,473,11,"1.33%"
"2020-08-25",466,"2020-09-04",4,5,409,473,10,"1.56%"
"2020-08-27",489,"2020-09-06",4,5,416,493,10,"1.3%"
"2020-08-28",491,"2020-09-06",4,5,421,493,9,"1.39%"
"2020-08-29",503,"2020-09-09",4,5,421,521,11,"1.%"
"2020-08-30",532,"2020-09-10",4,5,428,539,11,".9%"
"2020-08-31",565,"2020-09-12",5,5,447,565,12,"0.%"
"2020-09-01",573,"2020-09-15",5,5,456,624,14,"0.%"
"2020-09-02",596,"2020-09-15",5,5,456,624,13,"0.%"
"2020-09-03",609,"2020-09-15",5,5,463,624,12,"0.%"
"2020-09-04",616,"2020-09-15",5,5,473,624,11,"0.%"
"2020-09-05",638,"2020-09-17",5,5,474,666,12,"0.%"
"2020-09-06",658,"2020-09-17",5,5,493,666,11,"0.%"
"2020-09-08",678,"2020-09-19",5,5,500,681,11,"0.%"
"2020-09-09",706,"2020-09-22",5,6,521,708,13,".53%"
"2020-09-10",706,"2020-09-22",5,6,539,708,12,".59%"
"2020-09-11",726,"2020-09-25",5,7,564,731,14,"1.2%"
"2020-09-12",732,"2020-09-26",5,7,565,739,14,"1.15%"
"2020-09-14",736,"2020-09-26",5,7,565,739,12,"1.15%"
"2020-09-15",744,"2020-09-28",5,7,624,749,13,"1.6%"
"2020-09-16",748,"2020-09-28",5,7,624,749,12,"1.6%"
"2020-09-17",751,"2020-09-29",5,7,666,753,12,"2.3%"
"2020-09-18",760,"2020-09-30",5,7,674,763,12,"2.25%"
"2020-09-19",776,"2020-10-04",5,7,681,777,15,"2.08%"
"2020-09-20",777,"2020-10-04",5,7,681,777,14,"2.08%"
"2020-09-21",816,"2020-10-07",5,7,685,831,16,"1.37%"
"2020-09-22",826,"2020-10-07",6,7,708,831,15,".81%"
"2020-09-23",837,"2020-10-11",6,8,709,855,18,"1.37%"
"2020-09-24",842,"2020-10-11",6,8,709,855,17,"1.37%"
"2020-09-25",857,"2020-10-13",7,8,731,896,18,".61%"
"2020-09-26",863,"2020-10-13",7,8,739,896,17,".64%"
"2020-09-27",880,"2020-10-13",7,8,743,896,16,".65%"
"2020-09-28",908,"2020-10-14",7,8,749,910,16,".62%"
"2020-09-29",911,"2020-10-15",7,9,753,920,16,"1.2%"
"2020-09-30",915,"2020-10-15",7,9,763,920,15,"1.27%"
"2020-10-01",921,"2020-10-16",7,10,763,946,15,"1.64%"
"2020-10-02",936,"2020-10-16",7,10,766,946,14,"1.67%"
"2020-10-03",949,"2020-10-18",7,11,766,950,15,"2.17%"
"2020-10-04",955,"2020-10-20",7,11,777,973,16,"2.04%"
"2020-10-05",975,"2020-10-22",7,11,780,979,17,"2.01%"
"2020-10-06",977,"2020-10-22",7,11,807,979,16,"2.33%"
"2020-10-07",983,"2020-10-23",7,11,831,991,16,"2.5%"
"2020-10-08",991,"2020-10-23",7,11,831,991,15,"2.5%"
"2020-10-09",994,"2020-10-26",7,12,834,1011,17,"2.82%"
"2020-10-10",1004,"2020-10-26",7,12,834,1011,16,"2.82%"
"2020-10-11",1017,"2020-10-27",8,13,855,1022,16,"2.99%"
"2020-10-12",1024,"2020-10-29",8,13,855,1040,17,"2.7%"
"2020-10-13",1033,"2020-10-29",8,13,896,1040,16,"3.47%"
"2020-10-14",1044,"2020-10-30",8,14,910,1046,16,"4.41%"
"2020-10-15",1063,"2020-11-02",9,14,920,1097,18,"2.82%"
"2020-10-16",1071,"2020-11-02",10,14,946,1097,17,"2.65%"
"2020-10-17",1075,"2020-11-02",10,14,946,1097,16,"2.65%"
"2020-10-18",1092,"2020-11-02",11,14,950,1097,15,"2.04%"
"2020-10-20",1096,"2020-11-02",11,14,973,1097,13,"2.42%"
"2020-10-21",1106,"2020-11-03",11,15,973,1109,13,"2.94%"
"2020-10-22",1124,"2020-11-05",11,16,979,1135,14,"3.21%"
"2020-10-23",1145,"2020-11-10",11,16,991,1182,18,"2.62%"
"2020-10-24",1153,"2020-11-10",12,16,992,1182,17,"2.11%"
"2020-10-25",1161,"2020-11-10",12,16,992,1182,16,"2.11%"
"2020-10-26",1183,"2020-11-11",12,16,1011,1208,16,"2.03%"
"2020-10-27",1185,"2020-11-11",13,16,1022,1208,15,"1.61%"
"2020-10-28",1192,"2020-11-11",13,16,1022,1208,14,"1.61%"
"2020-10-29",1200,"2020-11-11",13,16,1040,1208,13,"1.79%"
"2020-10-30",1202,"2020-11-11",14,16,1046,1208,12,"1.23%"
"2020-10-31",1217,"2020-11-13",14,18,1053,1217,13,"2.44%"
"2020-11-01",1231,"2020-11-17",14,18,1058,1266,16,"1.92%"
"2020-11-02",1264,"2020-11-17",14,18,1097,1266,15,"2.37%"
"2020-11-03",1266,"2020-11-17",15,18,1109,1266,14,"1.91%"
"2020-11-04",1286,"2020-11-18",15,18,1109,1306,14,"1.52%"
"2020-11-05",1330,"2020-11-21",16,19,1135,1361,16,"1.33%"
"2020-11-06",1337,"2020-11-21",16,19,1138,1361,15,"1.35%"
"2020-11-07",1372,"2020-11-23",16,19,1138,1397,16,"1.16%"
"2020-11-08",1379,"2020-11-23",16,19,1138,1397,15,"1.16%"
"2020-11-09",1440,"2020-11-26",16,24,1138,1474,17,"2.38%"
"2020-11-10",1447,"2020-11-26",16,24,1182,1474,16,"2.74%"
"2020-11-11",1458,"2020-11-26",16,24,1208,1474,15,"3.01%"
"2020-11-12",1483,"2020-11-27",17,25,1216,1489,15,"2.93%"
"2020-11-13",1510,"2020-11-30",18,26,1217,1666,17,"1.78%"
"2020-11-14",1516,"2020-11-30",18,26,1217,1666,16,"1.78%"
"2020-11-15",1525,"2020-11-30",18,26,1217,1666,15,"1.78%"
"2020-11-17",1551,"2020-11-30",18,26,1266,1666,13,"2.%"
"2020-11-18",1581,"2020-11-30",18,26,1306,1666,12,"2.22%"
"2020-11-19",1612,"2020-11-30",18,26,1307,1666,11,"2.23%"
"2020-11-20",1645,"2020-11-30",19,26,1308,1666,10,"1.96%"
"2020-11-21",1717,"2020-12-01",19,27,1361,1741,10,"2.11%"
"2020-11-22",1757,"2020-12-26",19,28,1361,1789,34,"2.1%"
"2020-11-23",1787,"2020-12-26",19,28,1397,1789,33,"2.3%"
"2020-11-24",1828,"2020-12-28",22,29,1406,1830,34,"1.65%"
