"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-03",2,"2020-09-21",,1,,114,110,"-"
"2020-06-16",3,"2020-09-21",,1,,114,97,"-"
"2020-06-23",3,"2020-09-21",,1,,114,90,"-"
"2020-06-25",4,"2020-09-21",,1,,114,88,"-"
"2020-06-27",7,"2020-09-21",,1,,114,86,"-"
"2020-06-28",8,"2020-09-21",,1,,114,85,"-"
"2020-07-01",13,"2020-09-21",,1,,114,82,"-"
"2020-07-02",30,"2020-09-21",,1,,114,81,"-"
"2020-07-03",34,"2020-09-21",,1,,114,80,"-"
"2020-07-08",34,"2020-09-21",,1,,114,75,"-"
"2020-07-10",35,"2020-09-21",,1,,114,73,"-"
"2020-07-14",36,"2020-09-21",,1,,114,69,"-"
"2020-07-17",39,"2020-09-21",,1,,114,66,"-"
"2020-07-20",39,"2020-09-21",,1,,114,63,"-"
"2020-07-23",39,"2020-09-21",,1,,114,60,"-"
"2020-07-24",41,"2020-09-21",,1,,114,59,"-"
"2020-07-28",41,"2020-09-21",,1,,114,55,"-"
"2020-07-29",44,"2020-09-21",,1,,114,54,"-"
"2020-07-30",45,"2020-09-21",,1,,114,53,"-"
"2020-08-06",46,"2020-09-21",,1,,114,46,"-"
"2020-08-07",46,"2020-09-21",,1,,114,45,"-"
"2020-08-09",46,"2020-09-21",,1,,114,43,"-"
"2020-08-10",48,"2020-09-21",,1,,114,42,"-"
"2020-08-11",48,"2020-09-21",,1,,114,41,"-"
"2020-08-13",58,"2020-09-21",,1,,114,39,"-"
"2020-08-14",59,"2020-09-21",,1,,114,38,"-"
"2020-08-19",69,"2020-09-21",,1,,114,33,"-"
"2020-08-22",73,"2020-09-21",,1,,114,30,"-"
"2020-08-24",76,"2020-09-21",,1,,114,28,"-"
"2020-08-26",77,"2020-09-21",,1,,114,26,"-"
"2020-08-27",79,"2020-09-21",,1,,114,25,"-"
"2020-08-28",81,"2020-09-21",,1,,114,24,"-"
"2020-08-31",81,"2020-09-21",,1,,114,21,"-"
"2020-09-01",81,"2020-09-21",,1,,114,20,"-"
"2020-09-02",96,"2020-09-21",,1,,114,19,"-"
"2020-09-03",102,"2020-09-21",,1,,114,18,"-"
"2020-09-05",103,"2020-09-21",,1,,114,16,"-"
"2020-09-09",104,"2020-09-21",,1,,114,12,"-"
"2020-09-10",116,"2020-09-22",,1,,119,12,"-"
"2020-09-11",116,"2020-09-22",,1,,119,11,"-"
"2020-09-12",121,"2020-09-25",,1,,130,13,"-"
"2020-09-14",121,"2020-09-25",,1,,130,11,"-"
"2020-09-15",121,"2020-09-25",,1,,130,10,"-"
"2020-09-16",135,"2020-09-27",,1,,140,11,"-"
"2020-09-17",135,"2020-09-27",,1,,140,10,"-"
"2020-09-18",138,"2020-09-27",,1,,140,9,"-"
"2020-09-19",139,"2020-09-27",,1,,140,8,"-"
"2020-09-20",139,"2020-09-27",,1,,140,7,"-"
"2020-09-21",163,"2020-10-02",1,2,114,165,11,"1.96%"
"2020-09-22",166,"2020-10-05",1,2,119,183,13,"1.56%"
"2020-09-23",167,"2020-10-05",1,2,119,183,12,"1.56%"
"2020-09-24",172,"2020-10-05",1,2,120,183,11,"1.59%"
"2020-09-25",181,"2020-10-05",1,2,130,183,10,"1.89%"
"2020-09-26",183,"2020-10-05",1,2,130,183,9,"1.89%"
"2020-09-27",185,"2020-10-06",1,2,140,185,9,"2.22%"
"2020-09-28",190,"2020-10-10",2,4,141,191,12,"4.%"
"2020-09-29",190,"2020-10-10",2,4,141,191,11,"4.%"
"2020-09-30",191,"2020-10-10",2,4,141,191,10,"4.%"
"2020-10-01",196,"2020-10-15",2,4,141,196,14,"3.64%"
"2020-10-02",196,"2020-10-15",2,4,165,196,13,"6.45%"
"2020-10-03",196,"2020-10-15",2,4,165,196,12,"6.45%"
"2020-10-04",196,"2020-10-15",2,4,165,196,11,"6.45%"
"2020-10-05",197,"2020-10-18",2,4,183,203,13,"10.%"
"2020-10-06",201,"2020-10-18",2,4,185,203,12,"11.11%"
"2020-10-07",206,"2020-10-22",2,5,185,208,15,"13.04%"
"2020-10-08",207,"2020-10-22",2,5,185,208,14,"13.04%"
"2020-10-09",207,"2020-10-22",3,5,186,208,13,"9.09%"
"2020-10-10",207,"2020-10-22",4,5,191,208,12,"5.88%"
"2020-10-11",207,"2020-10-22",4,5,191,208,11,"5.88%"
"2020-10-12",211,"2020-10-25",4,5,193,211,13,"5.56%"
"2020-10-13",212,"2020-10-29",4,5,195,239,16,"2.27%"
"2020-10-14",212,"2020-10-29",4,5,195,239,15,"2.27%"
"2020-10-15",212,"2020-10-29",4,5,196,239,14,"2.33%"
"2020-10-16",236,"2020-10-29",4,5,196,239,13,"2.33%"
"2020-10-17",237,"2020-10-29",4,5,196,239,12,"2.33%"
"2020-10-18",237,"2020-10-29",4,5,203,239,11,"2.78%"
"2020-10-19",239,"2020-10-29",5,5,204,239,10,"0.%"
"2020-10-20",241,"2020-10-31",5,5,204,261,11,"0.%"
"2020-10-21",263,"2020-11-01",5,5,205,263,11,"0.%"
"2020-10-22",264,"2020-11-02",5,6,208,264,11,"1.79%"
"2020-10-23",272,"2020-11-04",5,7,210,281,12,"2.82%"
"2020-10-24",272,"2020-11-04",5,7,210,281,11,"2.82%"
"2020-10-25",273,"2020-11-04",5,7,211,281,10,"2.86%"
"2020-10-26",287,"2020-11-05",5,7,211,288,10,"2.6%"
"2020-10-27",302,"2020-11-06",5,7,211,309,10,"2.04%"
"2020-10-28",330,"2020-11-07",5,7,211,335,10,"1.61%"
"2020-10-29",334,"2020-11-07",5,7,239,335,9,"2.08%"
"2020-10-30",339,"2020-11-09",5,8,239,381,10,"2.11%"
"2020-10-31",387,"2020-11-12",5,9,261,390,12,"3.1%"
"2020-11-01",387,"2020-11-12",5,9,263,390,11,"3.15%"
"2020-11-02",391,"2020-11-13",6,9,264,394,11,"2.31%"
"2020-11-03",394,"2020-11-13",6,9,264,394,10,"2.31%"
"2020-11-04",440,"2020-11-15",7,9,281,440,11,"1.26%"
"2020-11-05",442,"2020-11-16",7,9,288,481,11,"1.04%"
"2020-11-06",442,"2020-11-16",7,9,309,481,10,"1.16%"
"2020-11-07",496,"2020-11-18",7,10,335,501,11,"1.81%"
"2020-11-08",501,"2020-11-18",7,10,337,501,10,"1.83%"
"2020-11-09",513,"2020-11-20",8,10,381,546,11,"1.21%"
"2020-11-10",543,"2020-11-20",9,10,382,546,10,".61%"
"2020-11-11",547,"2020-11-21",9,10,385,605,10,".45%"
"2020-11-12",610,"2020-11-22",9,11,390,611,10,".9%"
"2020-11-13",616,"2020-11-23",9,11,394,626,10,".86%"
