"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-12",8120,"2021-04-26",191,251,6523,8201,45,"3.58%"
"2021-03-13",8125,"2021-04-26",191,251,6528,8201,44,"3.59%"
"2021-03-14",8132,"2021-04-26",191,251,6529,8201,43,"3.59%"
"2021-03-15",8136,"2021-04-26",191,251,6532,8201,42,"3.59%"
"2021-03-16",8166,"2021-04-26",191,251,6538,8201,41,"3.61%"
"2021-03-17",8181,"2021-04-26",191,251,6542,8201,40,"3.62%"
"2021-03-18",8201,"2021-04-26",191,251,6542,8201,39,"3.62%"
"2021-03-19",8211,"2021-04-27",193,255,6563,8373,39,"3.43%"
"2021-03-20",8231,"2021-04-27",193,255,6566,8373,38,"3.43%"
"2021-03-21",8247,"2021-04-27",193,255,6570,8373,37,"3.44%"
"2021-03-22",8253,"2021-04-27",193,255,6581,8373,36,"3.46%"
"2021-03-23",8274,"2021-04-27",193,255,6591,8373,35,"3.48%"
"2021-03-24",8289,"2021-04-27",194,255,6596,8373,34,"3.43%"
"2021-03-25",8301,"2021-04-27",194,255,6596,8373,33,"3.43%"
"2021-03-26",8339,"2021-04-27",194,255,6637,8373,32,"3.51%"
"2021-03-27",8353,"2021-04-27",194,255,6654,8373,31,"3.55%"
"2021-03-28",8398,"2021-04-28",194,258,6669,8515,31,"3.47%"
"2021-03-29",8430,"2021-04-28",195,258,6687,8515,30,"3.45%"
"2021-03-30",8453,"2021-04-28",195,258,6701,8515,29,"3.47%"
"2021-03-31",8478,"2021-04-28",195,258,6715,8515,28,"3.5%"
"2021-04-01",8524,"2021-04-29",195,266,6726,8708,28,"3.58%"
"2021-04-02",8585,"2021-04-29",196,266,6737,8708,27,"3.55%"
"2021-04-03",8625,"2021-04-29",197,266,6764,8708,26,"3.55%"
"2021-04-04",8681,"2021-04-29",199,266,6790,8708,25,"3.49%"
"2021-04-05",8739,"2021-04-30",199,271,6815,8877,25,"3.49%"
"2021-04-06",8797,"2021-04-30",199,271,6853,8877,24,"3.56%"
"2021-04-07",8850,"2021-04-30",200,271,6886,8877,23,"3.57%"
"2021-04-08",8937,"2021-05-01",200,272,6901,8993,23,"3.44%"
"2021-04-09",8976,"2021-05-01",201,272,6927,8993,22,"3.44%"
"2021-04-10",9073,"2021-05-02",204,279,6982,9210,22,"3.37%"
"2021-04-11",9165,"2021-05-02",204,279,7038,9210,21,"3.45%"
"2021-04-12",9259,"2021-05-03",205,283,7075,9412,21,"3.34%"
"2021-04-13",9333,"2021-05-03",208,283,7132,9412,20,"3.29%"
"2021-04-14",9437,"2021-05-04",211,287,7179,9595,20,"3.15%"
"2021-04-15",9486,"2021-05-04",213,287,7250,9595,19,"3.16%"
"2021-04-16",9588,"2021-05-04",216,287,7313,9595,18,"3.11%"
"2021-04-17",9796,"2021-05-05",219,292,7396,9824,18,"3.01%"
"2021-04-18",9817,"2021-05-05",221,292,7466,9824,17,"3.01%"
"2021-04-19",10013,"2021-05-06",223,300,7518,10067,17,"3.02%"
"2021-04-20",10177,"2021-05-07",227,304,7628,10280,17,"2.9%"
"2021-04-21",10401,"2021-05-08",231,315,7683,10652,17,"2.83%"
"2021-04-22",10589,"2021-05-08",233,315,7786,10652,16,"2.86%"
"2021-04-23",10648,"2021-05-08",239,315,7879,10652,15,"2.74%"
"2021-04-24",10917,"2021-05-10",241,331,7958,11213,16,"2.76%"
"2021-04-25",11141,"2021-05-10",245,331,8033,11213,15,"2.7%"
"2021-04-26",11321,"2021-05-11",251,338,8201,11452,15,"2.68%"
"2021-04-27",11516,"2021-05-12",255,345,8373,11773,15,"2.65%"
