"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-21",31,"2020-07-26",,1,,55,35,"-"
"2020-06-22",33,"2020-07-26",,1,,55,34,"-"
"2020-06-25",35,"2020-07-26",,1,,55,31,"-"
"2020-06-26",36,"2020-07-26",,1,,55,30,"-"
"2020-06-28",37,"2020-07-26",,1,,55,28,"-"
"2020-06-29",37,"2020-07-26",,1,,55,27,"-"
"2020-07-01",38,"2020-07-26",,1,,55,25,"-"
"2020-07-02",39,"2020-07-26",,1,,55,24,"-"
"2020-07-03",39,"2020-07-26",,1,,55,23,"-"
"2020-07-04",39,"2020-07-26",,1,,55,22,"-"
"2020-07-08",40,"2020-07-26",,1,,55,18,"-"
"2020-07-11",41,"2020-07-26",,1,,55,15,"-"
"2020-07-12",45,"2020-07-26",,1,,55,14,"-"
"2020-07-15",46,"2020-07-26",,1,,55,11,"-"
"2020-07-16",47,"2020-07-26",,1,,55,10,"-"
"2020-07-17",57,"2020-07-29",,1,,115,12,"-"
"2020-07-18",62,"2020-07-29",,1,,115,11,"-"
"2020-07-19",88,"2020-07-29",,1,,115,10,"-"
"2020-07-20",109,"2020-07-29",,1,,115,9,"-"
"2020-07-21",122,"2020-07-31",,1,,148,10,"-"
"2020-07-22",129,"2020-07-31",,1,,148,9,"-"
"2020-07-23",171,"2020-08-02",,1,,171,10,"-"
"2020-07-24",200,"2020-08-03",,1,,204,10,"-"
"2020-07-25",225,"2020-08-05",,1,,233,11,"-"
"2020-07-26",241,"2020-08-06",1,1,55,267,11,"0.%"
"2020-07-27",272,"2020-08-07",1,1,55,279,11,"0.%"
"2020-07-28",299,"2020-08-09",1,1,55,318,12,"0.%"
"2020-07-29",304,"2020-08-09",1,1,115,318,11,"0.%"
"2020-07-30",326,"2020-08-11",1,1,115,332,12,"0.%"
"2020-07-31",329,"2020-08-11",1,1,148,332,11,"0.%"
"2020-08-01",344,"2020-08-16",1,1,148,354,15,"0.%"
"2020-08-02",345,"2020-08-16",1,1,171,354,14,"0.%"
"2020-08-03",349,"2020-08-16",1,1,204,354,13,"0.%"
"2020-08-04",354,"2020-08-16",1,1,208,354,12,"0.%"
"2020-08-05",354,"2020-08-16",1,1,233,354,11,"0.%"
"2020-08-06",363,"2020-08-17",1,1,267,371,11,"0.%"
"2020-08-07",378,"2020-08-20",1,1,279,394,13,"0.%"
"2020-08-08",402,"2020-08-21",1,1,282,426,13,"0.%"
"2020-08-09",413,"2020-08-21",1,1,318,426,12,"0.%"
"2020-08-10",422,"2020-08-21",1,1,318,426,11,"0.%"
"2020-08-11",441,"2020-08-22",1,1,332,443,11,"0.%"
"2020-08-12",461,"2020-08-24",1,1,332,469,12,"0.%"
"2020-08-13",470,"2020-08-25",1,1,332,496,12,"0.%"
"2020-08-14",478,"2020-08-25",1,1,332,496,11,"0.%"
"2020-08-15",486,"2020-08-25",1,1,342,496,10,"0.%"
"2020-08-16",512,"2020-08-26",1,1,354,512,10,"0.%"
"2020-08-17",514,"2020-08-27",1,1,371,528,10,"0.%"
"2020-08-18",515,"2020-08-27",1,1,371,528,9,"0.%"
"2020-08-19",536,"2020-08-28",1,1,371,540,9,"0.%"
"2020-08-20",560,"2020-08-29",1,1,394,561,9,"0.%"
"2020-08-21",583,"2020-09-01",1,2,426,627,11,".5%"
"2020-08-22",584,"2020-09-01",1,2,443,627,10,".54%"
"2020-08-23",618,"2020-09-01",1,2,456,627,9,".58%"
"2020-08-24",648,"2020-09-03",1,2,469,649,10,".56%"
"2020-08-25",658,"2020-09-04",1,3,496,664,10,"1.19%"
"2020-08-26",716,"2020-09-07",1,3,512,815,12,".66%"
"2020-08-27",753,"2020-09-07",1,3,528,815,11,".7%"
"2020-08-28",788,"2020-09-07",1,3,540,815,10,".73%"
"2020-08-29",839,"2020-09-09",1,4,561,863,11,".99%"
"2020-08-30",876,"2020-09-12",1,4,577,908,13,".91%"
"2020-08-31",886,"2020-09-12",2,4,580,908,12,".61%"
"2020-09-01",920,"2020-09-13",2,5,627,950,12,".93%"
"2020-09-02",927,"2020-09-13",2,5,627,950,11,".93%"
"2020-09-03",979,"2020-09-17",2,6,649,986,14,"1.19%"
