"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-12-26",4583,"2021-01-13",79,80,4460,4588,18,".78%"
"2020-12-27",4586,"2021-01-13",79,80,4465,4588,17,".81%"
"2020-12-28",4590,"2021-01-14",79,80,4471,4592,17,".83%"
"2020-12-29",4595,"2021-01-15",79,80,4481,4595,17,".88%"
"2020-12-30",4603,"2021-01-17",79,80,4488,4605,18,".85%"
"2020-12-31",4613,"2021-01-21",79,80,4491,4618,21,".79%"
"2021-01-01",4619,"2021-01-22",79,80,4496,4628,21,".76%"
"2021-01-02",4636,"2021-01-25",79,80,4502,4637,23,".74%"
"2021-01-03",4642,"2021-01-27",79,80,4506,4642,24,".74%"
"2021-01-04",4644,"2021-01-29",79,81,4522,4648,25,"1.59%"
"2021-01-05",4649,"2021-01-30",79,81,4529,4650,25,"1.65%"
"2021-01-06",4649,"2021-01-30",80,81,4538,4650,24,".89%"
"2021-01-07",4649,"2021-01-30",80,81,4542,4650,23,".93%"
"2021-01-08",4649,"2021-01-30",80,81,4554,4650,22,"1.04%"
"2021-01-09",4649,"2021-01-30",80,81,4559,4650,21,"1.1%"
"2021-01-10",4654,"2021-01-31",80,81,4563,4654,21,"1.1%"
"2021-01-11",4656,"2021-02-01",80,81,4575,4659,21,"1.19%"
"2021-01-12",4657,"2021-02-01",80,81,4580,4659,20,"1.27%"
"2021-01-13",4657,"2021-02-01",80,81,4588,4659,19,"1.41%"
"2021-01-14",4660,"2021-02-02",80,81,4592,4663,19,"1.41%"
"2021-01-15",4666,"2021-02-03",80,82,4595,4668,19,"2.74%"
"2021-01-16",4667,"2021-02-03",80,82,4602,4668,18,"3.03%"
"2021-01-17",4671,"2021-02-04",80,82,4605,4675,18,"2.86%"
"2021-01-18",4673,"2021-02-04",80,82,4607,4675,17,"2.94%"
"2021-01-19",4673,"2021-02-04",80,82,4609,4675,16,"3.03%"
"2021-01-20",4679,"2021-02-05",80,82,4612,4680,16,"2.94%"
"2021-01-21",4682,"2021-02-06",80,82,4618,4684,16,"3.03%"
"2021-01-22",4686,"2021-02-07",80,82,4628,4687,16,"3.39%"
"2021-01-23",4694,"2021-02-09",80,82,4631,4695,17,"3.12%"
"2021-01-24",4699,"2021-02-10",80,82,4635,4700,17,"3.08%"
"2021-01-25",4700,"2021-02-10",80,82,4637,4700,16,"3.17%"
"2021-01-26",4702,"2021-02-11",80,82,4637,4703,16,"3.03%"
"2021-01-27",4708,"2021-02-12",80,82,4642,4712,16,"2.86%"
"2021-01-28",4713,"2021-02-13",80,82,4642,4717,16,"2.67%"
"2021-01-29",4717,"2021-02-13",81,82,4648,4717,15,"1.45%"
"2021-01-30",4721,"2021-02-15",81,82,4650,4726,16,"1.32%"
"2021-01-31",4724,"2021-02-15",81,82,4654,4726,15,"1.39%"
"2021-02-01",4726,"2021-02-15",81,82,4659,4726,14,"1.49%"
"2021-02-02",4728,"2021-02-16",81,82,4663,4733,14,"1.43%"
"2021-02-03",4734,"2021-02-17",82,82,4668,4736,14,"0.%"
"2021-02-04",4739,"2021-02-18",82,82,4675,4743,14,"0.%"
"2021-02-05",4745,"2021-02-19",82,82,4680,4748,14,"0.%"
"2021-02-06",4750,"2021-02-20",82,82,4684,4752,14,"0.%"
"2021-02-07",4757,"2021-02-21",82,82,4687,4757,14,"0.%"
"2021-02-08",4761,"2021-02-23",82,82,4691,4764,15,"0.%"
"2021-02-09",4762,"2021-02-23",82,82,4695,4764,14,"0.%"
"2021-02-10",4764,"2021-02-23",82,82,4700,4764,13,"0.%"
"2021-02-11",4769,"2021-02-25",82,82,4703,4772,14,"0.%"
"2021-02-12",4770,"2021-02-25",82,82,4712,4772,13,"0.%"
"2021-02-13",4773,"2021-02-26",82,82,4717,4778,13,"0.%"
"2021-02-14",4780,"2021-02-27",82,82,4720,4784,13,"0.%"
"2021-02-15",4781,"2021-02-27",82,82,4726,4784,12,"0.%"
"2021-02-16",4785,"2021-02-28",82,82,4733,4789,12,"0.%"
"2021-02-17",4794,"2021-03-01",82,83,4736,4795,12,"1.69%"
"2021-02-18",4795,"2021-03-01",82,83,4743,4795,11,"1.92%"
