"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-17",3229,"2021-05-04",59,65,3063,3235,48,"3.49%"
"2021-03-18",3230,"2021-05-04",59,65,3063,3235,47,"3.49%"
"2021-03-19",3232,"2021-05-04",59,65,3063,3235,46,"3.49%"
"2021-03-21",3234,"2021-05-04",59,65,3063,3235,44,"3.49%"
"2021-03-24",3235,"2021-05-04",59,65,3063,3235,41,"3.49%"
"2021-03-25",3237,"2021-05-05",59,65,3063,3240,41,"3.39%"
"2021-03-27",3239,"2021-05-05",59,65,3064,3240,39,"3.41%"
"2021-03-29",3240,"2021-05-05",59,65,3070,3240,37,"3.53%"
"2021-03-30",3240,"2021-05-05",59,65,3073,3240,36,"3.59%"
"2021-04-01",3241,"2021-05-06",59,65,3073,3257,35,"3.26%"
"2021-04-02",3247,"2021-05-06",59,65,3075,3257,34,"3.3%"
"2021-04-03",3248,"2021-05-06",59,65,3075,3257,33,"3.3%"
"2021-04-04",3251,"2021-05-06",59,65,3076,3257,32,"3.31%"
"2021-04-06",3256,"2021-05-06",59,65,3078,3257,30,"3.35%"
"2021-04-07",3263,"2021-05-07",59,65,3078,3270,30,"3.12%"
"2021-04-08",3267,"2021-05-07",59,65,3079,3270,29,"3.14%"
"2021-04-09",3276,"2021-05-08",59,66,3079,3302,29,"3.14%"
"2021-04-10",3278,"2021-05-08",59,66,3079,3302,28,"3.14%"
"2021-04-11",3286,"2021-05-08",59,66,3079,3302,27,"3.14%"
"2021-04-13",3288,"2021-05-08",59,66,3082,3302,25,"3.18%"
"2021-04-14",3289,"2021-05-08",59,66,3086,3302,24,"3.24%"
"2021-04-15",3293,"2021-05-08",59,66,3092,3302,23,"3.33%"
"2021-04-16",3303,"2021-05-09",59,66,3100,3305,23,"3.41%"
"2021-04-17",3312,"2021-05-10",59,66,3111,3317,23,"3.4%"
"2021-04-18",3317,"2021-05-10",59,66,3114,3317,22,"3.45%"
"2021-04-19",3325,"2021-05-11",59,66,3115,3326,22,"3.32%"
"2021-04-20",3338,"2021-05-12",59,67,3116,3366,22,"3.2%"
"2021-04-21",3346,"2021-05-12",59,67,3118,3366,21,"3.23%"
"2021-04-22",3373,"2021-05-15",59,68,3122,3397,23,"3.27%"
"2021-04-23",3386,"2021-05-15",59,68,3122,3397,22,"3.27%"
"2021-04-24",3389,"2021-05-15",60,68,3125,3397,21,"2.94%"
"2021-04-25",3403,"2021-05-16",60,69,3129,3433,21,"2.96%"
"2021-04-26",3436,"2021-05-18",60,70,3130,3485,22,"2.82%"
"2021-04-27",3477,"2021-05-18",60,70,3134,3485,21,"2.85%"
"2021-04-28",3504,"2021-05-19",60,70,3137,3506,21,"2.71%"
"2021-04-29",3552,"2021-05-21",61,74,3151,3578,22,"3.04%"
"2021-04-30",3589,"2021-05-22",61,76,3155,3643,22,"3.07%"
"2021-05-01",3631,"2021-05-22",62,76,3164,3643,21,"2.92%"
"2021-05-02",3656,"2021-05-23",63,76,3215,3672,21,"2.84%"
"2021-05-03",3668,"2021-05-23",64,76,3221,3672,20,"2.66%"
"2021-05-04",3749,"2021-05-25",65,79,3235,3750,21,"2.72%"
"2021-05-05",3777,"2021-05-26",65,81,3240,3836,21,"2.68%"
"2021-05-06",3828,"2021-05-26",65,81,3257,3836,20,"2.76%"
"2021-05-07",3865,"2021-05-27",65,81,3270,3879,20,"2.63%"
"2021-05-08",3887,"2021-05-28",66,82,3302,3917,20,"2.6%"
"2021-05-09",3917,"2021-05-28",66,82,3305,3917,19,"2.61%"
"2021-05-10",3951,"2021-05-29",66,83,3317,3998,19,"2.5%"
"2021-05-11",4032,"2021-05-30",66,83,3326,4073,19,"2.28%"
"2021-05-12",4222,"2021-06-01",67,85,3366,4295,20,"1.94%"
"2021-05-13",4304,"2021-06-02",67,85,3366,4372,20,"1.79%"
