"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-02",110,"2020-07-18",,4,,113,16,"-"
"2020-07-03",118,"2020-07-20",,4,,125,17,"-"
"2020-07-04",121,"2020-07-20",1,4,61,125,16,"4.69%"
"2020-07-05",119,"2020-07-20",1,4,73,125,15,"5.77%"
"2020-07-06",120,"2020-07-20",1,4,76,125,14,"6.12%"
"2020-07-07",134,"2020-07-22",1,5,77,142,15,"6.15%"
"2020-07-08",138,"2020-07-22",1,5,77,142,14,"6.15%"
"2020-07-09",153,"2020-07-25",1,6,77,153,16,"6.58%"
"2020-07-10",160,"2020-07-26",1,6,85,201,16,"4.31%"
"2020-07-11",161,"2020-07-26",2,6,86,201,15,"3.48%"
"2020-07-12",201,"2020-07-26",4,6,90,201,14,"1.8%"
"2020-07-13",201,"2020-07-26",4,6,92,201,13,"1.83%"
"2020-07-14",205,"2020-07-28",4,6,102,247,14,"1.38%"
"2020-07-15",211,"2020-07-28",4,6,102,247,13,"1.38%"
"2020-07-16",222,"2020-07-28",4,6,102,247,12,"1.38%"
"2020-07-17",251,"2020-07-30",4,6,103,264,13,"1.24%"
"2020-07-18",267,"2020-07-31",4,6,113,275,13,"1.23%"
"2020-07-19",291,"2020-08-03",4,7,113,302,15,"1.59%"
"2020-07-20",301,"2020-08-03",4,7,125,302,14,"1.69%"
"2020-07-21",307,"2020-08-04",4,7,128,336,14,"1.44%"
"2020-07-22",307,"2020-08-04",5,7,142,336,13,"1.03%"
"2020-07-23",309,"2020-08-04",5,7,144,336,12,"1.04%"
"2020-07-25",318,"2020-08-04",6,7,153,336,10,".55%"
"2020-07-26",349,"2020-08-09",6,7,201,372,14,".58%"
"2020-07-27",351,"2020-08-09",6,7,203,372,13,".59%"
"2020-07-28",384,"2020-08-10",6,8,247,390,13,"1.4%"
"2020-07-29",387,"2020-08-10",6,8,247,390,12,"1.4%"
"2020-07-30",401,"2020-08-11",6,9,264,417,12,"1.96%"
"2020-07-31",411,"2020-08-11",6,9,275,417,11,"2.11%"
"2020-08-01",421,"2020-08-12",6,10,275,436,11,"2.48%"
"2020-08-02",434,"2020-08-12",6,10,276,436,10,"2.5%"
"2020-08-03",490,"2020-08-18",7,14,302,522,15,"3.18%"
"2020-08-04",518,"2020-08-18",7,14,336,522,14,"3.76%"
"2020-08-05",560,"2020-08-20",7,14,336,561,15,"3.11%"
"2020-08-06",603,"2020-08-24",7,16,339,624,18,"3.16%"
"2020-08-07",630,"2020-08-25",7,18,339,659,18,"3.44%"
"2020-08-08",654,"2020-08-25",7,18,345,659,17,"3.5%"
"2020-08-09",672,"2020-08-26",7,19,372,691,17,"3.76%"
"2020-08-10",689,"2020-08-26",8,19,390,691,16,"3.65%"
"2020-08-11",734,"2020-08-28",9,19,417,761,17,"2.91%"
"2020-08-12",773,"2020-08-29",10,20,436,903,17,"2.14%"
"2020-08-13",815,"2020-08-29",11,20,460,903,16,"2.03%"
"2020-08-14",849,"2020-08-29",11,20,467,903,15,"2.06%"
"2020-08-15",894,"2020-08-29",12,20,468,903,14,"1.84%"
"2020-08-16",919,"2020-08-30",13,21,470,970,14,"1.6%"
"2020-08-17",963,"2020-08-30",14,21,487,970,13,"1.45%"
"2020-08-18",987,"2020-08-31",14,21,522,990,13,"1.5%"
"2020-08-19",1051,"2020-09-02",14,24,522,1092,14,"1.75%"
"2020-08-20",1093,"2020-09-03",14,24,561,1139,14,"1.73%"
"2020-08-21",1110,"2020-09-03",14,24,565,1139,13,"1.74%"
"2020-08-22",1145,"2020-09-04",14,24,567,1210,13,"1.56%"
"2020-08-23",1181,"2020-09-04",16,24,579,1210,12,"1.27%"
"2020-08-24",1207,"2020-09-04",16,24,624,1210,11,"1.37%"
"2020-08-25",1238,"2020-09-05",18,25,659,1253,11,"1.18%"
"2020-08-26",1279,"2020-09-07",19,25,691,1343,12,".92%"
"2020-08-27",1304,"2020-09-07",19,25,725,1343,11,".97%"
"2020-08-28",1343,"2020-09-07",19,25,761,1343,10,"1.03%"
"2020-08-29",1371,"2020-09-08",20,25,903,1379,10,"1.05%"
"2020-08-30",1415,"2020-09-10",21,25,970,1416,11,".9%"
"2020-08-31",1433,"2020-09-11",21,25,990,1453,11,".86%"
"2020-09-01",1467,"2020-09-12",21,25,1013,1484,11,".85%"
"2020-09-02",1521,"2020-09-13",24,25,1092,1525,11,".23%"
"2020-09-03",1578,"2020-09-14",24,26,1139,1581,11,".45%"
"2020-09-04",1609,"2020-09-15",24,26,1210,1666,11,".44%"
"2020-09-05",1671,"2020-09-16",25,26,1253,1750,11,".2%"
"2020-09-06",1753,"2020-09-17",25,26,1270,1791,11,".19%"
"2020-09-07",1782,"2020-09-17",25,26,1343,1791,10,".22%"
"2020-09-08",1829,"2020-09-19",25,26,1379,1868,11,".2%"
"2020-09-09",1867,"2020-09-19",25,26,1406,1868,10,".22%"
"2020-09-10",1933,"2020-09-21",25,26,1416,1950,11,".19%"
"2020-09-11",1980,"2020-09-22",25,26,1453,2035,11,".17%"
"2020-09-12",2025,"2020-09-22",25,26,1484,2035,10,".18%"
"2020-09-13",2103,"2020-09-24",25,26,1525,2127,11,".17%"
"2020-09-14",2146,"2020-09-25",26,27,1581,2170,11,".17%"
"2020-09-15",2205,"2020-09-26",26,28,1666,2251,11,".34%"
"2020-09-16",2291,"2020-09-27",26,28,1750,2334,11,".34%"
"2020-09-17",2366,"2020-09-28",26,28,1791,2383,11,".34%"
