"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-24",2561,"2021-05-11",19,23,2329,2606,48,"1.44%"
"2021-03-29",2577,"2021-05-11",19,23,2329,2606,43,"1.44%"
"2021-04-05",2578,"2021-05-11",19,23,2329,2606,36,"1.44%"
"2021-04-06",2578,"2021-05-11",19,23,2346,2606,35,"1.54%"
"2021-04-07",2587,"2021-05-11",19,23,2346,2606,34,"1.54%"
"2021-04-08",2591,"2021-05-11",19,23,2346,2606,33,"1.54%"
"2021-04-09",2608,"2021-05-14",19,23,2346,2677,35,"1.21%"
"2021-04-15",2616,"2021-05-14",19,23,2356,2677,29,"1.25%"
"2021-04-16",2620,"2021-05-14",19,23,2377,2677,28,"1.33%"
"2021-04-17",2625,"2021-05-14",19,23,2377,2677,27,"1.33%"
"2021-04-19",2629,"2021-05-14",19,23,2382,2677,25,"1.36%"
"2021-04-20",2648,"2021-05-14",19,23,2382,2677,24,"1.36%"
"2021-04-21",2652,"2021-05-14",19,23,2382,2677,23,"1.36%"
"2021-04-22",2667,"2021-05-14",19,23,2382,2677,22,"1.36%"
"2021-04-23",2670,"2021-05-14",19,23,2382,2677,21,"1.36%"
"2021-04-24",2676,"2021-05-14",19,23,2382,2677,20,"1.36%"
"2021-04-25",2681,"2021-05-15",19,23,2382,2744,20,"1.1%"
"2021-04-26",2694,"2021-05-15",19,23,2413,2744,19,"1.21%"
"2021-04-27",2724,"2021-05-15",19,23,2425,2744,18,"1.25%"
"2021-04-28",2746,"2021-05-18",19,23,2425,2821,20,"1.01%"
"2021-04-29",2767,"2021-05-18",19,23,2425,2821,19,"1.01%"
"2021-04-30",2780,"2021-05-18",19,23,2425,2821,18,"1.01%"
"2021-05-01",2795,"2021-05-18",19,23,2425,2821,17,"1.01%"
"2021-05-02",2815,"2021-05-18",19,23,2425,2821,16,"1.01%"
"2021-05-03",2824,"2021-05-21",19,24,2476,2935,18,"1.09%"
"2021-05-04",2839,"2021-05-21",19,24,2476,2935,17,"1.09%"
"2021-05-05",2878,"2021-05-21",20,24,2508,2935,16,".94%"
"2021-05-06",2914,"2021-05-21",21,24,2526,2935,15,".73%"
"2021-05-07",2953,"2021-05-22",21,24,2526,3004,15,".63%"
"2021-05-08",2976,"2021-05-22",22,24,2527,3004,14,".42%"
"2021-05-09",3008,"2021-05-24",23,27,2558,3089,15,".75%"
"2021-05-10",3019,"2021-05-24",23,27,2558,3089,14,".75%"
"2021-05-11",3071,"2021-05-24",23,27,2606,3089,13,".83%"
"2021-05-12",3154,"2021-05-27",23,28,2606,3206,15,".83%"
"2021-05-13",3234,"2021-05-29",23,31,2606,3288,16,"1.17%"
"2021-05-14",3282,"2021-05-29",23,31,2677,3288,15,"1.31%"
"2021-05-15",3316,"2021-05-31",23,31,2744,3333,16,"1.36%"
"2021-05-16",3357,"2021-06-02",23,31,2744,3407,17,"1.21%"
"2021-05-17",3384,"2021-06-02",23,31,2744,3407,16,"1.21%"
"2021-05-18",3433,"2021-06-04",23,32,2821,3466,17,"1.4%"
"2021-05-19",3458,"2021-06-04",23,32,2821,3466,16,"1.4%"
"2021-05-20",3513,"2021-06-07",24,34,2822,3519,18,"1.43%"
"2021-05-21",3543,"2021-06-08",24,34,2935,3551,18,"1.62%"
"2021-05-22",3558,"2021-06-09",24,35,3004,3569,18,"1.95%"
"2021-05-23",3587,"2021-06-11",24,36,3004,3608,19,"1.99%"
"2021-05-24",3634,"2021-06-12",27,36,3089,3641,19,"1.63%"
"2021-05-25",3661,"2021-06-13",27,36,3089,3665,19,"1.56%"
"2021-05-26",3696,"2021-06-15",28,36,3090,3722,20,"1.27%"
"2021-05-27",3718,"2021-06-15",28,36,3206,3722,19,"1.55%"
"2021-05-28",3748,"2021-06-17",29,37,3207,3750,20,"1.47%"
