"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-14",271,"2020-07-30",,1,,341,16,"-"
"2020-07-15",277,"2020-07-30",,1,,341,15,"-"
"2020-07-17",318,"2020-07-30",,1,,341,13,"-"
"2020-07-18",318,"2020-07-30",,1,,341,12,"-"
"2020-07-19",318,"2020-07-30",,1,,341,11,"-"
"2020-07-20",408,"2020-08-03",,1,,442,14,"-"
"2020-07-21",419,"2020-08-03",,1,,442,13,"-"
"2020-07-22",419,"2020-08-03",,1,,442,12,"-"
"2020-07-23",439,"2020-08-03",,1,,442,11,"-"
"2020-07-24",463,"2020-08-07",,1,,514,14,"-"
"2020-07-25",472,"2020-08-07",,1,,514,13,"-"
"2020-07-26",487,"2020-08-07",,1,,514,12,"-"
"2020-07-27",502,"2020-08-07",,1,,514,11,"-"
"2020-07-28",525,"2020-08-08",1,1,253,535,11,"0.%"
"2020-07-29",533,"2020-08-08",1,1,253,535,10,"0.%"
"2020-07-30",534,"2020-08-08",1,1,341,535,9,"0.%"
"2020-07-31",535,"2020-08-08",1,1,356,535,8,"0.%"
"2020-08-01",537,"2020-08-10",1,1,378,548,9,"0.%"
"2020-08-02",550,"2020-08-11",1,1,388,572,9,"0.%"
"2020-08-03",574,"2020-08-14",1,1,442,574,11,"0.%"
"2020-08-04",574,"2020-08-14",1,1,443,574,10,"0.%"
"2020-08-06",575,"2020-08-15",1,1,447,590,9,"0.%"
"2020-08-07",576,"2020-08-15",1,1,514,590,8,"0.%"
"2020-08-08",576,"2020-08-15",1,1,535,590,7,"0.%"
"2020-08-09",589,"2020-08-15",1,1,536,590,6,"0.%"
"2020-08-10",605,"2020-08-21",1,1,548,609,11,"0.%"
"2020-08-11",611,"2020-08-24",1,1,572,621,13,"0.%"
"2020-08-12",616,"2020-08-24",1,1,572,621,12,"0.%"
"2020-08-13",619,"2020-08-24",1,1,572,621,11,"0.%"
