"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-22",636,"2020-07-09",10,15,419,656,17,"2.11%"
"2020-06-23",636,"2020-07-09",10,15,422,656,16,"2.14%"
"2020-06-24",671,"2020-07-11",10,16,451,679,17,"2.63%"
"2020-06-25",686,"2020-07-13",10,16,478,702,18,"2.68%"
"2020-06-26",704,"2020-07-14",10,17,517,705,18,"3.72%"
"2020-06-27",730,"2020-07-17",10,18,531,731,20,"4.%"
"2020-06-28",732,"2020-07-18",10,18,531,751,20,"3.64%"
"2020-06-29",750,"2020-07-18",11,18,545,751,19,"3.4%"
"2020-06-30",768,"2020-07-19",12,19,557,781,19,"3.12%"
"2020-07-01",800,"2020-07-22",12,19,584,812,21,"3.07%"
"2020-07-02",801,"2020-07-22",12,19,612,812,20,"3.5%"
"2020-07-03",802,"2020-07-22",13,19,613,812,19,"3.02%"
"2020-07-04",848,"2020-07-24",13,20,613,895,20,"2.48%"
"2020-07-05",849,"2020-07-24",13,20,613,895,19,"2.48%"
"2020-07-06",861,"2020-07-24",13,20,617,895,18,"2.52%"
"2020-07-07",862,"2020-07-24",13,20,631,895,17,"2.65%"
"2020-07-08",866,"2020-07-24",14,20,632,895,16,"2.28%"
"2020-07-09",873,"2020-07-24",15,20,656,895,15,"2.09%"
"2020-07-10",887,"2020-07-24",15,20,667,895,14,"2.19%"
"2020-07-11",888,"2020-07-24",16,20,679,895,13,"1.85%"
"2020-07-12",901,"2020-07-26",16,20,679,906,14,"1.76%"
"2020-07-13",917,"2020-07-27",16,20,702,943,14,"1.66%"
"2020-07-14",929,"2020-07-27",17,20,705,943,13,"1.26%"
"2020-07-15",930,"2020-07-27",17,20,713,943,12,"1.3%"
"2020-07-16",972,"2020-07-28",17,20,726,1065,12,".88%"
"2020-07-17",1055,"2020-07-28",18,20,731,1065,11,".6%"
"2020-07-18",1082,"2020-07-30",18,23,751,1143,12,"1.28%"
"2020-07-19",1103,"2020-07-30",19,23,781,1143,11,"1.1%"
"2020-07-20",1165,"2020-07-31",19,23,792,1210,11,".96%"
"2020-07-21",1168,"2020-07-31",19,23,792,1210,10,".96%"
"2020-07-22",1184,"2020-07-31",19,23,812,1210,9,"1.01%"
"2020-07-23",1293,"2020-08-06",19,24,837,1296,14,"1.09%"
"2020-07-24",1352,"2020-08-11",20,24,895,1401,18,".79%"
"2020-07-25",1363,"2020-08-11",20,24,895,1401,17,".79%"
"2020-07-26",1390,"2020-08-11",20,24,906,1401,16,".81%"
"2020-07-27",1391,"2020-08-11",20,24,943,1401,15,".87%"
"2020-07-28",1412,"2020-08-12",20,24,1065,1414,15,"1.15%"
"2020-07-29",1416,"2020-08-13",20,24,1075,1430,15,"1.13%"
"2020-07-30",1422,"2020-08-13",23,24,1143,1430,14,".35%"
"2020-07-31",1430,"2020-08-13",23,24,1210,1430,13,".45%"
"2020-08-01",1446,"2020-08-14",23,24,1237,1461,13,".45%"
"2020-08-02",1468,"2020-08-18",23,25,1250,1472,16,".9%"
"2020-08-03",1474,"2020-08-21",23,27,1250,1482,18,"1.72%"
"2020-08-04",1485,"2020-08-22",23,27,1250,1504,18,"1.57%"
"2020-08-05",1492,"2020-08-22",23,27,1268,1504,17,"1.69%"
"2020-08-06",1500,"2020-08-22",24,27,1296,1504,16,"1.44%"
"2020-08-07",1508,"2020-08-23",24,27,1299,1509,16,"1.43%"
"2020-08-08",1514,"2020-08-24",24,27,1321,1522,16,"1.49%"
"2020-08-09",1520,"2020-08-24",24,27,1321,1522,15,"1.49%"
"2020-08-10",1534,"2020-08-25",24,27,1333,1535,15,"1.49%"
"2020-08-11",1536,"2020-08-26",24,28,1401,1536,15,"2.96%"
"2020-08-12",1537,"2020-08-27",24,28,1414,1537,15,"3.25%"
"2020-08-13",1545,"2020-08-28",24,28,1430,1559,15,"3.1%"
"2020-08-14",1553,"2020-08-28",24,28,1461,1559,14,"4.08%"
"2020-08-15",1564,"2020-08-30",24,28,1461,1567,15,"3.77%"
"2020-08-16",1570,"2020-08-31",25,28,1462,1574,15,"2.68%"
"2020-08-17",1576,"2020-09-01",25,28,1462,1603,15,"2.13%"
"2020-08-18",1579,"2020-09-01",25,28,1472,1603,14,"2.29%"
"2020-08-19",1589,"2020-09-01",26,28,1473,1603,13,"1.54%"
"2020-08-20",1617,"2020-09-03",26,28,1473,1623,14,"1.33%"
"2020-08-21",1617,"2020-09-03",27,28,1482,1623,13,".71%"
"2020-08-22",1622,"2020-09-03",27,28,1504,1623,12,".84%"
"2020-08-23",1625,"2020-09-04",27,28,1509,1628,12,".84%"
"2020-08-24",1631,"2020-09-07",27,29,1522,1631,14,"1.83%"
"2020-08-25",1637,"2020-09-09",27,29,1535,1674,15,"1.44%"
"2020-08-26",1646,"2020-09-09",28,29,1536,1674,14,".72%"
"2020-08-27",1669,"2020-09-09",28,29,1537,1674,13,".73%"
"2020-08-28",1678,"2020-09-10",28,29,1559,1681,13,".82%"
"2020-08-29",1690,"2020-09-11",28,29,1562,1696,13,".75%"
"2020-08-30",1698,"2020-09-12",28,29,1567,1706,13,".72%"
"2020-08-31",1704,"2020-09-12",28,29,1574,1706,12,".76%"
"2020-09-01",1701,"2020-09-12",28,29,1603,1706,11,".97%"
"2020-09-02",1703,"2020-09-12",28,29,1614,1706,10,"1.09%"
