"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-19",5917,"2020-11-27",50,53,5765,5924,8,"1.89%"
"2020-11-20",5925,"2020-11-28",50,53,5793,5955,8,"1.85%"
"2020-11-21",5950,"2020-11-28",50,53,5808,5955,7,"2.04%"
"2020-11-22",5957,"2020-11-29",51,53,5819,5960,7,"1.42%"
"2020-11-23",5986,"2020-12-26",51,55,5844,5995,33,"2.65%"
"2020-11-24",5997,"2020-12-27",52,55,5868,6011,33,"2.1%"
"2020-11-25",6015,"2020-12-28",52,55,5896,6021,33,"2.4%"
"2020-11-26",6035,"2020-12-30",53,55,5907,6051,34,"1.39%"
"2020-11-27",6042,"2020-12-30",53,55,5924,6051,33,"1.57%"
"2020-11-28",6066,"2020-12-31",53,56,5955,6068,33,"2.65%"
"2020-11-29",6081,"2021-01-01",53,56,5960,6081,33,"2.48%"
"2020-11-30",6089,"2021-01-02",53,56,5970,6089,33,"2.52%"
"2020-12-01",6096,"2021-01-03",55,56,5985,6111,33,".79%"
"2020-12-26",6103,"2021-01-03",55,56,5995,6111,8,".86%"
"2020-12-27",6109,"2021-01-03",55,56,6011,6111,7,"1.%"
"2020-12-28",6119,"2021-01-05",55,56,6021,6128,8,".93%"
"2020-12-29",6134,"2021-01-06",55,56,6031,6134,8,".97%"
"2020-12-30",6154,"2021-01-08",55,56,6051,6158,9,".93%"
"2020-12-31",6167,"2021-01-10",56,56,6068,6171,10,"0.%"
"2021-01-01",6170,"2021-01-10",56,56,6081,6171,9,"0.%"
"2021-01-02",6181,"2021-01-11",56,57,6089,6182,9,"1.08%"
"2021-01-03",6184,"2021-01-12",56,57,6111,6188,9,"1.3%"
"2021-01-04",6196,"2021-01-14",56,57,6117,6200,10,"1.2%"
"2021-01-05",6210,"2021-01-15",56,57,6128,6216,10,"1.14%"
"2021-01-06",6225,"2021-01-16",56,57,6134,6226,10,"1.09%"
"2021-01-07",6232,"2021-01-17",56,57,6141,6232,10,"1.1%"
"2021-01-08",6244,"2021-01-19",56,59,6158,6247,11,"3.37%"
"2021-01-09",6253,"2021-01-20",56,59,6164,6254,11,"3.33%"
"2021-01-10",6260,"2021-01-21",56,59,6171,6261,11,"3.33%"
"2021-01-11",6272,"2021-01-24",57,59,6182,6278,13,"2.08%"
"2021-01-12",6280,"2021-01-25",57,59,6188,6282,13,"2.13%"
"2021-01-13",6287,"2021-01-27",57,59,6193,6290,14,"2.06%"
"2021-01-14",6293,"2021-01-28",57,59,6200,6294,14,"2.13%"
"2021-01-15",6299,"2021-01-30",57,60,6216,6300,15,"3.57%"
"2021-01-16",6300,"2021-01-30",57,60,6226,6300,14,"4.05%"
"2021-01-17",6305,"2021-02-02",57,61,6232,6308,16,"5.26%"
"2021-01-18",6307,"2021-02-02",59,61,6242,6308,15,"3.03%"
"2021-01-19",6316,"2021-02-06",59,61,6247,6317,18,"2.86%"
"2021-01-20",6320,"2021-02-07",59,61,6254,6320,18,"3.03%"
"2021-01-21",6325,"2021-02-11",59,61,6261,6325,21,"3.12%"
"2021-01-22",6326,"2021-02-12",59,61,6266,6327,21,"3.28%"
"2021-01-23",6327,"2021-02-12",59,61,6271,6327,20,"3.57%"
"2021-01-24",6330,"2021-02-14",59,61,6278,6331,21,"3.77%"
