"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-04",54,"2020-07-31",,1,,159,27,"-"
"2020-07-06",57,"2020-07-31",,1,,159,25,"-"
"2020-07-07",57,"2020-07-31",,1,,159,24,"-"
"2020-07-08",58,"2020-07-31",,1,,159,23,"-"
"2020-07-09",59,"2020-07-31",,1,,159,22,"-"
"2020-07-10",86,"2020-07-31",,1,,159,21,"-"
"2020-07-11",98,"2020-07-31",,1,,159,20,"-"
"2020-07-12",118,"2020-07-31",,1,,159,19,"-"
"2020-07-13",120,"2020-07-31",,1,,159,18,"-"
"2020-07-14",130,"2020-07-31",,1,,159,17,"-"
"2020-07-15",135,"2020-07-31",,1,,159,16,"-"
"2020-07-16",145,"2020-07-31",,1,,159,15,"-"
"2020-07-17",202,"2020-08-09",,1,,207,23,"-"
"2020-07-18",219,"2020-08-10",,1,,245,23,"-"
"2020-07-19",219,"2020-08-10",,1,,245,22,"-"
"2020-07-21",229,"2020-08-10",,1,,245,20,"-"
"2020-07-22",231,"2020-08-10",,1,,245,19,"-"
"2020-07-23",237,"2020-08-10",,1,,245,18,"-"
"2020-07-24",238,"2020-08-10",,1,,245,17,"-"
"2020-07-25",238,"2020-08-10",,1,,245,16,"-"
"2020-07-26",266,"2020-08-12",,1,,327,17,"-"
"2020-07-27",269,"2020-08-12",,1,,327,16,"-"
"2020-07-28",281,"2020-08-12",,1,,327,15,"-"
"2020-07-29",313,"2020-08-12",,1,,327,14,"-"
"2020-07-31",359,"2020-08-19",1,1,159,359,19,"0.%"
"2020-08-01",362,"2020-08-21",1,1,168,366,20,"0.%"
"2020-08-03",379,"2020-08-23",1,1,168,414,20,"0.%"
"2020-08-04",380,"2020-08-23",1,1,168,414,19,"0.%"
"2020-08-05",384,"2020-08-23",1,1,168,414,18,"0.%"
"2020-08-06",384,"2020-08-23",1,1,187,414,17,"0.%"
"2020-08-07",407,"2020-08-23",1,1,196,414,16,"0.%"
"2020-08-08",444,"2020-08-29",1,3,196,450,21,".79%"
"2020-08-09",445,"2020-08-29",1,3,207,450,20,".82%"
"2020-08-10",449,"2020-08-29",1,3,245,450,19,".98%"
"2020-08-11",451,"2020-09-01",1,3,264,460,21,"1.02%"
"2020-08-12",451,"2020-09-01",1,3,327,460,20,"1.5%"
"2020-08-13",452,"2020-09-01",1,3,336,460,19,"1.61%"
"2020-08-14",470,"2020-09-02",1,4,336,472,19,"2.21%"
"2020-08-16",471,"2020-09-02",1,4,336,472,17,"2.21%"
"2020-08-17",477,"2020-09-03",1,4,357,483,17,"2.38%"
"2020-08-18",482,"2020-09-03",1,4,357,483,16,"2.38%"
"2020-08-19",483,"2020-09-03",1,4,359,483,15,"2.42%"
"2020-08-20",486,"2020-09-04",1,4,359,518,15,"1.89%"
"2020-08-21",491,"2020-09-04",1,4,366,518,14,"1.97%"
"2020-08-22",496,"2020-09-04",1,4,373,518,13,"2.07%"
"2020-08-23",502,"2020-09-04",1,4,414,518,12,"2.88%"
"2020-08-24",530,"2020-09-05",1,4,414,621,12,"1.45%"
"2020-08-26",537,"2020-09-05",1,4,426,621,10,"1.54%"
"2020-08-27",563,"2020-09-05",2,4,427,621,9,"1.03%"
"2020-08-28",568,"2020-09-05",2,4,439,621,8,"1.1%"
"2020-08-29",609,"2020-09-05",3,4,450,621,7,".58%"
"2020-08-30",719,"2020-09-12",3,5,450,730,13,".71%"
"2020-08-31",822,"2020-09-22",3,7,450,843,22,"1.02%"
"2020-09-01",837,"2020-09-22",3,7,460,843,21,"1.04%"
"2020-09-02",868,"2020-09-25",4,7,472,959,23,".62%"
"2020-09-03",880,"2020-09-25",4,7,483,959,22,".63%"
"2020-09-04",881,"2020-09-25",4,7,518,959,21,".68%"
"2020-09-05",883,"2020-09-25",4,7,621,959,20,".89%"
"2020-09-06",924,"2020-09-25",4,7,622,959,19,".89%"
"2020-09-07",931,"2020-09-25",4,7,622,959,18,".89%"
"2020-09-08",931,"2020-09-25",4,7,655,959,17,".99%"
"2020-09-09",976,"2020-09-30",4,7,661,996,21,".9%"
"2020-09-10",983,"2020-09-30",5,7,662,996,20,".6%"
