"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-05",1122,"2020-10-28",8,9,900,1136,23,".42%"
"2020-10-06",1132,"2020-10-28",8,9,917,1136,22,".46%"
"2020-10-07",1139,"2020-10-29",8,9,925,1153,22,".44%"
"2020-10-08",1139,"2020-10-29",8,9,944,1153,21,".48%"
"2020-10-09",1142,"2020-10-29",8,9,951,1153,20,".5%"
"2020-10-10",1146,"2020-10-29",9,9,972,1153,19,"0.%"
"2020-10-11",1147,"2020-10-29",9,9,973,1153,18,"0.%"
"2020-10-12",1147,"2020-10-29",9,9,988,1153,17,"0.%"
"2020-10-13",1165,"2020-10-31",9,9,1015,1168,18,"0.%"
"2020-10-14",1168,"2020-10-31",9,9,1034,1168,17,"0.%"
"2020-10-15",1176,"2020-11-02",9,9,1045,1187,18,"0.%"
"2020-10-16",1179,"2020-11-02",9,9,1060,1187,17,"0.%"
"2020-10-17",1182,"2020-11-02",9,9,1068,1187,16,"0.%"
"2020-10-18",1186,"2020-11-02",9,9,1073,1187,15,"0.%"
"2020-10-19",1192,"2020-11-04",9,9,1078,1201,16,"0.%"
"2020-10-20",1195,"2020-11-04",9,9,1090,1201,15,"0.%"
"2020-10-21",1199,"2020-11-04",9,9,1093,1201,14,"0.%"
"2020-10-22",1210,"2020-11-05",9,9,1103,1211,14,"0.%"
"2020-10-23",1220,"2020-11-06",9,9,1104,1225,14,"0.%"
"2020-10-24",1224,"2020-11-06",9,9,1105,1225,13,"0.%"
"2020-10-25",1226,"2020-11-08",9,9,1105,1228,14,"0.%"
"2020-10-27",1227,"2020-11-08",9,9,1117,1228,12,"0.%"
"2020-10-28",1232,"2020-11-10",9,9,1136,1232,13,"0.%"
"2020-10-29",1244,"2020-11-12",9,9,1153,1246,14,"0.%"
"2020-10-30",1248,"2020-11-13",9,9,1159,1248,14,"0.%"
"2020-10-31",1251,"2020-11-16",9,10,1168,1253,16,"1.18%"
"2020-11-01",1253,"2020-11-16",9,10,1170,1253,15,"1.2%"
"2020-11-02",1259,"2020-11-18",9,10,1187,1264,16,"1.3%"
"2020-11-03",1261,"2020-11-18",9,10,1188,1264,15,"1.32%"
"2020-11-04",1263,"2020-11-18",9,10,1201,1264,14,"1.59%"
"2020-11-05",1267,"2020-11-23",9,10,1211,1269,18,"1.72%"
"2020-11-06",1270,"2020-11-24",9,10,1225,1273,18,"2.08%"
"2020-11-07",1271,"2020-11-24",9,10,1225,1273,17,"2.08%"
"2020-11-08",1273,"2020-11-24",9,10,1228,1273,16,"2.22%"
"2020-11-09",1276,"2020-11-25",9,10,1231,1278,16,"2.13%"
"2020-11-10",1277,"2020-11-25",9,10,1232,1278,15,"2.17%"
"2020-11-11",1280,"2020-11-26",9,10,1241,1280,15,"2.56%"
"2020-11-12",1280,"2020-11-26",9,10,1246,1280,14,"2.94%"
"2020-11-13",1284,"2020-11-27",9,10,1248,1285,14,"2.7%"
"2020-11-14",1286,"2020-11-28",9,10,1249,1286,14,"2.7%"
"2020-11-15",1287,"2020-11-30",9,10,1249,1292,15,"2.33%"
"2020-11-16",1289,"2020-11-30",10,10,1253,1292,14,"0.%"
"2020-11-17",1293,"2020-12-01",10,10,1255,1297,14,"0.%"
"2020-11-18",1295,"2020-12-01",10,10,1264,1297,13,"0.%"
"2020-11-20",1298,"2020-12-26",10,10,1265,1298,36,"0.%"
"2020-11-21",1301,"2020-12-30",10,10,1265,1301,39,"0.%"
"2020-11-22",1304,"2021-01-04",10,10,1265,1304,43,"0.%"
"2020-11-23",1307,"2021-01-07",10,10,1269,1308,45,"0.%"
"2020-11-24",1312,"2021-01-08",10,10,1273,1313,45,"0.%"
"2020-11-25",1314,"2021-01-09",10,10,1278,1314,45,"0.%"
"2020-11-26",1317,"2021-01-12",10,10,1280,1317,47,"0.%"
"2020-11-27",1319,"2021-01-16",10,10,1285,1319,50,"0.%"
"2020-11-28",1320,"2021-01-20",10,10,1286,1323,53,"0.%"
"2020-11-29",1327,"2021-01-22",10,10,1286,1327,54,"0.%"
"2020-11-30",1329,"2021-02-01",10,10,1292,1329,63,"0.%"
"2020-12-01",1333,"2021-02-16",10,10,1297,1337,77,"0.%"
"2020-12-26",1334,"2021-02-16",10,10,1298,1337,52,"0.%"
"2020-12-28",1335,"2021-02-16",10,10,1299,1337,50,"0.%"
"2020-12-29",1335,"2021-02-16",10,10,1300,1337,49,"0.%"
"2020-12-30",1336,"2021-02-16",10,10,1301,1337,48,"0.%"
"2021-01-01",1339,"2021-02-20",10,10,1301,1340,50,"0.%"
"2021-01-02",1339,"2021-02-20",10,10,1303,1340,49,"0.%"
"2021-01-03",1340,"2021-02-20",10,10,1303,1340,48,"0.%"
"2021-01-04",1341,"2021-02-22",10,10,1304,1341,49,"0.%"
"2021-01-05",1342,"2021-02-23",10,10,1304,1342,49,"0.%"
"2021-01-07",1345,"2021-03-02",10,10,1308,1345,54,"0.%"
"2021-01-08",1346,"2021-03-03",10,10,1313,1346,54,"0.%"
"2021-01-09",1348,"2021-03-04",10,10,1314,1349,54,"0.%"
"2021-01-10",1349,"2021-03-04",10,10,1314,1349,53,"0.%"
"2021-01-11",1349,"2021-03-04",10,10,1316,1349,52,"0.%"
"2021-01-12",1349,"2021-03-04",10,10,1317,1349,51,"0.%"
"2021-01-13",1350,"2021-03-08",10,10,1317,1350,54,"0.%"
"2021-01-14",1350,"2021-03-08",10,10,1318,1350,53,"0.%"
"2021-01-15",1351,"2021-03-12",10,10,1318,1353,56,"0.%"
"2021-01-16",1352,"2021-03-12",10,10,1319,1353,55,"0.%"
"2021-01-20",1354,"2021-03-17",10,10,1323,1354,56,"0.%"
"2021-01-21",1355,"2021-03-19",10,10,1324,1356,57,"0.%"
"2021-01-22",1355,"2021-03-19",10,10,1327,1356,56,"0.%"
"2021-01-25",1355,"2021-03-19",10,10,1328,1356,53,"0.%"
"2021-01-28",1356,"2021-03-19",10,10,1328,1356,50,"0.%"
"2021-01-30",1356,"2021-03-19",10,10,1328,1356,48,"0.%"
"2021-02-01",1356,"2021-03-19",10,10,1329,1356,46,"0.%"
"2021-02-04",1359,"2021-03-24",10,11,1329,1359,48,"3.33%"
"2021-02-05",1360,"2021-03-31",10,11,1330,1363,54,"3.03%"
