"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-12-26",17264,"2021-01-09",352,352,16951,17290,14,"0.%"
"2020-12-27",17279,"2021-01-09",352,352,16969,17290,13,"0.%"
"2020-12-28",17309,"2021-01-10",352,352,16999,17310,13,"0.%"
"2020-12-29",17335,"2021-01-12",352,352,17022,17350,14,"0.%"
"2020-12-30",17375,"2021-01-14",352,352,17043,17385,15,"0.%"
"2020-12-31",17406,"2021-01-16",352,353,17073,17420,16,".29%"
"2021-01-01",17418,"2021-01-16",352,353,17085,17420,15,".3%"
"2021-01-02",17438,"2021-01-18",352,353,17107,17454,16,".29%"
"2021-01-03",17454,"2021-01-18",352,353,17124,17454,15,".3%"
"2021-01-04",17468,"2021-01-19",352,353,17141,17473,15,".3%"
"2021-01-05",17480,"2021-01-20",352,353,17195,17490,15,".34%"
"2021-01-06",17495,"2021-01-21",352,353,17211,17513,15,".33%"
"2021-01-07",17511,"2021-01-21",352,353,17236,17513,14,".36%"
"2021-01-08",17528,"2021-01-23",352,353,17258,17545,15,".35%"
"2021-01-09",17558,"2021-01-24",352,353,17290,17561,15,".37%"
"2021-01-10",17581,"2021-01-26",352,353,17310,17587,16,".36%"
"2021-01-11",17596,"2021-01-27",352,353,17334,17603,16,".37%"
"2021-01-12",17614,"2021-01-28",352,353,17350,17618,16,".37%"
"2021-01-13",17629,"2021-01-30",352,353,17368,17637,17,".37%"
"2021-01-14",17656,"2021-02-02",352,353,17385,17661,19,".36%"
"2021-01-15",17673,"2021-02-04",352,353,17403,17673,20,".37%"
"2021-01-16",17688,"2021-02-07",353,353,17420,17694,22,"0.%"
"2021-01-17",17700,"2021-02-08",353,353,17437,17703,22,"0.%"
"2021-01-18",17717,"2021-02-11",353,353,17454,17722,24,"0.%"
"2021-01-19",17722,"2021-02-11",353,353,17473,17722,23,"0.%"
"2021-01-20",17739,"2021-02-14",353,353,17490,17745,25,"0.%"
"2021-01-21",17744,"2021-02-14",353,353,17513,17745,24,"0.%"
"2021-01-22",17752,"2021-02-15",353,353,17526,17752,24,"0.%"
"2021-01-23",17756,"2021-02-16",353,353,17545,17762,24,"0.%"
"2021-01-24",17762,"2021-02-16",353,353,17561,17762,23,"0.%"
"2021-01-25",17769,"2021-02-18",353,353,17579,17775,24,"0.%"
"2021-01-26",17774,"2021-02-18",353,353,17587,17775,23,"0.%"
"2021-01-27",17785,"2021-02-20",353,353,17603,17791,24,"0.%"
"2021-01-28",17792,"2021-02-21",353,353,17618,17799,24,"0.%"
"2021-01-29",17794,"2021-02-21",353,353,17626,17799,23,"0.%"
"2021-01-30",17797,"2021-02-21",353,353,17637,17799,22,"0.%"
"2021-01-31",17805,"2021-02-22",353,353,17645,17806,22,"0.%"
"2021-02-01",17815,"2021-02-24",353,353,17655,17821,23,"0.%"
"2021-02-02",17819,"2021-02-24",353,353,17661,17821,22,"0.%"
"2021-02-03",17827,"2021-02-25",353,353,17667,17829,22,"0.%"
"2021-02-04",17836,"2021-02-26",353,353,17673,17837,22,"0.%"
"2021-02-05",17839,"2021-02-27",353,353,17679,17846,22,"0.%"
"2021-02-06",17845,"2021-02-27",353,353,17687,17846,21,"0.%"
"2021-02-07",17855,"2021-03-01",353,353,17694,17862,22,"0.%"
"2021-02-08",17871,"2021-03-03",353,353,17703,17876,23,"0.%"
"2021-02-09",17874,"2021-03-03",353,353,17710,17876,22,"0.%"
"2021-02-10",17876,"2021-03-03",353,353,17716,17876,21,"0.%"
"2021-02-11",17886,"2021-03-05",353,353,17722,17892,22,"0.%"
"2021-02-12",17894,"2021-03-06",353,353,17729,17900,22,"0.%"
"2021-02-13",17904,"2021-03-07",353,353,17737,17906,22,"0.%"
"2021-02-14",17914,"2021-03-08",353,353,17745,17915,22,"0.%"
