"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-14",2013,"2020-11-22",9,10,1985,2014,8,"3.45%"
"2020-11-15",2013,"2020-11-22",9,10,1987,2014,7,"3.7%"
"2020-11-16",2014,"2020-11-22",9,10,1996,2014,6,"5.56%"
"2020-11-17",2017,"2020-11-24",9,10,1999,2017,7,"5.56%"
"2020-11-19",2017,"2020-11-24",9,10,2006,2017,5,"9.09%"
"2020-11-20",2019,"2020-11-25",9,10,2008,2021,5,"7.69%"
"2020-11-21",2022,"2020-11-28",10,10,2011,2022,7,"0.%"
"2020-11-22",2028,"2020-11-30",10,10,2014,2029,8,"0.%"
"2020-11-23",2029,"2020-11-30",10,10,2016,2029,7,"0.%"
"2020-11-24",2029,"2020-11-30",10,10,2017,2029,6,"0.%"
"2020-11-25",2032,"2020-12-28",10,10,2021,2035,33,"0.%"
"2020-11-26",2033,"2020-12-28",10,10,2021,2035,32,"0.%"
"2020-11-27",2034,"2020-12-28",10,10,2021,2035,31,"0.%"
"2020-11-28",2037,"2020-12-31",10,10,2022,2037,33,"0.%"
"2020-11-29",2038,"2021-01-01",10,10,2023,2038,33,"0.%"
"2020-11-30",2038,"2021-01-01",10,10,2029,2038,32,"0.%"
"2020-12-01",2039,"2021-01-02",10,10,2029,2039,32,"0.%"
"2020-12-26",2039,"2021-01-02",10,10,2030,2039,7,"0.%"
"2020-12-27",2041,"2021-01-04",10,10,2031,2041,8,"0.%"
"2020-12-28",2041,"2021-01-04",10,10,2035,2041,7,"0.%"
"2020-12-29",2045,"2021-01-06",10,10,2035,2045,8,"0.%"
"2020-12-31",2046,"2021-01-10",10,10,2037,2046,10,"0.%"
"2021-01-01",2046,"2021-01-10",10,10,2038,2046,9,"0.%"
"2021-01-02",2046,"2021-01-10",10,10,2039,2046,8,"0.%"
"2021-01-04",2046,"2021-01-10",10,10,2041,2046,6,"0.%"
"2021-01-05",2046,"2021-01-10",10,10,2042,2046,5,"0.%"
"2021-01-06",2048,"2021-01-11",10,10,2045,2049,5,"0.%"
"2021-01-07",2050,"2021-01-12",10,10,2045,2051,5,"0.%"
"2021-01-08",2056,"2021-01-20",10,10,2045,2057,12,"0.%"
"2021-01-09",2057,"2021-01-20",10,10,2045,2057,11,"0.%"
"2021-01-10",2057,"2021-01-20",10,10,2046,2057,10,"0.%"
"2021-01-11",2059,"2021-01-24",10,10,2049,2060,13,"0.%"
