"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-15",1771,"2020-10-29",4,4,1661,1795,14,"0.%"
"2020-10-16",1793,"2020-10-29",4,4,1684,1795,13,"0.%"
"2020-10-17",1799,"2020-10-30",4,4,1684,1807,13,"0.%"
"2020-10-18",1811,"2020-10-31",4,4,1684,1812,13,"0.%"
"2020-10-19",1812,"2020-10-31",4,4,1694,1812,12,"0.%"
"2020-10-20",1818,"2020-11-03",4,5,1694,1822,14,".78%"
"2020-10-21",1827,"2020-11-04",4,5,1711,1831,14,".83%"
"2020-10-22",1835,"2020-11-05",4,5,1719,1845,14,".79%"
"2020-10-23",1838,"2020-11-05",4,5,1721,1845,13,".81%"
"2020-10-24",1844,"2020-11-05",4,5,1722,1845,12,".81%"
"2020-10-25",1845,"2020-11-05",4,5,1743,1845,11,".98%"
"2020-10-26",1849,"2020-11-06",4,5,1744,1866,11,".82%"
"2020-10-27",1850,"2020-11-06",4,5,1744,1866,10,".82%"
"2020-10-28",1856,"2020-11-06",4,5,1744,1866,9,".82%"
"2020-10-29",1857,"2020-11-06",4,5,1795,1866,8,"1.41%"
"2020-10-30",1868,"2020-11-07",4,5,1807,1874,8,"1.49%"
"2020-10-31",1878,"2020-11-08",4,5,1812,1882,8,"1.43%"
"2020-11-01",1882,"2020-11-08",5,5,1813,1882,7,"0.%"
"2020-11-03",1889,"2020-11-12",5,5,1822,1889,9,"0.%"
"2020-11-04",1891,"2020-11-13",5,5,1831,1900,9,"0.%"
"2020-11-05",1902,"2020-11-15",5,5,1845,1904,10,"0.%"
"2020-11-06",1909,"2020-11-17",5,5,1866,1915,11,"0.%"
"2020-11-07",1914,"2020-11-17",5,5,1874,1915,10,"0.%"
"2020-11-08",1915,"2020-11-17",5,5,1882,1915,9,"0.%"
"2020-11-09",1917,"2020-11-18",5,5,1882,1919,9,"0.%"
"2020-11-10",1919,"2020-11-18",5,5,1884,1919,8,"0.%"
"2020-11-11",1927,"2020-11-22",5,5,1884,1927,11,"0.%"
"2020-11-12",1932,"2020-11-23",5,5,1889,1933,11,"0.%"
"2020-11-13",1935,"2020-11-25",5,5,1900,1936,12,"0.%"
