"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-18",1,"2020-07-16",,1,,61,59,"-"
"2020-05-22",4,"2020-07-16",,1,,61,55,"-"
"2020-05-24",6,"2020-07-16",,1,,61,53,"-"
"2020-05-26",14,"2020-07-16",,1,,61,51,"-"
"2020-05-27",15,"2020-07-16",,1,,61,50,"-"
"2020-05-30",15,"2020-07-16",,1,,61,47,"-"
"2020-06-03",16,"2020-07-16",,1,,61,43,"-"
"2020-06-04",16,"2020-07-16",,1,,61,42,"-"
"2020-06-05",16,"2020-07-16",,1,,61,41,"-"
"2020-06-06",21,"2020-07-16",,1,,61,40,"-"
"2020-06-07",22,"2020-07-16",,1,,61,39,"-"
"2020-06-08",23,"2020-07-16",,1,,61,38,"-"
"2020-06-09",35,"2020-07-16",,1,,61,37,"-"
"2020-06-10",37,"2020-07-16",,1,,61,36,"-"
"2020-06-12",43,"2020-07-16",,1,,61,34,"-"
"2020-06-13",46,"2020-07-16",,1,,61,33,"-"
"2020-06-14",47,"2020-07-16",,1,,61,32,"-"
"2020-06-15",53,"2020-07-16",,1,,61,31,"-"
"2020-06-16",53,"2020-07-16",,1,,61,30,"-"
"2020-06-19",53,"2020-07-16",,1,,61,27,"-"
"2020-06-20",55,"2020-07-16",,1,,61,26,"-"
"2020-06-21",57,"2020-07-16",,1,,61,25,"-"
"2020-06-23",57,"2020-07-16",,1,,61,23,"-"
"2020-06-28",58,"2020-07-16",,1,,61,18,"-"
"2020-06-29",58,"2020-07-16",,1,,61,17,"-"
"2020-07-02",58,"2020-07-16",,1,,61,14,"-"
"2020-07-04",61,"2020-07-16",,1,,61,12,"-"
"2020-07-06",64,"2020-07-17",,1,,65,11,"-"
"2020-07-07",69,"2020-07-20",,1,,79,13,"-"
"2020-07-08",73,"2020-07-20",,1,,79,12,"-"
"2020-07-10",92,"2020-07-22",,1,,113,12,"-"
"2020-07-11",93,"2020-07-22",,1,,113,11,"-"
"2020-07-13",96,"2020-07-22",,1,,113,9,"-"
"2020-07-14",98,"2020-07-22",,1,,113,8,"-"
"2020-07-15",108,"2020-07-22",,1,,113,7,"-"
"2020-07-16",112,"2020-07-22",1,1,61,113,6,"0.%"
"2020-07-17",128,"2020-07-25",1,1,65,135,8,"0.%"
"2020-07-18",131,"2020-07-25",1,1,65,135,7,"0.%"
"2020-07-19",131,"2020-07-25",1,1,68,135,6,"0.%"
"2020-07-20",131,"2020-07-25",1,1,79,135,5,"0.%"
"2020-07-21",142,"2020-07-28",1,1,90,148,7,"0.%"
"2020-07-22",147,"2020-07-28",1,1,113,148,6,"0.%"
"2020-07-23",156,"2020-08-05",1,3,113,179,13,"3.03%"
"2020-07-24",175,"2020-08-05",1,3,116,179,12,"3.17%"
"2020-07-25",180,"2020-08-06",1,3,135,225,12,"2.22%"
"2020-07-26",214,"2020-08-06",1,3,135,225,11,"2.22%"
"2020-07-27",232,"2020-08-07",1,3,135,237,11,"1.96%"
"2020-07-28",240,"2020-08-08",1,3,148,267,11,"1.68%"
"2020-07-29",258,"2020-08-08",1,3,148,267,10,"1.68%"
"2020-07-30",309,"2020-08-11",2,6,149,363,12,"1.87%"
"2020-07-31",329,"2020-08-11",2,6,149,363,11,"1.87%"
"2020-08-01",351,"2020-08-11",2,6,149,363,10,"1.87%"
"2020-08-02",357,"2020-08-11",2,6,149,363,9,"1.87%"
"2020-08-03",382,"2020-08-12",2,6,149,451,9,"1.32%"
"2020-08-04",407,"2020-08-12",2,6,149,451,8,"1.32%"
"2020-08-05",441,"2020-08-12",3,6,179,451,7,"1.1%"
"2020-08-06",443,"2020-08-12",3,6,225,451,6,"1.33%"
"2020-08-07",475,"2020-08-13",3,6,237,480,6,"1.23%"
"2020-08-08",491,"2020-08-14",3,6,267,505,6,"1.26%"
"2020-08-09",536,"2020-08-17",4,8,276,555,8,"1.43%"
"2020-08-10",548,"2020-08-17",6,8,295,555,7,".77%"
"2020-08-11",579,"2020-08-18",6,9,363,579,7,"1.39%"
"2020-08-12",610,"2020-08-20",6,9,451,634,8,"1.64%"
"2020-08-13",629,"2020-08-20",6,9,480,634,7,"1.95%"
"2020-08-14",667,"2020-08-22",6,9,505,701,8,"1.53%"
"2020-08-15",699,"2020-08-22",6,9,508,701,7,"1.55%"
"2020-08-16",700,"2020-08-22",8,9,510,701,6,".52%"
"2020-08-17",732,"2020-08-23",8,9,555,735,6,".56%"
"2020-08-18",787,"2020-08-26",9,10,579,806,8,".44%"
"2020-08-19",810,"2020-08-27",9,10,607,860,8,".4%"
"2020-08-20",836,"2020-08-27",9,10,634,860,7,".44%"
"2020-08-21",883,"2020-08-28",9,10,666,901,7,".43%"
"2020-08-22",964,"2020-08-29",9,11,701,965,7,".76%"
"2020-08-23",1005,"2020-08-30",9,12,735,1005,7,"1.11%"
"2020-08-24",1098,"2020-09-01",9,12,747,1135,8,".77%"
"2020-08-25",1134,"2020-09-01",10,12,771,1135,7,".55%"
"2020-08-26",1166,"2020-09-02",10,12,806,1178,7,".54%"
"2020-08-27",1209,"2020-09-03",10,12,860,1215,7,".56%"
"2020-08-28",1228,"2020-09-04",10,12,901,1260,7,".56%"
"2020-08-29",1256,"2020-09-04",11,12,965,1260,6,".34%"
"2020-08-30",1273,"2020-09-05",12,12,1005,1317,6,"0.%"
"2020-08-31",1483,"2020-09-07",12,13,1062,1489,7,".23%"
"2020-09-01",1516,"2020-09-08",12,15,1135,1602,7,".64%"
"2020-09-02",1540,"2020-09-08",12,15,1178,1602,6,".71%"
"2020-09-03",1557,"2020-09-08",12,15,1215,1602,5,".78%"
"2020-09-04",1644,"2020-09-09",12,15,1260,1689,5,".7%"
"2020-09-05",1808,"2020-09-11",12,16,1317,1838,6,".77%"
"2020-09-06",1918,"2020-09-13",12,18,1410,1971,7,"1.07%"
"2020-09-07",1975,"2020-09-14",13,18,1489,2028,7,".93%"
"2020-09-08",2102,"2020-09-16",15,20,1602,2135,8,".94%"
"2020-09-09",2173,"2020-09-17",15,21,1689,2234,8,"1.1%"
"2020-09-10",2211,"2020-09-17",15,21,1780,2234,7,"1.32%"
"2020-09-11",2277,"2020-09-18",16,22,1838,2317,7,"1.25%"
"2020-09-12",2315,"2020-09-18",16,22,1911,2317,6,"1.48%"
"2020-09-13",2361,"2020-09-19",18,24,1971,2408,6,"1.37%"
"2020-09-14",2403,"2020-09-19",18,24,2028,2408,5,"1.58%"
"2020-09-15",2583,"2020-09-21",20,24,2073,2587,6,".78%"
"2020-09-16",2659,"2020-09-22",20,28,2135,2669,6,"1.5%"
"2020-09-17",2718,"2020-09-23",21,29,2234,2760,6,"1.52%"
"2020-09-18",2825,"2020-09-24",22,29,2317,2842,6,"1.33%"
"2020-09-19",2853,"2020-09-25",24,31,2408,2946,6,"1.3%"
"2020-09-20",2981,"2020-09-26",24,31,2491,3018,6,"1.33%"
"2020-09-21",3017,"2020-09-26",24,31,2587,3018,5,"1.62%"
"2020-09-22",3122,"2020-09-28",28,32,2669,3151,6,".83%"
"2020-09-23",3192,"2020-09-29",29,32,2760,3205,6,".67%"
"2020-09-24",3271,"2020-10-01",29,32,2842,3321,7,".63%"
"2020-09-25",3330,"2020-10-02",31,32,2946,3365,7,".24%"
"2020-09-26",3393,"2020-10-03",31,33,3018,3398,7,".53%"
"2020-09-27",3430,"2020-10-04",31,34,3087,3452,7,".82%"
"2020-09-28",3517,"2020-10-06",32,35,3151,3542,8,".77%"
"2020-09-29",3571,"2020-10-07",32,35,3205,3575,8,".81%"
"2020-09-30",3621,"2020-10-09",32,35,3261,3677,9,".72%"
"2020-10-01",3655,"2020-10-09",32,35,3321,3677,8,".84%"
"2020-10-02",3678,"2020-10-10",32,35,3365,3729,8,".82%"
"2020-10-03",3693,"2020-10-10",33,35,3398,3729,7,".6%"
"2020-10-04",3757,"2020-10-11",34,35,3452,3779,7,".31%"
"2020-10-05",3784,"2020-10-12",35,35,3490,3824,7,"0.%"
"2020-10-06",3900,"2020-10-15",35,35,3542,3910,9,"0.%"
"2020-10-07",3917,"2020-10-16",35,36,3575,3957,9,".26%"
"2020-10-08",3951,"2020-10-16",35,36,3575,3957,8,".26%"
"2020-10-09",3970,"2020-10-17",35,36,3677,3986,8,".32%"
"2020-10-10",3991,"2020-10-18",35,36,3729,4012,8,".35%"
"2020-10-11",3994,"2020-10-18",35,36,3779,4012,7,".43%"
"2020-10-12",4009,"2020-10-18",35,36,3824,4012,6,".53%"
"2020-10-13",4027,"2020-10-19",35,36,3847,4037,6,".53%"
"2020-10-14",4052,"2020-10-20",35,36,3875,4068,6,".52%"
"2020-10-15",4082,"2020-10-21",35,36,3910,4092,6,".55%"
"2020-10-16",4099,"2020-10-22",36,36,3957,4129,6,"0.%"
"2020-10-17",4109,"2020-10-22",36,36,3986,4129,5,"0.%"
"2020-10-18",4120,"2020-10-22",36,36,4012,4129,4,"0.%"
"2020-10-19",4130,"2020-10-23",36,36,4037,4161,4,"0.%"
"2020-10-20",4174,"2020-10-24",36,36,4068,4187,4,"0.%"
"2020-10-21",4205,"2020-10-25",36,36,4092,4208,4,"0.%"
"2020-10-22",4266,"2020-10-28",36,36,4129,4271,6,"0.%"
"2020-10-23",4312,"2020-10-31",36,36,4161,4324,8,"0.%"
"2020-10-24",4319,"2020-10-31",36,36,4187,4324,7,"0.%"
"2020-10-25",4337,"2020-11-01",36,36,4208,4338,7,"0.%"
