"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-08",2783,"2020-07-26",17,80,1438,3105,18,"3.78%"
"2020-07-09",3048,"2020-07-26",19,80,1523,3105,17,"3.86%"
"2020-07-10",2909,"2020-07-26",17,80,1081,3105,16,"3.11%"
"2020-07-11",3662,"2020-07-30",21,100,1591,3840,19,"3.51%"
"2020-07-12",2945,"2020-07-26",26,80,1230,3105,14,"2.88%"
"2020-07-13",3944,"2020-07-31",30,103,1723,4162,18,"2.99%"
"2020-07-14",4094,"2020-07-31",32,103,1697,4162,17,"2.88%"
"2020-07-15",4364,"2020-08-03",34,122,1792,4599,19,"3.14%"
"2020-07-16",4488,"2020-08-03",36,122,1856,4599,18,"3.14%"
"2020-07-17",5095,"2020-08-05",43,133,2084,5613,19,"2.55%"
"2020-07-18",5384,"2020-08-05",45,133,2125,5613,18,"2.52%"
"2020-07-19",4797,"2020-08-04",45,122,1819,4849,16,"2.54%"
"2020-07-20",4801,"2020-08-04",46,122,1829,4849,15,"2.52%"
"2020-07-21",6152,"2020-08-07",58,148,2413,7131,17,"1.91%"
"2020-07-22",5878,"2020-08-07",60,148,2164,7131,16,"1.77%"
"2020-07-23",6507,"2020-08-07",63,148,2242,7131,15,"1.74%"
"2020-07-24",7095,"2020-08-07",71,148,2731,7131,14,"1.75%"
"2020-07-25",6908,"2020-08-07",74,148,2773,7131,13,"1.7%"
"2020-07-26",8348,"2020-08-09",80,172,3105,8378,14,"1.74%"
"2020-07-27",8599,"2020-08-10",87,186,3345,9278,14,"1.67%"
"2020-07-28",9173,"2020-08-10",90,186,3561,9278,13,"1.68%"
"2020-07-29",9146,"2020-08-10",91,186,3269,9278,12,"1.58%"
"2020-07-30",10085,"2020-08-12",100,199,3840,11526,13,"1.29%"
"2020-07-31",11313,"2020-08-12",103,199,4162,11526,12,"1.3%"
"2020-08-01",11585,"2020-08-13",109,206,4197,12340,12,"1.19%"
"2020-08-02",11723,"2020-08-13",112,206,4188,12340,11,"1.15%"
"2020-08-03",13499,"2020-08-16",122,241,4599,14065,13,"1.26%"
"2020-08-04",13174,"2020-08-16",122,241,4849,14065,12,"1.29%"
"2020-08-05",15047,"2020-08-19",133,275,5613,15859,14,"1.39%"
"2020-08-06",14801,"2020-08-18",137,262,5855,14990,12,"1.37%"
"2020-08-07",16300,"2020-08-20",148,283,7131,16522,13,"1.44%"
"2020-08-08",17467,"2020-08-21",157,294,7939,17571,13,"1.42%"
"2020-08-09",17861,"2020-08-22",172,307,8378,18816,13,"1.29%"
"2020-08-10",18785,"2020-08-22",186,307,9278,18816,12,"1.27%"
"2020-08-11",19011,"2020-08-23",189,315,9834,19747,12,"1.27%"
"2020-08-12",20256,"2020-08-24",199,332,11526,20833,12,"1.43%"
"2020-08-13",20949,"2020-08-25",206,343,12340,21156,12,"1.55%"
"2020-08-14",22124,"2020-08-26",221,359,12996,22281,12,"1.49%"
"2020-08-15",21845,"2020-08-26",223,359,12898,22281,11,"1.45%"
"2020-08-16",22680,"2020-08-27",241,374,14065,22902,11,"1.51%"
"2020-08-17",24066,"2020-08-29",252,395,14651,24989,12,"1.38%"
"2020-08-18",25332,"2020-08-30",262,407,14990,26592,12,"1.25%"
"2020-08-19",26299,"2020-08-30",275,407,15859,26592,11,"1.23%"
"2020-08-20",26544,"2020-08-30",283,407,16522,26592,10,"1.23%"
"2020-08-21",28195,"2020-09-01",294,425,17571,28296,11,"1.22%"
"2020-08-22",29102,"2020-09-02",307,435,18816,29871,11,"1.16%"
"2020-08-23",30177,"2020-09-03",315,441,19747,30992,11,"1.12%"
"2020-08-24",31117,"2020-09-04",332,444,20833,32131,11,".99%"
"2020-08-25",31643,"2020-09-04",343,444,21156,32131,10,".92%"
"2020-08-26",33310,"2020-09-05",359,459,22281,34426,10,".82%"
"2020-08-27",34675,"2020-09-06",374,466,22902,36287,10,".69%"
"2020-08-28",35812,"2020-09-06",386,466,23926,36287,9,".65%"
"2020-08-29",37111,"2020-09-07",395,479,24989,37655,9,".66%"
"2020-08-30",38434,"2020-09-08",407,493,26592,39452,9,".67%"
"2020-08-31",41655,"2020-09-10",414,514,27294,42140,10,".67%"
"2020-09-01",43832,"2020-09-11",425,529,28296,43844,10,".67%"
"2020-09-02",44861,"2020-09-12",435,539,29871,45600,10,".66%"
"2020-09-03",46479,"2020-09-13",441,552,30992,47122,10,".69%"
"2020-09-04",48038,"2020-09-14",444,558,32131,48657,10,".69%"
"2020-09-05",49796,"2020-09-15",459,568,34426,50305,10,".69%"
"2020-09-06",51062,"2020-09-16",466,576,36287,51920,10,".7%"
"2020-09-07",52619,"2020-09-17",479,587,37655,53381,10,".69%"
"2020-09-08",55295,"2020-09-19",493,612,39452,56296,11,".71%"
"2020-09-09",56896,"2020-09-20",509,614,40691,57545,11,".62%"
"2020-09-10",58078,"2020-09-21",514,623,42140,59153,11,".64%"
"2020-09-11",59039,"2020-09-21",529,623,43844,59153,10,".61%"
"2020-09-12",60459,"2020-09-22",539,638,45600,60652,10,".66%"
"2020-09-13",61473,"2020-09-23",552,645,47122,62191,10,".62%"
"2020-09-14",62736,"2020-09-24",558,649,48657,63581,10,".61%"
"2020-09-15",64438,"2020-09-25",568,658,50305,65160,10,".61%"
"2020-09-16",66073,"2020-09-26",576,667,51920,66493,10,".62%"
"2020-09-17",67099,"2020-09-28",587,685,53381,69275,11,".62%"
"2020-09-18",68577,"2020-09-28",599,685,54638,69275,10,".59%"
"2020-09-19",69859,"2020-09-29",612,697,56296,70582,10,".59%"
"2020-09-20",71351,"2020-09-30",614,708,57545,71432,10,".68%"
"2020-09-21",72672,"2020-10-01",623,718,59153,73166,10,".68%"
"2020-09-22",73947,"2020-10-02",638,726,60652,74141,10,".65%"
"2020-09-23",75088,"2020-10-03",645,731,62191,75281,10,".66%"
