"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-25",36,"2020-06-06",1,1,9,39,12,"0.%"
"2020-05-26",37,"2020-06-06",1,1,9,39,11,"0.%"
"2020-05-27",38,"2020-06-06",1,1,10,39,10,"0.%"
"2020-05-29",47,"2020-06-14",1,1,10,51,16,"0.%"
"2020-05-31",48,"2020-06-14",1,1,10,51,14,"0.%"
"2020-06-01",51,"2020-06-14",1,1,12,51,13,"0.%"
"2020-06-02",51,"2020-06-14",1,1,23,51,12,"0.%"
"2020-06-03",52,"2020-06-17",1,2,28,52,14,"4.17%"
"2020-06-04",53,"2020-06-18",1,2,31,87,14,"1.79%"
"2020-06-05",54,"2020-06-18",1,2,31,87,13,"1.79%"
"2020-06-06",54,"2020-06-18",1,2,39,87,12,"2.08%"
"2020-06-07",60,"2020-06-18",1,2,39,87,11,"2.08%"
"2020-06-08",68,"2020-06-18",1,2,39,87,10,"2.08%"
"2020-06-10",71,"2020-06-18",1,2,39,87,8,"2.08%"
"2020-06-12",168,"2020-06-25",1,8,39,197,13,"4.43%"
"2020-06-13",179,"2020-06-25",1,8,45,197,12,"4.61%"
"2020-06-14",187,"2020-06-25",1,8,51,197,11,"4.79%"
"2020-06-15",197,"2020-06-25",1,8,51,197,10,"4.79%"
"2020-06-16",250,"2020-06-27",1,10,51,297,11,"3.66%"
"2020-06-17",279,"2020-06-27",2,10,52,297,10,"3.27%"
"2020-06-18",327,"2020-06-29",2,23,87,331,11,"8.61%"
"2020-06-19",364,"2020-06-30",2,29,87,429,11,"7.89%"
"2020-06-20",402,"2020-06-30",2,29,95,429,10,"8.08%"
"2020-06-21",442,"2020-07-02",2,33,109,495,11,"8.03%"
"2020-06-22",442,"2020-07-02",3,33,110,495,10,"7.79%"
"2020-06-23",495,"2020-07-02",4,33,144,495,9,"8.26%"
"2020-06-24",529,"2020-07-04",8,34,148,544,10,"6.57%"
"2020-06-25",555,"2020-07-05",8,35,197,582,10,"7.01%"
"2020-06-26",602,"2020-07-07",9,36,236,628,11,"6.89%"
"2020-06-27",626,"2020-07-07",10,36,297,628,10,"7.85%"
"2020-06-28",697,"2020-07-09",11,40,319,700,11,"7.61%"
"2020-06-29",773,"2020-07-10",23,41,331,778,11,"4.03%"
"2020-06-30",834,"2020-07-11",29,42,429,1009,11,"2.24%"
"2020-07-01",919,"2020-07-11",29,42,429,1009,10,"2.24%"
"2020-07-02",984,"2020-07-11",33,42,495,1009,9,"1.75%"
"2020-07-03",1081,"2020-07-14",34,47,524,1083,11,"2.33%"
"2020-07-04",1154,"2020-07-16",34,51,544,1193,12,"2.62%"
"2020-07-05",1244,"2020-07-18",35,57,582,1255,13,"3.27%"
"2020-07-06",1343,"2020-07-19",36,60,601,1343,13,"3.23%"
"2020-07-07",1388,"2020-07-21",36,62,628,1389,14,"3.42%"
"2020-07-08",1447,"2020-07-23",40,67,662,1469,15,"3.35%"
"2020-07-09",1488,"2020-07-24",40,69,700,1524,15,"3.52%"
"2020-07-10",1554,"2020-07-25",41,69,778,1604,15,"3.39%"
"2020-07-11",1619,"2020-07-26",42,69,1009,1621,15,"4.41%"
"2020-07-12",1682,"2020-07-28",42,72,1029,2196,16,"2.57%"
"2020-07-13",1788,"2020-07-28",42,72,1061,2196,15,"2.64%"
"2020-07-14",1887,"2020-07-28",47,72,1083,2196,14,"2.25%"
"2020-07-15",2023,"2020-07-28",47,72,1144,2196,13,"2.38%"
"2020-07-16",2067,"2020-07-28",51,72,1193,2196,12,"2.09%"
"2020-07-17",2200,"2020-07-29",54,74,1230,2298,12,"1.87%"
"2020-07-18",2355,"2020-07-30",57,74,1255,2635,12,"1.23%"
"2020-07-19",2428,"2020-07-30",60,74,1343,2635,11,"1.08%"
"2020-07-20",2662,"2020-07-31",62,74,1381,2779,11,".86%"
"2020-07-21",2855,"2020-08-01",62,75,1389,3188,11,".72%"
"2020-07-22",2989,"2020-08-01",62,75,1428,3188,10,".74%"
"2020-07-23",3153,"2020-08-01",67,75,1469,3188,9,".47%"
"2020-07-24",3289,"2020-08-02",69,77,1524,3295,9,".45%"
"2020-07-25",3511,"2020-08-04",69,84,1604,3803,10,".68%"
"2020-07-26",4090,"2020-08-06",69,88,1621,4382,11,".69%"
"2020-07-27",4930,"2020-08-07",72,92,1667,5013,11,".6%"
"2020-07-28",5382,"2020-08-10",72,117,2196,5559,13,"1.34%"
"2020-07-29",5720,"2020-08-11",74,121,2298,5967,13,"1.28%"
"2020-07-30",6063,"2020-08-12",74,130,2635,6356,13,"1.5%"
"2020-07-31",6403,"2020-08-13",74,139,2779,6805,13,"1.61%"
"2020-08-01",6672,"2020-08-13",75,139,3188,6805,12,"1.77%"
"2020-08-02",7049,"2020-08-14",77,148,3295,7091,12,"1.87%"
"2020-08-03",7354,"2020-08-15",79,154,3315,7653,12,"1.73%"
"2020-08-04",7638,"2020-08-15",84,154,3803,7653,11,"1.82%"
"2020-08-05",8269,"2020-08-16",84,163,3955,8366,11,"1.79%"
"2020-08-06",8700,"2020-08-17",88,169,4382,8718,11,"1.87%"
"2020-08-07",9384,"2020-08-19",92,187,5013,9865,12,"1.96%"
"2020-08-08",9991,"2020-08-20",101,195,5202,10262,12,"1.86%"
"2020-08-09",10371,"2020-08-21",110,204,5359,10675,12,"1.77%"
"2020-08-10",10624,"2020-08-21",117,204,5559,10675,11,"1.7%"
"2020-08-11",11360,"2020-08-23",121,218,5967,11515,12,"1.75%"
"2020-08-12",11995,"2020-08-25",130,230,6356,12973,13,"1.51%"
"2020-08-13",12440,"2020-08-25",139,230,6805,12973,12,"1.48%"
"2020-08-14",13048,"2020-08-26",148,237,7091,13496,12,"1.39%"
"2020-08-15",13807,"2020-08-27",154,243,7653,13962,12,"1.41%"
"2020-08-16",14188,"2020-08-28",163,248,8366,14590,12,"1.37%"
"2020-08-17",14507,"2020-08-28",169,248,8718,14590,11,"1.35%"
"2020-08-18",15180,"2020-08-29",178,252,9227,15367,11,"1.21%"
"2020-08-19",15717,"2020-08-31",187,260,9865,16229,12,"1.15%"
"2020-08-20",16200,"2020-08-31",195,260,10262,16229,11,"1.09%"
"2020-08-21",16740,"2020-09-02",204,269,10675,17059,12,"1.02%"
"2020-08-22",17273,"2020-09-03",211,273,11204,17499,12,".98%"
"2020-08-23",17679,"2020-09-04",218,281,11515,17916,12,".98%"
"2020-08-24",17985,"2020-09-05",224,286,11963,18498,12,".95%"
"2020-08-25",18536,"2020-09-06",230,294,12973,19149,12,"1.04%"
"2020-08-26",19046,"2020-09-06",237,294,13496,19149,11,"1.01%"
"2020-08-27",19596,"2020-09-07",243,301,13962,19796,11,".99%"
"2020-08-28",20080,"2020-09-09",248,315,14590,20511,12,"1.13%"
"2020-08-29",20548,"2020-09-10",252,322,15367,20933,12,"1.26%"
"2020-08-30",20976,"2020-09-11",255,330,15644,21300,12,"1.33%"
"2020-08-31",21341,"2020-09-12",260,338,16229,21655,12,"1.44%"
"2020-09-01",21734,"2020-09-13",264,346,16584,22069,12,"1.49%"
"2020-09-02",22167,"2020-09-14",269,353,17059,22350,12,"1.59%"
"2020-09-03",22591,"2020-09-17",273,360,17499,23310,14,"1.5%"
"2020-09-04",23038,"2020-09-17",281,360,17916,23310,13,"1.46%"
"2020-09-05",23404,"2020-09-18",286,385,18498,23697,13,"1.9%"
"2020-09-06",23800,"2020-09-19",294,392,19149,23919,13,"2.05%"
"2020-09-07",24066,"2020-09-20",301,400,19796,24102,13,"2.3%"
"2020-09-08",24470,"2020-09-21",307,409,20012,25065,13,"2.02%"
"2020-09-09",25029,"2020-09-21",315,409,20511,25065,12,"2.06%"
"2020-09-10",25404,"2020-09-22",322,418,20933,25524,12,"2.09%"
"2020-09-11",25786,"2020-09-25",330,436,21300,25830,14,"2.34%"
"2020-09-12",26152,"2020-09-26",338,443,21655,26363,14,"2.23%"
"2020-09-13",26813,"2020-09-27",346,452,22069,27007,14,"2.15%"
"2020-09-14",27077,"2020-09-28",353,458,22350,28502,14,"1.71%"
"2020-09-15",27131,"2020-09-28",353,458,22350,28502,13,"1.71%"
"2020-09-16",27512,"2020-09-28",353,458,22350,28502,12,"1.71%"
"2020-09-17",28189,"2020-09-28",360,458,23310,28502,11,"1.89%"
"2020-09-18",28485,"2020-09-28",385,458,23697,28502,10,"1.52%"
"2020-09-19",28785,"2020-09-29",392,460,23919,28799,10,"1.39%"
"2020-09-20",29083,"2020-09-30",400,462,24102,29290,10,"1.2%"
"2020-09-21",29279,"2020-09-30",409,462,25065,29290,9,"1.25%"
"2020-09-22",29460,"2020-10-03",418,470,25524,29673,11,"1.25%"
"2020-09-23",29652,"2020-10-03",418,470,25524,29673,10,"1.25%"
"2020-09-24",29673,"2020-10-03",428,470,25614,29673,9,"1.03%"
"2020-09-25",30171,"2020-10-06",436,482,25830,30507,11,".98%"
"2020-09-26",30633,"2020-10-08",443,485,26363,30908,12,".92%"
"2020-09-27",30943,"2020-10-09",452,487,27007,31267,12,".82%"
"2020-09-28",31107,"2020-10-09",458,487,28502,31267,11,"1.05%"
"2020-09-29",31420,"2020-10-10",460,490,28799,31542,11,"1.09%"
"2020-09-30",31529,"2020-10-10",462,490,29290,31542,10,"1.24%"
"2020-10-01",32015,"2020-10-12",464,494,29370,32101,11,"1.1%"
"2020-10-02",32277,"2020-10-13",466,497,29429,32352,11,"1.06%"
"2020-10-03",32530,"2020-10-14",470,500,29673,32536,11,"1.05%"
"2020-10-04",32834,"2020-10-16",473,505,29911,33055,12,"1.02%"
"2020-10-05",33004,"2020-10-16",478,505,30149,33055,11,".93%"
"2020-10-06",33257,"2020-10-17",482,507,30507,33456,11,".85%"
"2020-10-07",33515,"2020-10-18",482,509,30630,33665,11,".89%"
"2020-10-08",33763,"2020-10-19",485,512,30908,33949,11,".89%"
"2020-10-09",33980,"2020-10-20",487,513,31267,34114,11,".91%"
"2020-10-10",34205,"2020-10-21",490,515,31542,34326,11,".9%"
"2020-10-11",34431,"2020-10-22",492,517,31920,34506,11,".97%"
"2020-10-12",34573,"2020-10-23",494,519,32101,34689,11,".97%"
"2020-10-13",34611,"2020-10-23",497,519,32352,34689,10,".94%"
"2020-10-14",34886,"2020-10-24",500,521,32536,34892,10,".89%"
"2020-10-15",35168,"2020-10-26",503,525,32770,35239,11,".89%"
"2020-10-16",35342,"2020-10-27",505,528,33055,35410,11,".98%"
"2020-10-17",35531,"2020-10-28",507,531,33456,35599,11,"1.12%"
"2020-10-18",35702,"2020-10-29",509,531,33665,35774,11,"1.04%"
"2020-10-19",35888,"2020-10-30",512,535,33949,35974,11,"1.14%"
"2020-10-20",36076,"2020-10-31",513,537,34114,36142,11,"1.18%"
"2020-10-21",36221,"2020-11-01",515,539,34326,36342,11,"1.19%"
"2020-10-22",36439,"2020-11-02",517,540,34506,36498,11,"1.15%"
"2020-10-23",36554,"2020-11-03",519,542,34689,36701,11,"1.14%"
"2020-10-24",36683,"2020-11-03",521,542,34892,36701,10,"1.16%"
"2020-10-25",36815,"2020-11-05",523,547,35069,36862,11,"1.34%"
"2020-10-26",36862,"2020-11-05",525,547,35239,36862,10,"1.36%"
"2020-10-27",36926,"2020-11-06",528,549,35410,36931,10,"1.38%"
"2020-10-28",36995,"2020-11-07",531,550,35599,36998,10,"1.36%"
"2020-10-29",37069,"2020-11-09",531,556,35774,37132,11,"1.84%"
"2020-10-30",37151,"2020-11-10",535,558,35974,37213,11,"1.86%"
"2020-10-31",37221,"2020-11-11",537,561,36142,37280,11,"2.11%"
"2020-11-01",37284,"2020-11-12",539,563,36342,37332,11,"2.42%"
"2020-11-02",37344,"2020-11-13",540,565,36498,37394,11,"2.79%"
"2020-11-03",37387,"2020-11-13",542,565,36701,37394,10,"3.32%"
"2020-11-04",37453,"2020-11-14",545,567,36800,37462,10,"3.32%"
"2020-11-05",37499,"2020-11-15",547,569,36862,37513,10,"3.38%"
"2020-11-06",37565,"2020-11-16",549,571,36931,37565,10,"3.47%"
"2020-11-07",37620,"2020-11-17",550,572,36998,37622,10,"3.53%"
"2020-11-08",37673,"2020-11-19",553,575,37062,37695,11,"3.48%"
