"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-19",307,"2020-07-04",1,4,274,311,15,"8.11%"
"2020-06-20",308,"2020-07-04",1,4,274,311,14,"8.11%"
"2020-06-21",308,"2020-07-04",1,4,277,311,13,"8.82%"
"2020-06-23",310,"2020-07-04",1,4,277,311,11,"8.82%"
"2020-06-24",311,"2020-07-04",1,4,284,311,10,"11.11%"
"2020-06-25",315,"2020-07-08",1,7,290,343,13,"11.32%"
"2020-06-26",316,"2020-07-08",1,7,291,343,12,"11.54%"
"2020-06-27",317,"2020-07-08",1,7,291,343,11,"11.54%"
"2020-06-28",325,"2020-07-08",1,7,295,343,10,"12.5%"
"2020-06-30",327,"2020-07-08",2,7,299,343,8,"11.36%"
"2020-07-01",335,"2020-07-08",3,7,300,343,7,"9.3%"
"2020-07-02",342,"2020-07-08",4,7,301,343,6,"7.14%"
"2020-07-03",355,"2020-07-11",4,9,301,365,8,"7.81%"
"2020-07-04",382,"2020-07-16",4,17,311,388,12,"16.88%"
"2020-07-05",393,"2020-07-18",6,24,313,422,13,"16.51%"
"2020-07-07",393,"2020-07-18",7,24,314,422,11,"15.74%"
"2020-07-08",440,"2020-07-21",7,30,343,450,13,"21.5%"
"2020-07-09",449,"2020-07-21",7,30,343,450,12,"21.5%"
"2020-07-10",464,"2020-07-25",7,40,343,503,15,"20.62%"
"2020-07-11",467,"2020-07-25",9,40,365,503,14,"22.46%"
"2020-07-12",469,"2020-07-25",12,40,368,503,13,"20.74%"
"2020-07-13",496,"2020-07-25",14,40,370,503,12,"19.55%"
"2020-07-14",560,"2020-07-26",14,46,370,682,12,"10.26%"
"2020-07-15",601,"2020-07-26",14,46,370,682,11,"10.26%"
"2020-07-16",693,"2020-07-27",17,52,388,726,11,"10.36%"
"2020-07-17",788,"2020-07-29",21,61,392,836,12,"9.01%"
"2020-07-18",925,"2020-07-31",24,70,422,982,13,"8.21%"
"2020-07-19",1012,"2020-08-01",26,74,424,1037,13,"7.83%"
"2020-07-20",1072,"2020-08-02",26,75,424,1094,13,"7.31%"
"2020-07-21",1095,"2020-08-03",30,85,450,1133,13,"8.05%"
"2020-07-22",1314,"2020-08-07",30,93,450,1317,16,"7.27%"
"2020-07-23",1528,"2020-08-08",34,94,454,1696,16,"4.83%"
"2020-07-24",1644,"2020-08-08",35,94,455,1696,15,"4.75%"
"2020-07-25",1985,"2020-08-09",40,94,503,2151,15,"3.28%"
"2020-07-26",2148,"2020-08-09",46,94,682,2151,14,"3.27%"
"2020-07-27",2303,"2020-08-11",52,101,726,2692,15,"2.49%"
"2020-07-28",2531,"2020-08-11",58,101,766,2692,14,"2.23%"
"2020-07-29",2810,"2020-08-12",61,107,836,2846,14,"2.29%"
"2020-07-30",3012,"2020-08-14",65,113,890,3170,15,"2.11%"
"2020-07-31",3229,"2020-08-15",70,118,982,3579,15,"1.85%"
"2020-08-01",3448,"2020-08-15",74,118,1037,3579,14,"1.73%"
"2020-08-02",3620,"2020-08-16",75,121,1094,3992,14,"1.59%"
"2020-08-03",3680,"2020-08-16",85,121,1133,3992,13,"1.26%"
"2020-08-04",3943,"2020-08-16",86,121,1162,3992,12,"1.24%"
"2020-08-05",4236,"2020-08-17",90,130,1218,4280,12,"1.31%"
"2020-08-06",4465,"2020-08-18",91,137,1263,4746,12,"1.32%"
"2020-08-07",4855,"2020-08-19",93,140,1317,5016,12,"1.27%"
"2020-08-08",5157,"2020-08-21",94,151,1696,5308,13,"1.58%"
"2020-08-09",5392,"2020-08-22",94,154,2151,5822,13,"1.63%"
"2020-08-10",5446,"2020-08-22",97,154,2244,5822,12,"1.59%"
"2020-08-11",6021,"2020-08-24",101,161,2692,6113,13,"1.75%"
"2020-08-12",6335,"2020-08-26",107,168,2846,6471,14,"1.68%"
"2020-08-13",6623,"2020-08-27",113,173,2992,6712,14,"1.61%"
"2020-08-14",6957,"2020-08-28",113,177,3170,7505,14,"1.48%"
"2020-08-15",7315,"2020-08-28",118,177,3579,7505,13,"1.5%"
"2020-08-16",7793,"2020-08-29",121,180,3992,8044,13,"1.46%"
"2020-08-17",7964,"2020-08-29",130,180,4280,8044,12,"1.33%"
"2020-08-18",8359,"2020-08-30",137,184,4746,8763,12,"1.17%"
"2020-08-19",8738,"2020-08-30",140,184,5016,8763,11,"1.17%"
"2020-08-20",9096,"2020-08-31",144,189,5109,9099,11,"1.13%"
"2020-08-21",9480,"2020-09-03",151,197,5308,9579,13,"1.08%"
"2020-08-22",9792,"2020-09-04",154,203,5822,9870,13,"1.21%"
"2020-08-23",9928,"2020-09-05",156,203,5958,10201,13,"1.11%"
"2020-08-24",10247,"2020-09-06",161,211,6113,10442,13,"1.16%"
"2020-08-25",10545,"2020-09-07",163,219,6296,10634,13,"1.29%"
"2020-08-26",10834,"2020-09-09",168,224,6471,11018,14,"1.23%"
"2020-08-27",11152,"2020-09-10",173,226,6712,11664,14,"1.07%"
"2020-08-28",11442,"2020-09-10",177,226,7505,11664,13,"1.18%"
"2020-08-29",11718,"2020-09-11",180,235,8044,12281,13,"1.3%"
"2020-08-30",12075,"2020-09-11",184,235,8763,12281,12,"1.45%"
"2020-08-31",12229,"2020-09-11",189,235,9099,12281,11,"1.45%"
"2020-09-01",12545,"2020-09-12",196,237,9201,12914,11,"1.1%"
"2020-09-02",13015,"2020-09-13",197,237,9334,13302,11,"1.01%"
"2020-09-03",13469,"2020-09-14",197,241,9579,13839,11,"1.03%"
"2020-09-04",13747,"2020-09-14",203,241,9870,13839,10,".96%"
"2020-09-05",14220,"2020-09-15",203,244,10201,14328,10,".99%"
