"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-13",6180,"2020-11-23",115,116,6030,6188,10,".63%"
"2020-11-14",6194,"2020-11-24",115,116,6045,6194,10,".67%"
"2020-11-15",6201,"2020-11-26",115,116,6062,6206,11,".69%"
"2020-11-16",6207,"2020-11-27",115,116,6077,6214,11,".73%"
"2020-11-17",6214,"2020-11-27",115,116,6102,6214,10,".89%"
"2020-11-18",6218,"2020-11-28",115,116,6120,6235,10,".87%"
"2020-11-19",6230,"2020-11-28",115,116,6137,6235,9,"1.02%"
"2020-11-20",6243,"2020-11-29",115,116,6157,6246,9,"1.12%"
"2020-11-21",6262,"2020-11-30",115,116,6162,6265,9,".97%"
"2020-11-22",6278,"2020-12-01",115,116,6168,6283,9,".87%"
"2020-11-23",6291,"2020-12-26",116,116,6188,6298,33,"0.%"
"2020-11-24",6304,"2020-12-27",116,116,6194,6316,33,"0.%"
"2020-11-25",6316,"2020-12-27",116,116,6198,6316,32,"0.%"
"2020-11-26",6324,"2020-12-28",116,116,6206,6327,32,"0.%"
"2020-11-27",6336,"2020-12-30",116,116,6214,6355,33,"0.%"
"2020-11-28",6346,"2020-12-30",116,116,6235,6355,32,"0.%"
"2020-11-29",6351,"2020-12-30",116,116,6246,6355,31,"0.%"
"2020-11-30",6355,"2020-12-30",116,116,6265,6355,30,"0.%"
"2020-12-01",6365,"2021-01-01",116,116,6283,6376,31,"0.%"
"2020-12-26",6375,"2021-01-01",116,116,6298,6376,6,"0.%"
"2020-12-27",6386,"2021-01-02",116,116,6316,6394,6,"0.%"
"2020-12-28",6394,"2021-01-02",116,116,6327,6394,5,"0.%"
"2020-12-29",6402,"2021-01-04",116,116,6332,6412,6,"0.%"
"2020-12-30",6414,"2021-01-05",116,116,6355,6421,6,"0.%"
"2020-12-31",6420,"2021-01-05",116,116,6364,6421,5,"0.%"
"2021-01-01",6432,"2021-01-07",116,116,6376,6437,6,"0.%"
"2021-01-02",6445,"2021-01-08",116,116,6394,6448,6,"0.%"
"2021-01-03",6454,"2021-01-09",116,116,6401,6459,6,"0.%"
"2021-01-04",6459,"2021-01-09",116,116,6412,6459,5,"0.%"
"2021-01-05",6464,"2021-01-10",116,116,6421,6467,5,"0.%"
"2021-01-06",6472,"2021-01-11",116,116,6428,6483,5,"0.%"
"2021-01-07",6477,"2021-01-11",116,116,6437,6483,4,"0.%"
"2021-01-08",6483,"2021-01-11",116,116,6448,6483,3,"0.%"
"2021-01-09",6488,"2021-01-12",116,116,6459,6488,3,"0.%"
"2021-01-10",6495,"2021-01-13",116,116,6467,6495,3,"0.%"
"2021-01-11",6497,"2021-01-14",116,116,6483,6500,3,"0.%"
"2021-01-12",6498,"2021-01-14",116,116,6488,6500,2,"0.%"
"2021-01-13",6503,"2021-01-15",116,116,6495,6507,2,"0.%"
"2021-01-14",6510,"2021-01-16",116,116,6500,6513,2,"0.%"
"2021-01-15",6516,"2021-01-17",116,116,6507,6518,2,"0.%"
"2021-01-16",6520,"2021-01-18",116,116,6513,6520,2,"0.%"
"2021-01-17",6524,"2021-01-20",116,116,6518,6526,3,"0.%"
"2021-01-18",6525,"2021-01-20",116,116,6520,6526,2,"0.%"
"2021-01-19",6527,"2021-01-21",116,116,6521,6529,2,"0.%"
"2021-01-20",6532,"2021-01-22",116,116,6526,6537,2,"0.%"
"2021-01-21",6533,"2021-01-22",116,116,6529,6537,1,"0.%"
"2021-01-22",6536,"2021-01-22",116,116,6537,6537,0,"-"
"2021-01-23",6540,"2021-01-23",116,116,6541,6541,0,"-"
"2021-01-24",6542,"2021-01-24",116,116,6546,6546,0,"-"
"2021-01-25",6547,"2021-01-25",116,116,6549,6549,0,"-"
"2021-01-26",6548,"2021-01-26",116,116,6550,6550,0,"-"
"2021-01-27",6551,"2021-01-27",116,116,6555,6555,0,"-"
"2021-01-28",6556,"2021-01-28",116,116,6556,6556,0,"-"
"2021-01-29",6560,"2021-01-29",116,116,6562,6562,0,"-"
"2021-01-30",6562,"2021-01-30",116,116,6563,6563,0,"-"
"2021-01-31",6564,"2021-01-31",116,116,6565,6565,0,"-"
"2021-02-01",6568,"2021-02-01",116,116,6570,6570,0,"-"
"2021-02-02",6568,"2021-02-02",116,116,6571,6571,0,"-"
"2021-02-03",6569,"2021-02-03",116,116,6575,6575,0,"-"
"2021-02-04",6572,"2021-02-04",116,116,6580,6580,0,"-"
"2021-02-05",6576,"2021-02-05",116,116,6583,6583,0,"-"
"2021-02-06",6580,"2021-02-06",117,117,6586,6586,0,"-"
"2021-02-07",6581,"2021-02-07",117,117,6587,6587,0,"-"
"2021-02-08",6584,"2021-02-08",117,117,6590,6590,0,"-"
"2021-02-09",6584,"2021-02-09",117,117,6593,6593,0,"-"
"2021-02-10",6587,"2021-02-10",117,117,6594,6594,0,"-"
"2021-02-11",6588,"2021-02-11",117,117,6597,6597,0,"-"
"2021-02-12",6590,"2021-02-12",117,117,6601,6601,0,"-"
"2021-02-13",6592,"2021-02-13",117,117,6606,6606,0,"-"
"2021-02-14",6593,"2021-02-14",117,117,6606,6606,0,"-"
"2021-02-15",6593,"2021-02-15",117,117,6608,6608,0,"-"
"2021-02-16",6594,"2021-02-16",117,117,6608,6608,0,"-"
"2021-02-17",6599,"2021-02-17",117,117,6609,6609,0,"-"
"2021-02-18",6600,"2021-02-18",117,117,6613,6613,0,"-"
"2021-02-19",6602,"2021-02-19",117,117,6615,6615,0,"-"
"2021-02-20",6605,"2021-02-20",117,117,6618,6618,0,"-"
"2021-02-22",6605,"2021-02-22",117,117,6620,6620,0,"-"
"2021-02-23",6605,"2021-02-23",117,117,6623,6623,0,"-"
"2021-02-24",6607,"2021-02-24",117,117,6623,6623,0,"-"
"2021-02-25",6607,"2021-02-25",117,117,6624,6624,0,"-"
"2021-02-26",6614,"2021-02-26",117,117,6626,6626,0,"-"
"2021-02-27",6618,"2021-02-27",117,117,6628,6628,0,"-"
"2021-02-28",6621,"2021-02-28",117,117,6628,6628,0,"-"
"2021-03-01",6621,"2021-03-01",117,117,6631,6631,0,"-"
"2021-03-02",6623,"2021-03-02",117,117,6631,6631,0,"-"
