"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-05",209,"2020-07-16",4,9,88,217,11,"3.88%"
"2020-07-06",227,"2020-07-18",4,10,132,230,12,"6.12%"
"2020-07-07",231,"2020-07-19",4,14,141,240,12,"10.1%"
"2020-07-08",236,"2020-07-19",4,14,167,240,11,"13.7%"
"2020-07-09",242,"2020-07-21",4,15,167,262,12,"11.58%"
"2020-07-10",261,"2020-07-21",6,15,169,262,11,"9.68%"
"2020-07-11",301,"2020-07-22",9,15,172,301,11,"4.65%"
"2020-07-12",315,"2020-07-24",9,19,182,319,12,"7.3%"
"2020-07-13",321,"2020-07-25",10,20,188,348,12,"6.25%"
"2020-07-14",330,"2020-07-25",9,20,187,348,11,"6.83%"
"2020-07-15",369,"2020-07-26",9,22,203,376,11,"7.51%"
"2020-07-16",413,"2020-07-28",9,25,217,463,12,"6.5%"
"2020-07-17",472,"2020-07-29",10,28,220,476,12,"7.03%"
"2020-07-18",554,"2020-08-01",10,34,230,567,14,"7.12%"
"2020-07-19",584,"2020-08-03",14,39,240,617,15,"6.63%"
"2020-07-20",615,"2020-08-03",14,39,240,617,14,"6.63%"
"2020-07-21",630,"2020-08-04",15,40,262,673,14,"6.08%"
"2020-07-22",701,"2020-08-05",15,41,301,782,14,"5.41%"
"2020-07-23",773,"2020-08-05",17,41,306,782,13,"5.04%"
"2020-07-24",881,"2020-08-06",19,43,319,936,13,"3.89%"
"2020-07-25",942,"2020-08-07",20,45,348,1013,13,"3.76%"
"2020-07-26",1003,"2020-08-07",22,45,376,1013,12,"3.61%"
"2020-07-27",1066,"2020-08-08",23,46,405,1092,12,"3.35%"
"2020-07-28",1139,"2020-08-09",25,47,463,1179,12,"3.07%"
"2020-07-29",1200,"2020-08-10",28,49,476,1281,12,"2.61%"
"2020-07-30",1288,"2020-08-11",29,51,496,1372,12,"2.51%"
"2020-07-31",1380,"2020-08-12",32,52,522,1448,12,"2.16%"
"2020-08-01",1479,"2020-08-13",34,52,567,1498,12,"1.93%"
"2020-08-02",1567,"2020-08-14",37,53,576,1710,12,"1.41%"
"2020-08-03",1667,"2020-08-14",39,53,617,1710,11,"1.28%"
"2020-08-04",1763,"2020-08-15",40,55,673,1813,11,"1.32%"
"2020-08-05",1841,"2020-08-16",41,57,782,1885,11,"1.45%"
"2020-08-06",1965,"2020-08-17",43,57,936,1989,11,"1.33%"
"2020-08-07",2070,"2020-08-18",45,59,1013,2197,11,"1.18%"
"2020-08-08",2164,"2020-08-18",46,59,1092,2197,10,"1.18%"
"2020-08-09",2278,"2020-08-19",47,61,1179,2366,10,"1.18%"
"2020-08-10",2320,"2020-08-19",49,61,1281,2366,9,"1.11%"
"2020-08-11",2398,"2020-08-20",51,62,1372,2518,9,".96%"
"2020-08-12",2546,"2020-08-21",52,63,1448,2698,9,".88%"
"2020-08-13",2644,"2020-08-21",52,63,1498,2698,8,".92%"
"2020-08-14",2834,"2020-08-23",53,65,1710,2921,9,".99%"
"2020-08-15",2976,"2020-08-24",55,66,1813,3024,9,".91%"
"2020-08-16",3055,"2020-08-25",57,67,1885,3189,9,".77%"
"2020-08-17",3154,"2020-08-25",57,67,1989,3189,8,".83%"
"2020-08-18",3340,"2020-08-27",59,71,2197,3382,9,"1.01%"
"2020-08-19",3489,"2020-08-29",61,75,2366,3585,10,"1.15%"
"2020-08-20",3603,"2020-08-30",62,78,2518,3722,10,"1.33%"
"2020-08-21",3777,"2020-08-31",63,79,2698,3823,10,"1.42%"
"2020-08-22",3893,"2020-09-01",65,81,2821,3898,10,"1.49%"
"2020-08-23",4075,"2020-09-02",65,84,2921,4093,10,"1.62%"
"2020-08-24",4216,"2020-09-03",66,87,3024,4246,10,"1.72%"
"2020-08-25",4391,"2020-09-04",67,89,3189,4413,10,"1.8%"
"2020-08-26",4515,"2020-09-05",69,92,3302,4615,10,"1.75%"
"2020-08-27",4625,"2020-09-06",71,94,3382,4798,10,"1.62%"
"2020-08-28",4794,"2020-09-06",74,94,3453,4798,9,"1.49%"
"2020-08-29",4975,"2020-09-07",75,96,3585,4999,9,"1.49%"
"2020-08-30",5171,"2020-09-09",78,100,3722,5288,10,"1.4%"
"2020-08-31",5349,"2020-09-10",79,102,3823,5443,10,"1.42%"
"2020-09-01",5543,"2020-09-11",81,104,3898,5975,10,"1.11%"
"2020-09-02",5738,"2020-09-11",84,104,4093,5975,9,"1.06%"
"2020-09-03",5921,"2020-09-11",87,104,4246,5975,8,".98%"
"2020-09-04",6107,"2020-09-12",89,105,4413,6182,8,".9%"
"2020-09-05",6302,"2020-09-13",92,107,4615,6376,8,".85%"
"2020-09-06",6496,"2020-09-14",94,109,4798,6562,8,".85%"
"2020-09-07",6583,"2020-09-15",96,111,4999,6693,8,".89%"
"2020-09-08",6779,"2020-09-17",98,113,5131,6888,9,".85%"
"2020-09-09",6934,"2020-09-18",100,115,5288,7072,9,".84%"
"2020-09-10",7114,"2020-09-19",102,115,5443,7331,9,".69%"
"2020-09-11",7309,"2020-09-19",104,115,5975,7331,8,".81%"
"2020-09-12",7358,"2020-09-20",105,119,6182,7485,8,"1.07%"
"2020-09-13",7556,"2020-09-21",107,123,6376,7601,8,"1.31%"
"2020-09-14",7652,"2020-09-22",109,125,6562,7695,8,"1.41%"
"2020-09-15",7691,"2020-09-22",111,125,6693,7695,7,"1.4%"
"2020-09-16",7799,"2020-09-23",111,125,6693,7820,7,"1.24%"
"2020-09-17",7868,"2020-09-24",113,125,6888,7883,7,"1.21%"
"2020-09-18",7899,"2020-09-25",115,127,7072,7967,7,"1.34%"
"2020-09-19",8290,"2020-09-28",115,129,7331,8325,9,"1.41%"
"2020-09-20",8365,"2020-09-29",119,130,7485,8421,9,"1.18%"
"2020-09-21",8446,"2020-09-30",123,131,7601,8534,9,".86%"
"2020-09-22",8580,"2020-10-01",125,131,7695,8628,9,".64%"
