"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-12",5849,"2021-03-25",71,71,5803,5851,13,"0.%"
"2021-03-13",5854,"2021-03-26",71,71,5807,5877,13,"0.%"
"2021-03-14",5860,"2021-03-26",71,71,5811,5877,12,"0.%"
"2021-03-15",5864,"2021-03-26",71,71,5812,5877,11,"0.%"
"2021-03-16",5866,"2021-03-26",71,71,5812,5877,10,"0.%"
"2021-03-17",5868,"2021-03-26",71,71,5818,5877,9,"0.%"
"2021-03-18",5870,"2021-03-26",71,71,5824,5877,8,"0.%"
"2021-03-19",5874,"2021-03-26",71,71,5832,5877,7,"0.%"
"2021-03-20",5877,"2021-03-26",71,71,5833,5877,6,"0.%"
"2021-03-21",5886,"2021-03-27",71,71,5836,5887,6,"0.%"
"2021-03-22",5909,"2021-03-29",71,71,5842,5922,7,"0.%"
"2021-03-23",5928,"2021-03-30",71,71,5846,5928,7,"0.%"
"2021-03-24",5943,"2021-04-01",71,71,5848,5953,8,"0.%"
"2021-03-25",5954,"2021-04-02",71,71,5851,5961,8,"0.%"
"2021-03-26",5960,"2021-04-02",71,71,5877,5961,7,"0.%"
"2021-03-27",5967,"2021-04-03",71,71,5887,5971,7,"0.%"
"2021-03-28",5981,"2021-04-04",71,71,5901,5981,7,"0.%"
"2021-03-29",5983,"2021-04-05",71,71,5922,5992,7,"0.%"
"2021-03-30",5984,"2021-04-05",71,71,5928,5992,6,"0.%"
"2021-03-31",6002,"2021-04-08",71,71,5940,6009,8,"0.%"
"2021-04-01",6025,"2021-04-10",71,71,5953,6039,9,"0.%"
"2021-04-02",6028,"2021-04-10",71,71,5961,6039,8,"0.%"
"2021-04-03",6039,"2021-04-10",71,71,5971,6039,7,"0.%"
"2021-04-04",6053,"2021-04-12",71,71,5981,6062,8,"0.%"
"2021-04-05",6068,"2021-04-13",71,71,5992,6088,8,"0.%"
"2021-04-06",6090,"2021-04-14",71,71,5995,6098,8,"0.%"
"2021-04-07",6100,"2021-04-15",71,71,5998,6120,8,"0.%"
