"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-10",12384,"2020-10-21",248,262,11263,12475,11,"1.16%"
"2020-10-11",12432,"2020-10-21",250,262,11314,12475,10,"1.03%"
"2020-10-12",12509,"2020-10-22",254,267,11591,12529,10,"1.39%"
"2020-10-13",12546,"2020-10-23",257,267,11751,12574,10,"1.22%"
"2020-10-14",12606,"2020-10-24",258,267,11812,12630,10,"1.1%"
"2020-10-15",12682,"2020-10-26",259,268,11855,12717,11,"1.04%"
"2020-10-16",12723,"2020-10-27",259,268,11989,12782,11,"1.13%"
"2020-10-17",12788,"2020-10-28",259,268,12136,12883,11,"1.2%"
"2020-10-18",12823,"2020-10-28",260,268,12225,12883,10,"1.22%"
"2020-10-19",12929,"2020-10-29",261,268,12304,12934,10,"1.11%"
"2020-10-20",13006,"2020-10-31",261,268,12365,13038,11,"1.04%"
"2020-10-21",13058,"2020-11-01",262,270,12475,13093,11,"1.29%"
"2020-10-22",13107,"2020-11-02",267,270,12529,13126,11,".5%"
"2020-10-23",13134,"2020-11-03",267,271,12574,13173,11,".67%"
"2020-10-24",13183,"2020-11-04",267,271,12630,13223,11,".67%"
"2020-10-25",13235,"2020-11-05",268,271,12674,13258,11,".51%"
"2020-10-26",13257,"2020-11-05",268,271,12717,13258,10,".55%"
"2020-10-27",13279,"2020-11-06",268,273,12782,13285,10,".99%"
"2020-10-28",13290,"2020-11-07",268,273,12883,13306,10,"1.18%"
"2020-10-29",13315,"2020-11-08",268,273,12934,13321,10,"1.29%"
"2020-10-30",13342,"2020-11-09",268,273,12979,13346,10,"1.36%"
"2020-10-31",13350,"2020-11-10",268,273,13038,13358,10,"1.56%"
"2020-11-01",13377,"2020-11-11",270,273,13093,13383,10,"1.03%"
"2020-11-02",13405,"2020-11-12",270,273,13126,13412,10,"1.05%"
"2020-11-03",13420,"2020-11-13",271,273,13173,13427,10,".79%"
"2020-11-04",13445,"2020-11-15",271,273,13223,13453,11,".87%"
"2020-11-05",13453,"2020-11-15",271,273,13258,13453,10,"1.03%"
"2020-11-06",13469,"2020-11-16",273,273,13285,13491,10,"0.%"
"2020-11-07",13491,"2020-11-16",273,273,13306,13491,9,"0.%"
"2020-11-08",13493,"2020-11-17",273,273,13321,13502,9,"0.%"
"2020-11-09",13509,"2020-11-18",273,273,13346,13515,9,"0.%"
"2020-11-10",13525,"2020-11-19",273,273,13358,13527,9,"0.%"
"2020-11-11",13530,"2020-11-20",273,273,13383,13533,9,"0.%"
"2020-11-12",13558,"2020-11-22",273,273,13412,13562,10,"0.%"
"2020-11-13",13562,"2020-11-22",273,273,13427,13562,9,"0.%"
"2020-11-14",13575,"2020-11-23",273,273,13440,13575,9,"0.%"
"2020-11-15",13580,"2020-11-24",273,273,13453,13583,9,"0.%"
"2020-11-16",13582,"2020-11-24",273,273,13491,13583,8,"0.%"
"2020-11-17",13599,"2020-11-28",273,273,13502,13599,11,"0.%"
"2020-11-18",13600,"2020-11-29",273,273,13515,13608,11,"0.%"
"2020-11-19",13607,"2020-11-29",273,273,13527,13608,10,"0.%"
"2020-11-20",13610,"2020-11-30",273,273,13533,13615,10,"0.%"
"2020-11-21",13615,"2020-11-30",273,273,13543,13615,9,"0.%"
"2020-11-22",13636,"2020-12-27",273,273,13562,13640,35,"0.%"
"2020-11-23",13642,"2020-12-28",273,273,13575,13650,35,"0.%"
"2020-11-24",13646,"2020-12-28",273,273,13583,13650,34,"0.%"
"2020-11-25",13650,"2020-12-28",273,273,13588,13650,33,"0.%"
"2020-11-26",13656,"2020-12-29",273,273,13591,13661,33,"0.%"
"2020-11-27",13657,"2020-12-29",273,273,13594,13661,32,"0.%"
