"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-19",833,"2020-08-05",12,45,305,861,17,"5.94%"
"2020-07-20",852,"2020-08-05",13,45,306,861,16,"5.77%"
"2020-07-21",872,"2020-08-06",13,48,414,963,16,"6.38%"
"2020-07-22",931,"2020-08-06",13,48,414,963,15,"6.38%"
"2020-07-23",1013,"2020-08-07",15,49,439,1099,15,"5.15%"
"2020-07-24",1080,"2020-08-07",18,49,442,1099,14,"4.72%"
"2020-07-25",1122,"2020-08-08",20,50,444,1179,14,"4.08%"
"2020-07-26",1161,"2020-08-08",21,50,512,1179,13,"4.35%"
"2020-07-27",1237,"2020-08-10",22,55,513,1267,14,"4.38%"
"2020-07-28",1291,"2020-08-11",22,55,574,1720,14,"2.88%"
"2020-07-29",1422,"2020-08-11",22,55,604,1720,13,"2.96%"
"2020-07-30",1565,"2020-08-11",23,55,605,1720,12,"2.87%"
"2020-07-31",1723,"2020-08-12",27,59,602,1883,12,"2.5%"
"2020-08-01",1842,"2020-08-12",31,59,737,1883,11,"2.44%"
"2020-08-02",1941,"2020-08-13",35,59,767,2036,11,"1.89%"
"2020-08-03",2096,"2020-08-14",35,62,767,2113,11,"2.01%"
"2020-08-04",2111,"2020-08-14",39,62,814,2113,10,"1.77%"
"2020-08-05",2146,"2020-08-15",45,67,861,2208,10,"1.63%"
"2020-08-06",2438,"2020-08-19",48,78,963,2904,13,"1.55%"
"2020-08-07",2589,"2020-08-19",49,78,1099,2904,12,"1.61%"
"2020-08-08",2662,"2020-08-19",50,78,1179,2904,11,"1.62%"
"2020-08-09",2811,"2020-08-19",52,78,1208,2904,10,"1.53%"
"2020-08-10",2811,"2020-08-19",55,78,1267,2904,9,"1.41%"
"2020-08-11",3000,"2020-08-22",55,86,1720,3131,11,"2.2%"
"2020-08-12",3069,"2020-08-22",59,86,1883,3131,10,"2.16%"
"2020-08-13",3174,"2020-08-23",59,90,2036,3406,10,"2.26%"
"2020-08-14",3587,"2020-08-24",62,90,2113,3727,10,"1.73%"
"2020-08-15",3720,"2020-08-24",67,90,2208,3727,9,"1.51%"
"2020-08-16",3721,"2020-08-24",69,90,2216,3727,8,"1.39%"
"2020-08-17",4118,"2020-08-26",73,96,2284,4535,9,"1.02%"
"2020-08-18",4436,"2020-08-26",76,96,2332,4535,8,".91%"
"2020-08-19",5351,"2020-08-31",78,117,2904,5558,12,"1.47%"
"2020-08-20",5539,"2020-08-31",82,117,2921,5558,11,"1.33%"
"2020-08-21",5766,"2020-09-01",82,127,2997,5772,11,"1.62%"
"2020-08-22",5987,"2020-09-03",86,142,3131,6190,12,"1.83%"
"2020-08-23",6233,"2020-09-04",90,148,3406,6612,12,"1.81%"
"2020-08-24",6453,"2020-09-04",90,148,3727,6612,11,"2.01%"
"2020-08-25",6729,"2020-09-05",95,156,4091,6959,11,"2.13%"
"2020-08-26",6895,"2020-09-05",96,156,4535,6959,10,"2.48%"
"2020-08-27",7201,"2020-09-06",96,159,4806,7207,10,"2.62%"
"2020-08-28",7515,"2020-09-08",103,173,4896,7755,11,"2.45%"
"2020-08-29",7848,"2020-09-09",108,179,5113,8001,11,"2.46%"
"2020-08-30",8140,"2020-09-10",113,184,5309,8150,11,"2.5%"
"2020-08-31",8308,"2020-09-11",117,192,5558,8549,11,"2.51%"
"2020-09-01",8541,"2020-09-11",127,192,5772,8549,10,"2.34%"
"2020-09-02",8883,"2020-09-13",134,202,5936,9041,11,"2.19%"
"2020-09-03",9134,"2020-09-14",142,206,6190,9326,11,"2.04%"
"2020-09-04",9484,"2020-09-18",148,224,6612,10486,14,"1.96%"
"2020-09-05",9830,"2020-09-18",156,224,6959,10486,13,"1.93%"
"2020-09-06",10159,"2020-09-18",159,224,7207,10486,12,"1.98%"
"2020-09-07",10309,"2020-09-18",167,224,7484,10486,11,"1.9%"
"2020-09-08",10309,"2020-09-18",173,224,7755,10486,10,"1.87%"
"2020-09-09",10864,"2020-09-20",179,231,8001,10984,11,"1.74%"
"2020-09-10",11413,"2020-09-23",184,250,8150,11670,13,"1.88%"
"2020-09-11",11762,"2020-09-24",192,256,8549,11781,13,"1.98%"
"2020-09-12",11917,"2020-09-25",197,264,8823,12052,13,"2.07%"
"2020-09-13",12216,"2020-09-26",202,272,9041,12238,13,"2.19%"
"2020-09-14",12436,"2020-09-27",207,277,9328,12486,13,"2.22%"
"2020-09-15",12804,"2020-09-29",207,289,9328,12890,14,"2.3%"
"2020-09-16",13097,"2020-09-30",206,293,9326,13219,14,"2.23%"
"2020-09-17",13315,"2020-10-02",206,300,9326,13479,15,"2.26%"
"2020-09-18",13572,"2020-10-03",224,303,10486,14348,15,"2.05%"
"2020-09-19",13678,"2020-10-03",225,303,10631,14348,14,"2.1%"
"2020-09-20",13973,"2020-10-03",231,303,10984,14348,13,"2.14%"
"2020-09-21",14321,"2020-10-03",238,303,11217,14348,12,"2.08%"
"2020-09-22",14555,"2020-10-04",243,307,11389,14656,12,"1.96%"
"2020-09-23",14742,"2020-10-05",250,309,11670,14810,12,"1.88%"
"2020-09-24",14976,"2020-10-06",256,310,11781,15020,12,"1.67%"
"2020-09-25",15159,"2020-10-08",264,312,12052,15380,13,"1.44%"
"2020-09-26",15413,"2020-10-09",272,315,12238,15647,13,"1.26%"
"2020-09-27",15577,"2020-10-09",277,315,12486,15647,12,"1.2%"
"2020-09-28",15758,"2020-10-10",283,317,12701,15931,12,"1.05%"
"2020-09-29",16105,"2020-10-11",289,319,12890,16181,12,".91%"
"2020-09-30",16353,"2020-10-12",293,321,13219,16445,12,".87%"
"2020-10-01",16491,"2020-10-13",297,323,13308,16747,12,".76%"
"2020-10-02",16798,"2020-10-14",300,323,13479,17044,12,".65%"
"2020-10-03",17135,"2020-10-15",303,326,14348,17209,12,".8%"
