"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-21",1268,"2020-07-31",10,23,522,1326,10,"1.62%"
"2020-07-22",1331,"2020-08-01",13,24,621,1392,10,"1.43%"
"2020-07-23",1414,"2020-08-02",13,24,705,1463,10,"1.45%"
"2020-07-24",1502,"2020-08-03",14,25,759,1528,10,"1.43%"
"2020-07-25",1657,"2020-08-06",14,26,814,1679,12,"1.39%"
"2020-07-26",1742,"2020-08-07",16,26,907,1757,12,"1.18%"
"2020-07-27",1774,"2020-08-08",17,26,997,1826,12,"1.09%"
"2020-07-28",1821,"2020-08-08",18,26,1083,1826,11,"1.08%"
"2020-07-29",1896,"2020-08-10",20,26,1191,1901,12,".85%"
"2020-07-30",2016,"2020-08-12",22,26,1243,2044,13,".5%"
"2020-07-31",2108,"2020-08-14",23,27,1326,2205,14,".46%"
"2020-08-01",2159,"2020-08-14",24,27,1392,2205,13,".37%"
"2020-08-02",2185,"2020-08-14",24,27,1463,2205,12,".4%"
"2020-08-03",2216,"2020-08-15",25,28,1528,2248,12,".42%"
"2020-08-04",2273,"2020-08-16",25,30,1528,2360,12,".6%"
"2020-08-05",2398,"2020-08-17",25,31,1606,2400,12,".76%"
"2020-08-06",2475,"2020-08-18",26,32,1679,2514,12,".72%"
"2020-08-07",2595,"2020-08-19",26,33,1757,2645,12,".79%"
"2020-08-08",2712,"2020-08-20",26,36,1826,2764,12,"1.07%"
"2020-08-09",2771,"2020-08-21",26,36,1861,2891,12,".97%"
"2020-08-10",2824,"2020-08-21",26,36,1901,2891,11,"1.01%"
"2020-08-11",2897,"2020-08-22",26,37,1970,2962,11,"1.11%"
"2020-08-12",2981,"2020-08-23",26,38,2044,3026,11,"1.22%"
"2020-08-13",3045,"2020-08-24",26,39,2087,3077,11,"1.31%"
"2020-08-14",3132,"2020-08-25",27,42,2205,3187,11,"1.53%"
"2020-08-15",3207,"2020-08-26",28,43,2248,3226,11,"1.53%"
"2020-08-16",3268,"2020-08-27",30,46,2360,3340,11,"1.63%"
"2020-08-17",3357,"2020-08-28",31,49,2400,3431,11,"1.75%"
"2020-08-18",3437,"2020-08-29",32,50,2514,3482,11,"1.86%"
"2020-08-19",3556,"2020-08-30",33,50,2645,3662,11,"1.67%"
"2020-08-20",3671,"2020-08-31",36,51,2764,3741,11,"1.54%"
"2020-08-21",3762,"2020-09-01",36,52,2891,3810,11,"1.74%"
"2020-08-22",3826,"2020-09-02",37,52,2962,3940,11,"1.53%"
"2020-08-23",3934,"2020-09-02",38,52,3026,3940,10,"1.53%"
"2020-08-24",4025,"2020-09-04",39,54,3077,4120,11,"1.44%"
