"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-12",916268,"2021-03-20",11811,12130,897818,916978,8,"1.66%"
"2021-03-13",917189,"2021-03-24",11812,12159,898811,920388,11,"1.61%"
"2021-03-14",917948,"2021-03-24",11895,12159,899277,920388,10,"1.25%"
"2021-03-15",932842,"2021-04-02",12095,12289,913663,933329,18,".99%"
"2021-03-16",933977,"2021-04-03",12101,12308,914230,935307,18,".98%"
"2021-03-17",935252,"2021-04-03",12105,12308,914713,935307,17,".99%"
"2021-03-18",925882,"2021-03-29",11929,12218,904461,927274,11,"1.27%"
"2021-03-19",938327,"2021-04-05",12123,12355,915941,939270,17,".99%"
"2021-03-20",940125,"2021-04-06",12130,12394,916978,942796,17,"1.02%"
"2021-03-21",928037,"2021-03-30",11859,12239,904219,928557,9,"1.56%"
"2021-03-22",935958,"2021-04-04",12066,12323,911406,937382,13,".99%"
"2021-03-23",938609,"2021-04-05",12030,12355,912700,939270,13,"1.22%"
"2021-03-24",947593,"2021-04-08",12159,12465,920388,948054,15,"1.11%"
"2021-03-25",950116,"2021-04-09",12169,12511,921590,951320,15,"1.15%"
"2021-03-26",952682,"2021-04-10",12182,12547,922810,954706,15,"1.14%"
"2021-03-27",955568,"2021-04-11",12190,12587,923997,957384,15,"1.19%"
"2021-03-28",958650,"2021-04-12",12202,12639,925294,960203,15,"1.25%"
"2021-03-29",961442,"2021-04-13",12218,12706,927274,966349,15,"1.25%"
"2021-03-30",964417,"2021-04-13",12239,12706,928557,966349,14,"1.24%"
"2021-03-31",968642,"2021-04-14",12265,12744,930075,970751,14,"1.18%"
"2021-04-01",972876,"2021-04-15",12283,12810,931692,974408,14,"1.23%"
"2021-04-02",977867,"2021-04-16",12289,12888,933329,978513,14,"1.33%"
"2021-04-03",982240,"2021-04-17",12308,12968,935307,984157,14,"1.35%"
"2021-04-04",986793,"2021-04-18",12323,13049,937382,988841,14,"1.41%"
"2021-04-05",992072,"2021-04-19",12355,13195,939270,996085,14,"1.48%"
"2021-04-06",998222,"2021-04-20",12394,13344,942796,1000805,14,"1.64%"
"2021-04-07",1005198,"2021-04-21",12429,13460,945625,1007333,14,"1.67%"
"2021-04-08",1011768,"2021-04-22",12465,13583,948054,1013080,14,"1.72%"
"2021-04-09",1019723,"2021-04-23",12511,13773,951320,1021967,14,"1.79%"
"2021-04-10",1026678,"2021-04-24",12547,13981,954706,1031233,14,"1.87%"
"2021-04-11",1036928,"2021-04-25",12587,14124,957384,1038358,14,"1.9%"
"2021-04-12",1046507,"2021-04-26",12639,14325,960203,1049222,14,"1.89%"
"2021-04-13",1055285,"2021-04-27",12706,14505,966349,1060195,14,"1.92%"
"2021-04-14",1066550,"2021-04-28",12744,14734,970751,1072257,14,"1.96%"
"2021-04-15",1081288,"2021-04-29",12810,15004,974408,1086669,14,"1.95%"
"2021-04-16",1096147,"2021-04-30",12888,15221,978513,1101770,14,"1.89%"
"2021-04-17",1113636,"2021-05-01",12968,15492,984157,1120382,14,"1.85%"
"2021-04-18",1132703,"2021-05-02",13049,15709,988841,1141747,14,"1.74%"
"2021-04-19",1148488,"2021-05-03",13195,15948,996085,1162887,14,"1.65%"
"2021-04-20",1170282,"2021-05-04",13344,16236,1000805,1187889,14,"1.55%"
"2021-04-21",1193840,"2021-05-05",13460,16582,1007333,1215076,14,"1.5%"
"2021-04-22",1219635,"2021-05-06",13583,16910,1013080,1234347,14,"1.5%"
"2021-04-23",1246597,"2021-05-07",13773,17502,1021967,1263562,14,"1.54%"
"2021-04-24",1276035,"2021-05-08",13981,17984,1031233,1298925,14,"1.5%"
"2021-04-25",1310839,"2021-05-09",14124,18474,1038358,1331211,14,"1.49%"
"2021-04-26",1340583,"2021-05-10",14325,19070,1049222,1363995,14,"1.51%"
"2021-04-27",1372413,"2021-05-11",14505,19550,1060195,1387059,14,"1.54%"
"2021-04-28",1411460,"2021-05-12",14734,20066,1072257,1422327,14,"1.52%"
"2021-04-29",1446484,"2021-05-13",15004,20410,1086669,1456728,14,"1.46%"
"2021-04-30",1494780,"2021-05-15",15221,21132,1101770,1527754,15,"1.39%"
"2021-05-01",1535770,"2021-05-16",15492,21535,1120382,1564632,15,"1.36%"
"2021-05-02",1573503,"2021-05-17",15709,22011,1141747,1599743,15,"1.38%"
"2021-05-03",1617941,"2021-05-18",15948,22536,1162887,1658663,15,"1.33%"
"2021-05-04",1662572,"2021-05-19",16236,23004,1187889,1709082,15,"1.3%"
"2021-05-05",1712684,"2021-05-20",16582,23552,1215076,1761887,15,"1.27%"
"2021-05-06",1761742,"2021-05-20",16910,23552,1234347,1761887,14,"1.26%"
"2021-05-07",1810523,"2021-05-21",17502,23905,1263562,1814821,14,"1.16%"
"2021-05-08",1858086,"2021-05-22",17984,24356,1298925,1877038,14,"1.1%"
"2021-05-09",1906016,"2021-05-23",18474,24980,1331211,1913235,14,"1.12%"
"2021-05-10",1945321,"2021-05-24",19070,25509,1363995,1971097,14,"1.06%"
"2021-05-11",1984831,"2021-05-25",19550,26097,1387059,2009909,14,"1.05%"
"2021-05-12",2024829,"2021-05-26",20066,26627,1422327,2051177,14,"1.04%"
"2021-05-13",2060126,"2021-05-27",20410,27103,1456728,2083112,14,"1.07%"
"2021-05-14",2101905,"2021-05-28",20783,27504,1492980,2135765,14,"1.05%"
"2021-05-15",2143569,"2021-05-29",21132,27996,1527754,2178700,14,"1.05%"
"2021-05-16",2175100,"2021-05-29",21535,27996,1564632,2178700,13,"1.05%"
"2021-05-17",2213703,"2021-05-31",22011,28788,1599743,2252018,14,"1.04%"
"2021-05-18",2244012,"2021-05-31",22536,28788,1658663,2252018,13,"1.05%"
"2021-05-19",2278293,"2021-06-01",23004,29252,1709082,2281753,13,"1.09%"
"2021-05-20",2307162,"2021-06-03",23552,30229,1761887,2327965,14,"1.18%"
"2021-05-21",2339380,"2021-06-04",23905,30593,1814821,2350645,14,"1.25%"
"2021-05-22",2370563,"2021-06-05",24356,30958,1877038,2376356,14,"1.32%"
"2021-05-23",2396542,"2021-06-06",24980,31278,1913235,2402335,14,"1.29%"
"2021-05-24",2421853,"2021-06-07",25509,31618,1971097,2429974,14,"1.33%"
"2021-05-25",2444611,"2021-06-08",26097,31797,2009909,2453602,14,"1.28%"
"2021-05-26",2471422,"2021-06-09",26627,31989,2051177,2474040,14,"1.27%"
"2021-05-27",2495636,"2021-06-11",27103,32342,2083112,2505087,15,"1.24%"
"2021-05-28",2518459,"2021-06-12",27504,32486,2135765,2526845,15,"1.27%"
"2021-05-29",2539087,"2021-06-13",27996,32611,2178700,2545616,15,"1.26%"
"2021-05-30",2559465,"2021-06-14",28377,32731,2207134,2561145,15,"1.23%"
"2021-05-31",2576069,"2021-06-16",28788,32994,2252018,2594106,16,"1.23%"
"2021-06-01",2590373,"2021-06-16",29252,32994,2281753,2594106,15,"1.2%"
"2021-06-02",2606760,"2021-06-18",29715,33300,2303415,2620387,16,"1.13%"
"2021-06-03",2625084,"2021-06-19",30229,33461,2327965,2632380,16,"1.06%"
"2021-06-04",2641152,"2021-06-21",30593,33723,2350645,2649502,17,"1.05%"
"2021-06-05",2654952,"2021-06-22",30958,33862,2376356,2657752,17,"1.03%"
"2021-06-06",2667161,"2021-06-24",31278,34123,2402335,2674236,18,"1.05%"
"2021-06-07",2679119,"2021-06-25",31618,34237,2429974,2680874,18,"1.04%"
"2021-06-08",2688927,"2021-06-27",31797,34441,2453602,2694903,19,"1.1%"
"2021-06-09",2699886,"2021-06-28",31989,34623,2474040,2708717,19,"1.12%"
"2021-06-10",2710928,"2021-06-29",32183,34716,2489955,2723534,19,"1.08%"
"2021-06-11",2719177,"2021-06-29",32342,34716,2505087,2723534,18,"1.09%"
"2021-06-12",2728962,"2021-06-30",32486,34827,2526845,2736408,18,"1.12%"
"2021-06-13",2736772,"2021-07-01",32611,34921,2545616,2750804,18,"1.13%"
"2021-06-14",2743607,"2021-07-01",32731,34921,2561145,2750804,17,"1.15%"
"2021-06-15",2748648,"2021-07-01",32846,34921,2576045,2750804,16,"1.19%"
"2021-06-16",2755993,"2021-07-02",32994,35009,2594106,2765229,16,"1.18%"
"2021-06-17",2761976,"2021-07-02",33132,35009,2604929,2765229,15,"1.17%"
"2021-06-18",2767759,"2021-07-03",33300,35095,2620387,2773066,15,"1.18%"
"2021-06-19",2773574,"2021-07-04",33461,35154,2632380,2777900,15,"1.16%"
"2021-06-20",2778091,"2021-07-05",33581,35221,2640956,2783598,15,"1.15%"
"2021-06-21",2782958,"2021-07-05",33723,35221,2649502,2783598,14,"1.12%"
"2021-06-22",2786667,"2021-07-06",33862,35313,2657752,2788682,14,"1.11%"
"2021-06-23",2791103,"2021-07-07",33985,35388,2664330,2791838,14,"1.1%"
"2021-06-24",2795082,"2021-07-08",34123,35450,2674236,2795242,14,"1.1%"
"2021-06-25",2798392,"2021-07-10",34237,35566,2680874,2801282,15,"1.1%"
"2021-06-26",2802664,"2021-07-11",34352,35622,2687115,2803664,15,"1.09%"
"2021-06-27",2806268,"2021-07-12",34441,35683,2694903,2806929,15,"1.11%"
"2021-06-28",2812448,"2021-07-15",34623,35824,2708717,2815284,17,"1.13%"
"2021-06-29",2815670,"2021-07-16",34716,35831,2723534,2818074,17,"1.18%"
"2021-06-30",2819052,"2021-07-17",34827,35831,2736408,2820165,17,"1.2%"
"2021-07-01",2822255,"2021-07-18",34921,35944,2750804,2823006,17,"1.42%"
"2021-07-02",2825239,"2021-07-19",35009,35984,2765229,2826814,17,"1.58%"
"2021-07-03",2827321,"2021-07-20",35095,36013,2773066,2827502,17,"1.69%"
"2021-07-04",2828885,"2021-07-20",35154,36013,2777900,2829246,16,"1.67%"
"2021-07-05",2831733,"2021-07-21",35221,36049,2783598,2831799,16,"1.72%"
"2021-07-06",2834837,"2021-07-23",35313,36110,2788682,2836675,17,"1.66%"
"2021-07-07",2837580,"2021-07-24",35388,36139,2791838,2838754,17,"1.6%"
"2021-07-08",2840110,"2021-07-25",35450,36161,2795242,2840241,17,"1.58%"
"2021-07-09",2842400,"2021-07-28",35518,36243,2798355,2845729,19,"1.53%"
"2021-07-10",2844562,"2021-07-28",35566,36243,2801282,2845729,18,"1.52%"
"2021-07-11",2846540,"2021-07-29",35622,36278,2803664,2847096,18,"1.51%"
"2021-07-12",2847926,"2021-07-30",35683,36312,2806929,2848761,18,"1.5%"
"2021-07-13",2849839,"2021-07-31",35731,36349,2809466,2850430,18,"1.51%"
"2021-07-14",2824538,"2021-07-19",35570,35984,2784828,2826814,5,".99%"
"2021-07-15",2853806,"2021-08-05",35824,36433,2815284,2855298,21,"1.52%"
"2021-07-16",2855612,"2021-08-05",35866,36492,2818074,2858199,20,"1.56%"
"2021-07-17",2857481,"2021-08-05",35908,36492,2821260,2858199,19,"1.58%"
"2021-07-18",2859189,"2021-08-07",35944,36560,2823759,2861761,20,"1.62%"
