"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-16",29990,"2020-11-26",71,90,25674,30021,10,".44%"
"2020-11-17",30419,"2020-11-28",72,95,26176,30740,11,".5%"
"2020-11-18",30792,"2020-11-29",76,100,26956,30960,11,".6%"
"2020-11-19",31134,"2020-12-01",78,105,27360,31520,12,".65%"
"2020-11-20",31557,"2020-12-26",79,107,27662,31935,36,".66%"
"2020-11-21",31980,"2020-12-27",80,109,27934,32176,36,".68%"
"2020-11-22",32758,"2020-12-29",81,111,28734,33060,37,".69%"
"2020-11-23",33037,"2020-12-29",84,111,28912,33060,36,".65%"
"2020-11-24",33498,"2020-12-30",86,115,29377,33581,36,".69%"
"2020-11-25",33948,"2020-12-31",89,115,29816,33965,36,".63%"
"2020-11-26",34373,"2021-01-01",90,118,30021,34448,36,".63%"
"2020-11-27",34719,"2021-01-02",94,118,30227,35341,36,".47%"
"2020-11-28",35348,"2021-01-03",95,121,30740,35843,36,".51%"
"2020-11-29",35747,"2021-01-03",100,121,30960,35843,35,".43%"
"2020-11-30",35990,"2021-01-04",103,121,31119,36643,35,".33%"
"2020-12-01",36575,"2021-01-04",105,121,31520,36643,34,".31%"
"2020-12-26",36825,"2021-01-05",107,123,31935,37352,10,".3%"
"2020-12-27",37334,"2021-01-05",109,123,32176,37352,9,".27%"
"2020-12-28",37575,"2021-01-06",109,123,32477,38088,9,".25%"
"2020-12-29",38352,"2021-01-07",111,123,33060,38437,9,".22%"
"2020-12-30",38894,"2021-01-08",115,126,33581,38985,9,".2%"
"2020-12-31",39375,"2021-01-09",115,128,33965,39907,9,".22%"
"2021-01-01",39852,"2021-01-09",118,128,34448,39907,8,".18%"
"2021-01-02",40392,"2021-01-11",118,131,35341,40573,9,".25%"
"2021-01-03",40800,"2021-01-12",121,132,35843,41424,9,".2%"
"2021-01-04",41063,"2021-01-12",121,132,36643,41424,8,".23%"
"2021-01-05",41778,"2021-01-13",123,133,37352,41973,8,".22%"
"2021-01-06",42333,"2021-01-14",123,134,38088,42403,8,".25%"
"2021-01-07",42848,"2021-01-15",123,135,38437,42978,8,".26%"
"2021-01-08",43310,"2021-01-16",126,137,38985,43566,8,".24%"
"2021-01-09",43884,"2021-01-17",128,138,39907,43934,8,".25%"
"2021-01-10",44229,"2021-01-20",131,140,40380,44485,10,".22%"
"2021-01-11",44550,"2021-01-21",131,141,40573,45183,10,".22%"
"2021-01-12",45259,"2021-01-22",132,142,41424,46084,10,".21%"
"2021-01-13",45848,"2021-01-22",133,142,41973,46084,9,".22%"
"2021-01-14",46307,"2021-01-23",134,142,42403,46487,9,".2%"
"2021-01-15",46874,"2021-01-25",135,143,42978,47247,10,".19%"
"2021-01-16",47426,"2021-01-26",137,143,43566,47811,10,".14%"
"2021-01-17",47825,"2021-01-27",138,143,43934,48099,10,".12%"
"2021-01-18",48133,"2021-01-28",139,144,44044,48582,10,".11%"
"2021-01-19",48807,"2021-01-29",139,148,44170,49225,10,".18%"
"2021-01-20",49511,"2021-01-30",140,148,44485,50640,10,".13%"
"2021-01-21",50158,"2021-01-30",141,148,45183,50640,9,".13%"
"2021-01-22",50739,"2021-01-31",142,148,46084,51064,9,".12%"
"2021-01-23",51441,"2021-02-01",142,148,46487,51745,9,".11%"
"2021-01-24",52063,"2021-02-02",143,148,46808,52241,9,".09%"
"2021-01-25",52374,"2021-02-03",143,149,47247,52583,9,".11%"
"2021-01-26",53012,"2021-02-04",143,149,47811,53412,9,".11%"
"2021-01-27",53529,"2021-02-05",143,151,48099,53880,9,".14%"
"2021-01-28",54051,"2021-02-06",144,152,48582,54931,9,".13%"
"2021-01-29",54674,"2021-02-06",148,152,49225,54931,8,".07%"
"2021-01-30",55161,"2021-02-07",148,152,50640,55640,8,".08%"
"2021-01-31",55672,"2021-02-08",148,152,51064,56101,8,".08%"
"2021-02-01",55974,"2021-02-08",148,152,51745,56101,7,".09%"
"2021-02-02",56595,"2021-02-09",148,152,52241,57295,7,".08%"
