"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-08-17",5310,"2020-08-27",12,20,2937,5317,10,".34%"
"2020-08-18",5552,"2020-08-28",12,22,3131,5664,10,".39%"
"2020-08-19",5874,"2020-08-29",12,23,3394,6037,10,".42%"
"2020-08-20",6230,"2020-08-30",12,23,3502,6365,10,".38%"
"2020-08-21",6565,"2020-08-31",16,23,3825,6618,10,".25%"
"2020-08-22",6960,"2020-09-02",17,23,4066,7221,11,".19%"
"2020-08-23",7146,"2020-09-02",17,23,4166,7221,10,".2%"
"2020-08-24",7315,"2020-09-03",18,23,4283,7431,10,".16%"
"2020-08-25",7769,"2020-09-04",20,25,4525,8060,10,".14%"
"2020-08-26",8121,"2020-09-05",20,25,4779,8398,10,".14%"
"2020-08-27",8351,"2020-09-05",20,25,5317,8398,9,".16%"
"2020-08-28",8649,"2020-09-07",22,25,5664,8802,10,".1%"
"2020-08-29",9028,"2020-09-09",23,25,6037,9111,11,".07%"
"2020-08-30",9223,"2020-09-10",23,32,6365,9237,11,".31%"
"2020-08-31",9400,"2020-09-12",23,34,6618,9551,12,".38%"
"2020-09-01",9591,"2020-09-13",23,34,6904,9753,12,".39%"
"2020-09-02",9737,"2020-09-13",23,34,7221,9753,11,".43%"
"2020-09-03",9828,"2020-09-14",23,37,7431,10017,11,".54%"
"2020-09-04",10006,"2020-09-14",25,37,8060,10017,10,".61%"
"2020-09-05",10255,"2020-09-15",25,38,8398,10321,10,".68%"
"2020-09-06",10579,"2020-09-16",25,40,8600,10580,10,".76%"
"2020-09-07",10766,"2020-09-17",25,41,8802,10795,10,".8%"
"2020-09-08",11124,"2020-09-19",25,44,8961,11389,11,".78%"
"2020-09-09",11325,"2020-09-19",25,44,9111,11389,10,".83%"
"2020-09-10",11655,"2020-09-20",32,47,9237,11780,10,".59%"
"2020-09-11",12045,"2020-09-21",33,55,9349,12274,10,".75%"
"2020-09-12",12355,"2020-09-22",34,57,9551,12744,10,".72%"
"2020-09-13",12733,"2020-09-22",34,57,9753,12744,9,".77%"
"2020-09-14",13215,"2020-09-24",37,59,10017,13631,10,".61%"
"2020-09-15",13563,"2020-09-24",38,59,10321,13631,9,".63%"
"2020-09-16",13861,"2020-09-25",40,60,10580,14220,9,".55%"
"2020-09-17",14212,"2020-09-25",41,60,10795,14220,8,".55%"
