"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-09",499,"2020-07-25",5,11,185,683,16,"1.2%"
"2020-07-10",628,"2020-07-25",5,11,190,683,15,"1.22%"
"2020-07-11",697,"2020-07-26",6,11,197,734,15,".93%"
"2020-07-12",737,"2020-07-27",6,11,199,799,15,".83%"
"2020-07-13",800,"2020-07-28",6,12,203,970,15,".78%"
"2020-07-14",1001,"2020-07-29",6,12,219,1096,15,".68%"
"2020-07-15",1158,"2020-07-30",6,12,229,1316,15,".55%"
"2020-07-16",1497,"2020-08-01",6,13,230,1599,16,".51%"
"2020-07-17",1743,"2020-08-03",6,15,239,1920,17,".54%"
"2020-07-18",1916,"2020-08-03",8,15,247,1920,16,".42%"
"2020-07-19",2138,"2020-08-04",8,16,270,2231,16,".41%"
"2020-07-20",2320,"2020-08-05",8,16,271,2759,16,".32%"
"2020-07-21",2471,"2020-08-05",9,16,282,2759,15,".28%"
"2020-07-22",2697,"2020-08-05",9,16,291,2759,14,".28%"
"2020-07-23",2919,"2020-08-07",10,18,352,3048,15,".3%"
"2020-07-24",3086,"2020-08-08",11,18,454,3825,15,".21%"
"2020-07-25",3326,"2020-08-08",11,18,683,3825,14,".22%"
"2020-07-26",3501,"2020-08-08",11,18,734,3825,13,".23%"
"2020-07-27",3662,"2020-08-08",11,18,799,3825,12,".23%"
"2020-07-28",3884,"2020-08-09",12,18,970,3926,12,".2%"
"2020-07-29",4097,"2020-08-10",12,19,1096,4107,12,".23%"
"2020-07-30",4167,"2020-08-11",12,22,1316,4608,12,".3%"
"2020-07-31",4487,"2020-08-11",12,22,1430,4608,11,".31%"
"2020-08-01",4746,"2020-08-12",13,23,1599,4789,11,".31%"
"2020-08-02",5123,"2020-08-14",14,30,1666,5192,12,".45%"
"2020-08-03",5328,"2020-08-15",15,33,1920,5365,12,".52%"
"2020-08-04",5570,"2020-08-17",16,37,2231,5829,13,".58%"
"2020-08-05",5844,"2020-08-18",16,39,2759,6141,13,".68%"
"2020-08-06",6063,"2020-08-18",17,39,2897,6141,12,".68%"
"2020-08-07",6352,"2020-08-19",18,41,3048,6367,12,".69%"
"2020-08-08",6837,"2020-08-21",18,49,3825,6863,13,"1.02%"
"2020-08-09",7129,"2020-08-22",18,58,3926,7162,13,"1.24%"
"2020-08-10",7329,"2020-08-24",19,63,4107,7462,14,"1.31%"
"2020-08-11",7626,"2020-08-25",22,65,4608,7767,14,"1.36%"
"2020-08-12",7892,"2020-08-26",23,77,4789,7980,14,"1.69%"
"2020-08-13",8326,"2020-08-27",24,81,4987,8607,14,"1.57%"
"2020-08-14",8636,"2020-08-28",30,85,5192,9155,14,"1.39%"
"2020-08-15",8957,"2020-08-28",33,85,5365,9155,13,"1.37%"
"2020-08-16",9476,"2020-08-29",34,85,5556,9746,13,"1.22%"
"2020-08-17",9937,"2020-08-31",37,91,5829,10287,14,"1.21%"
"2020-08-18",10426,"2020-09-01",39,92,6141,10682,14,"1.17%"
"2020-08-19",10966,"2020-09-02",41,95,6367,11087,14,"1.14%"
"2020-08-20",11395,"2020-09-03",49,102,6605,11437,14,"1.1%"
"2020-08-21",11824,"2020-09-04",49,105,6863,11866,14,"1.12%"
"2020-08-22",12288,"2020-09-05",58,109,7162,12382,14,".98%"
"2020-08-23",12685,"2020-09-06",60,113,7289,13004,14,".93%"
"2020-08-24",12867,"2020-09-06",63,113,7462,13004,13,".9%"
"2020-08-25",13258,"2020-09-07",65,119,7767,13624,13,".92%"
"2020-08-26",13719,"2020-09-08",77,123,7980,14017,13,".76%"
"2020-08-27",14071,"2020-09-09",81,129,8607,14636,13,".8%"
"2020-08-28",14603,"2020-09-09",85,129,9155,14636,12,".8%"
"2020-08-29",15011,"2020-09-10",85,131,9746,15121,12,".86%"
"2020-08-30",15321,"2020-09-11",87,134,9909,15432,12,".85%"
"2020-08-31",15542,"2020-09-12",91,140,10287,15831,12,".88%"
"2020-09-01",15769,"2020-09-12",92,140,10682,15831,11,".93%"
"2020-09-02",15997,"2020-09-13",95,148,11087,16130,11,"1.05%"
"2020-09-03",16314,"2020-09-14",102,151,11437,16548,11,".96%"
"2020-09-04",16791,"2020-09-15",105,156,11866,16821,11,"1.03%"
"2020-09-05",17381,"2020-09-17",109,160,12382,17790,12,".94%"
"2020-09-06",17909,"2020-09-18",113,164,13004,18282,12,".97%"
"2020-09-07",18162,"2020-09-18",119,164,13624,18282,11,".97%"
"2020-09-08",18724,"2020-09-19",123,169,14017,18851,11,".95%"
"2020-09-09",19255,"2020-09-20",129,171,14636,19331,11,".89%"
"2020-09-10",19813,"2020-09-21",131,175,15121,19854,11,".93%"
"2020-09-11",20307,"2020-09-22",134,186,15432,20334,11,"1.06%"
"2020-09-12",20873,"2020-09-24",140,200,15831,20965,12,"1.17%"
"2020-09-13",21285,"2020-09-25",148,205,16130,21381,12,"1.09%"
"2020-09-14",21617,"2020-09-26",151,207,16548,21756,12,"1.08%"
"2020-09-15",22273,"2020-09-28",156,210,16821,22699,13,".92%"
"2020-09-16",22948,"2020-09-29",157,213,17240,23135,13,".95%"
"2020-09-17",23768,"2020-10-01",160,229,17790,23893,14,"1.13%"
"2020-09-18",24694,"2020-10-03",164,241,18282,25168,15,"1.12%"
"2020-09-19",25518,"2020-10-04",169,249,18851,26056,15,"1.11%"
"2020-09-20",26410,"2020-10-05",171,251,19331,26968,15,"1.05%"
"2020-09-21",26943,"2020-10-05",175,251,19854,26968,14,"1.07%"
