"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-13",6771,"2020-09-25",26,43,4631,6950,12,".73%"
"2020-09-14",6932,"2020-09-25",26,43,4771,6950,11,".78%"
"2020-09-15",7120,"2020-09-26",29,45,4894,7192,11,".7%"
"2020-09-16",7383,"2020-09-27",29,45,5114,7407,11,".7%"
"2020-09-17",7679,"2020-09-29",31,48,5256,7886,12,".65%"
"2020-09-18",8005,"2020-09-30",32,48,5399,8041,12,".61%"
"2020-09-19",8356,"2020-10-02",36,54,5594,8607,13,".6%"
"2020-09-20",8678,"2020-10-03",38,55,5806,9028,13,".53%"
"2020-09-21",8861,"2020-10-03",38,55,5946,9028,12,".55%"
"2020-09-22",9230,"2020-10-04",39,55,6187,9288,12,".52%"
"2020-09-23",9708,"2020-10-06",39,58,6367,9956,13,".53%"
"2020-09-24",10182,"2020-10-07",40,58,6695,10276,13,".5%"
"2020-09-25",10789,"2020-10-09",43,59,6950,11597,14,".34%"
"2020-09-26",11383,"2020-10-09",45,59,7192,11597,13,".32%"
"2020-09-27",11956,"2020-10-10",45,59,7407,12107,13,".3%"
"2020-09-28",12339,"2020-10-11",45,62,7647,12690,13,".34%"
"2020-09-29",12823,"2020-10-12",48,62,7886,13780,13,".24%"
"2020-09-30",13631,"2020-10-12",48,62,8041,13780,12,".24%"
"2020-10-01",14244,"2020-10-13",54,62,8337,14430,12,".13%"
"2020-10-02",15056,"2020-10-14",54,62,8607,15061,12,".12%"
"2020-10-03",15834,"2020-10-16",55,68,9028,16448,13,".18%"
"2020-10-04",16627,"2020-10-17",55,71,9288,17678,13,".19%"
"2020-10-05",17052,"2020-10-17",58,71,9576,17678,12,".16%"
"2020-10-06",17809,"2020-10-18",58,73,9956,18686,12,".17%"
"2020-10-07",18757,"2020-10-19",58,75,10276,19949,12,".18%"
"2020-10-08",19142,"2020-10-19",58,75,10736,19949,11,".18%"
"2020-10-09",19897,"2020-10-19",59,75,11597,19949,10,".19%"
"2020-10-10",21105,"2020-10-22",59,88,12107,22095,12,".29%"
"2020-10-11",22065,"2020-10-22",62,88,12690,22095,11,".28%"
"2020-10-12",22762,"2020-10-23",62,89,13780,23035,11,".29%"
"2020-10-13",23772,"2020-10-25",62,92,14430,24002,12,".31%"
"2020-10-14",24353,"2020-10-26",62,96,15061,24729,12,".35%"
"2020-10-15",25220,"2020-10-27",63,102,15612,25838,12,".38%"
"2020-10-16",26029,"2020-10-28",68,112,16448,26764,12,".43%"
"2020-10-17",27138,"2020-10-29",71,114,17678,27803,12,".42%"
"2020-10-18",28000,"2020-10-30",73,117,18686,28584,12,".44%"
"2020-10-19",28533,"2020-10-30",75,117,19949,28584,11,".49%"
"2020-10-20",29429,"2020-11-01",80,125,20714,30223,12,".47%"
"2020-10-21",30375,"2020-11-02",86,127,20923,31192,12,".4%"
"2020-10-22",31222,"2020-11-03",88,131,22095,32117,12,".43%"
"2020-10-23",32242,"2020-11-04",89,138,23035,33060,12,".49%"
"2020-10-24",33328,"2020-11-05",92,140,23519,34094,12,".45%"
"2020-10-25",34339,"2020-11-06",92,144,24002,35140,12,".47%"
"2020-10-26",34819,"2020-11-06",96,144,24729,35140,11,".46%"
"2020-10-27",35549,"2020-11-07",102,147,25838,35566,11,".46%"
"2020-10-28",36567,"2020-11-09",112,156,26764,37313,12,".42%"
"2020-10-29",37550,"2020-11-10",114,159,27803,38404,12,".42%"
"2020-10-30",38646,"2020-11-11",117,161,28584,39349,12,".41%"
"2020-10-31",39758,"2020-11-12",123,164,29172,40414,12,".36%"
"2020-11-01",40701,"2020-11-13",125,167,30223,41283,12,".38%"
"2020-11-02",41134,"2020-11-13",127,167,31192,41283,11,".4%"
"2020-11-03",41990,"2020-11-15",131,176,32117,42615,12,".43%"
"2020-11-04",43104,"2020-11-16",138,176,33060,43262,12,".37%"
"2020-11-05",44004,"2020-11-18",140,186,34094,44788,13,".43%"
"2020-11-06",44955,"2020-11-19",144,190,35140,45628,13,".44%"
"2020-11-07",45819,"2020-11-20",147,197,35566,46438,13,".46%"
"2020-11-08",46460,"2020-11-21",156,198,36409,47119,13,".39%"
"2020-11-09",46890,"2020-11-21",156,198,37313,47119,12,".43%"
"2020-11-10",47601,"2020-11-22",159,205,38404,48223,12,".47%"
"2020-11-11",48567,"2020-11-23",161,209,39349,48901,12,".5%"
"2020-11-12",49294,"2020-11-24",164,212,40414,49828,12,".51%"
"2020-11-13",49971,"2020-11-25",167,216,41283,50463,12,".53%"
"2020-11-14",50730,"2020-11-26",172,222,41719,51058,12,".54%"
"2020-11-15",51155,"2020-11-27",176,227,42615,51889,12,".55%"
"2020-11-16",51383,"2020-11-27",176,227,43262,51889,11,".59%"
"2020-11-17",52050,"2020-11-28",179,232,43988,52299,11,".64%"
"2020-11-18",52753,"2020-11-30",186,244,44788,53263,12,".68%"
"2020-11-19",53384,"2020-12-01",190,248,45628,53950,12,".7%"
"2020-11-20",54037,"2020-12-26",197,248,46438,54341,36,".65%"
"2020-11-21",54520,"2020-12-27",198,249,47119,54599,36,".68%"
"2020-11-22",55546,"2020-12-29",205,256,48223,55886,37,".67%"
"2020-11-23",55824,"2020-12-29",209,256,48901,55886,36,".67%"
"2020-11-24",56380,"2020-12-31",212,262,49828,56933,37,".7%"
"2020-11-25",57032,"2021-01-01",216,262,50463,57570,37,".65%"
"2020-11-26",57605,"2021-01-02",222,266,51058,57992,37,".63%"
"2020-11-27",58130,"2021-01-03",227,270,51889,58273,37,".67%"
"2020-11-28",58777,"2021-01-04",232,272,52299,58952,37,".6%"
"2020-11-29",59302,"2021-01-05",238,273,52598,59473,37,".51%"
"2020-11-30",59552,"2021-01-06",244,274,53263,60016,37,".44%"
"2020-12-01",60182,"2021-01-07",248,276,53950,60413,37,".43%"
"2020-12-26",60559,"2021-01-08",248,280,54341,60783,13,".5%"
"2020-12-27",60943,"2021-01-09",249,280,54599,61186,13,".47%"
"2020-12-28",61237,"2021-01-10",249,282,55275,61491,13,".53%"
"2020-12-29",61886,"2021-01-11",256,284,55886,62056,13,".45%"
"2020-12-30",62336,"2021-01-12",257,286,56338,62490,13,".47%"
"2020-12-31",62851,"2021-01-13",262,289,56933,63011,13,".44%"
"2021-01-01",63287,"2021-01-14",262,289,57570,63413,13,".46%"
"2021-01-02",63701,"2021-01-15",266,291,57992,63841,13,".43%"
"2021-01-03",64029,"2021-01-16",270,292,58273,64209,13,".37%"
"2021-01-04",64310,"2021-01-17",272,294,58952,64644,13,".39%"
"2021-01-05",64926,"2021-01-18",273,295,59473,65250,13,".38%"
"2021-01-06",65428,"2021-01-19",274,300,60016,65584,13,".47%"
"2021-01-07",65860,"2021-01-20",276,300,60413,66026,13,".43%"
"2021-01-08",66360,"2021-01-21",280,304,60783,66432,13,".42%"
"2021-01-09",66763,"2021-01-22",280,306,61186,66897,13,".46%"
"2021-01-10",67098,"2021-01-23",282,308,61491,67311,13,".45%"
"2021-01-11",67266,"2021-01-23",284,308,62056,67311,12,".46%"
"2021-01-12",67745,"2021-01-25",286,312,62490,67920,13,".48%"
"2021-01-13",68182,"2021-01-26",289,314,63011,68407,13,".46%"
