"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-04",18365,"2020-10-14",392,423,16134,19456,10,".93%"
"2020-10-05",18519,"2020-10-14",397,423,16344,19456,9,".84%"
"2020-10-06",18689,"2020-10-14",400,423,16594,19456,8,".8%"
"2020-10-07",18931,"2020-10-14",404,423,16826,19456,7,".72%"
"2020-10-08",19150,"2020-10-14",407,423,17060,19456,6,".67%"
"2020-10-09",19338,"2020-10-14",410,423,17264,19456,5,".59%"
"2020-10-10",19572,"2020-10-15",413,428,17473,19649,5,".69%"
"2020-10-11",19828,"2020-10-16",416,431,17708,19878,5,".69%"
"2020-10-12",20031,"2020-10-17",417,434,17932,20101,5,".78%"
"2020-10-13",20244,"2020-10-18",420,438,18146,20321,5,".83%"
"2020-10-14",21533,"2020-10-24",423,456,19456,21606,10,"1.53%"
"2020-10-15",21714,"2020-10-25",428,459,19649,21817,10,"1.43%"
"2020-10-16",21936,"2020-10-26",431,459,19878,22026,10,"1.3%"
"2020-10-17",22167,"2020-10-27",434,460,20101,22241,10,"1.21%"
"2020-10-18",22370,"2020-10-28",438,461,20321,22408,10,"1.1%"
"2020-10-19",22560,"2020-10-29",441,464,20533,22618,10,"1.1%"
"2020-10-20",22718,"2020-10-30",446,466,20749,22823,10,".96%"
"2020-10-21",22941,"2020-10-31",450,470,20965,22971,10,"1.%"
"2020-10-22",23124,"2020-11-01",452,471,21184,23175,10,".95%"
"2020-10-23",23299,"2020-11-02",453,472,21387,23374,10,".96%"
"2020-10-24",23490,"2020-11-03",456,473,21606,23572,10,".86%"
"2020-10-25",23703,"2020-11-04",459,474,21817,23755,10,".77%"
"2020-10-26",23870,"2020-11-05",459,475,22026,23921,10,".84%"
"2020-10-27",23956,"2020-11-06",460,477,22241,24077,10,".93%"
"2020-10-28",24107,"2020-11-07",461,478,22408,24206,10,".95%"
"2020-10-29",24312,"2020-11-08",464,479,22618,24383,10,".85%"
"2020-10-30",24492,"2020-11-09",466,481,22823,24524,10,".88%"
"2020-10-31",24626,"2020-11-10",470,482,22971,24697,10,".7%"
"2020-11-01",24846,"2020-11-11",471,484,23175,24870,10,".77%"
"2020-11-02",25034,"2020-11-13",472,486,23374,25178,11,".78%"
"2020-11-03",25182,"2020-11-14",473,487,23572,25385,11,".77%"
"2020-11-04",25361,"2020-11-14",474,487,23755,25385,10,".8%"
"2020-11-05",25541,"2020-11-15",475,488,23921,25558,10,".79%"
"2020-11-06",25720,"2020-11-17",477,490,24077,25930,11,".7%"
"2020-11-07",25893,"2020-11-17",478,490,24206,25930,10,".7%"
"2020-11-08",26108,"2020-11-18",479,491,24383,26149,10,".68%"
"2020-11-09",26381,"2020-11-20",481,493,24524,26566,11,".59%"
"2020-11-10",26589,"2020-11-21",482,494,24697,26788,11,".57%"
"2020-11-11",26765,"2020-11-21",484,494,24870,26788,10,".52%"
"2020-11-12",26950,"2020-11-22",485,495,25031,27010,10,".51%"
"2020-11-13",27127,"2020-11-23",486,496,25178,27247,10,".48%"
"2020-11-14",27306,"2020-11-24",487,498,25385,27451,10,".53%"
"2020-11-15",27543,"2020-11-25",488,500,25558,27706,10,".56%"
"2020-11-16",27684,"2020-11-25",489,500,25712,27706,9,".55%"
"2020-11-17",27891,"2020-11-26",490,501,25930,27936,9,".55%"
"2020-11-18",28129,"2020-11-27",491,503,26149,28190,9,".59%"
"2020-11-19",28360,"2020-11-28",492,505,26362,28455,9,".62%"
"2020-11-20",28738,"2020-11-30",493,508,26566,28949,10,".63%"
"2020-11-21",29051,"2020-12-01",494,510,26788,29208,10,".66%"
"2020-11-22",29352,"2020-12-26",495,512,27010,29416,34,".71%"
"2020-11-23",29701,"2020-12-28",496,516,27247,29809,35,".78%"
"2020-11-24",30025,"2020-12-30",498,520,27451,30197,36,".8%"
"2020-11-25",30332,"2020-12-31",500,522,27706,30353,36,".83%"
"2020-11-26",30664,"2021-01-02",501,526,27936,30671,37,".91%"
"2020-11-27",30977,"2021-01-05",503,530,28190,31110,39,".92%"
"2020-11-28",31333,"2021-01-07",505,532,28455,31418,40,".91%"
"2020-11-29",31672,"2021-01-09",507,534,28705,31800,41,".87%"
"2020-11-30",31974,"2021-01-10",508,535,28949,31974,41,".89%"
"2020-12-01",32243,"2021-01-13",510,538,29208,32287,43,".91%"
"2020-12-26",32483,"2021-01-16",512,541,29416,32533,21,".93%"
"2020-12-27",32677,"2021-01-18",514,543,29627,32781,22,".92%"
"2020-12-28",32844,"2021-01-19",516,544,29809,32933,22,".9%"
"2020-12-29",32969,"2021-01-20",518,545,30002,33394,22,".8%"
"2020-12-30",33171,"2021-01-20",520,545,30197,33394,21,".78%"
"2020-12-31",33329,"2021-01-20",522,545,30353,33394,20,".76%"
"2021-01-01",33476,"2021-01-21",524,546,30506,33737,20,".68%"
"2021-01-02",33649,"2021-01-21",526,546,30671,33737,19,".65%"
"2021-01-03",33776,"2021-01-22",528,547,30847,33906,19,".62%"
"2021-01-04",33951,"2021-01-23",529,548,30971,34041,19,".62%"
"2021-01-05",34081,"2021-01-24",530,549,31110,34163,19,".62%"
"2021-01-06",34233,"2021-01-25",531,550,31244,34306,19,".62%"
"2021-01-07",34446,"2021-01-27",532,552,31418,34537,20,".64%"
"2021-01-08",34614,"2021-01-28",533,553,31610,34625,20,".66%"
"2021-01-09",34763,"2021-01-31",534,556,31800,34807,22,".73%"
"2021-01-10",34932,"2021-02-03",535,557,31974,34980,24,".73%"
"2021-01-11",35063,"2021-02-04",536,558,32102,35089,24,".74%"
"2021-01-12",35160,"2021-02-05",537,559,32205,35202,24,".73%"
