"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-15",1,"2020-07-22",,1,,58,68,"-"
"2020-05-20",5,"2020-07-22",,1,,58,63,"-"
"2020-05-21",6,"2020-07-22",,1,,58,62,"-"
"2020-05-24",8,"2020-07-22",,1,,58,59,"-"
"2020-05-26",10,"2020-07-22",,1,,58,57,"-"
"2020-05-27",16,"2020-07-22",,1,,58,56,"-"
"2020-05-30",19,"2020-07-22",,1,,58,53,"-"
"2020-05-31",24,"2020-07-22",,1,,58,52,"-"
"2020-06-01",25,"2020-07-22",,1,,58,51,"-"
"2020-06-02",26,"2020-07-22",,1,,58,50,"-"
"2020-06-03",26,"2020-07-22",,1,,58,49,"-"
"2020-06-07",26,"2020-07-22",,1,,58,45,"-"
"2020-06-09",26,"2020-07-22",,1,,58,43,"-"
"2020-06-10",27,"2020-07-22",,1,,58,42,"-"
"2020-06-13",27,"2020-07-22",,1,,58,39,"-"
"2020-06-14",29,"2020-07-22",,1,,58,38,"-"
"2020-06-21",30,"2020-07-22",,1,,58,31,"-"
"2020-06-24",31,"2020-07-22",,1,,58,28,"-"
"2020-06-25",32,"2020-07-22",,1,,58,27,"-"
"2020-06-26",33,"2020-07-22",,1,,58,26,"-"
"2020-06-27",34,"2020-07-22",,1,,58,25,"-"
"2020-06-28",36,"2020-07-22",,1,,58,24,"-"
"2020-06-29",38,"2020-07-22",,1,,58,23,"-"
"2020-06-30",40,"2020-07-22",,1,,58,22,"-"
"2020-07-01",42,"2020-07-22",,1,,58,21,"-"
"2020-07-02",45,"2020-07-22",,1,,58,20,"-"
"2020-07-03",46,"2020-07-22",,1,,58,19,"-"
"2020-07-04",48,"2020-07-22",,1,,58,18,"-"
"2020-07-05",52,"2020-07-22",,1,,58,17,"-"
"2020-07-07",53,"2020-07-22",,1,,58,15,"-"
"2020-07-08",53,"2020-07-22",,1,,58,14,"-"
"2020-07-09",54,"2020-07-22",,1,,58,13,"-"
"2020-07-11",55,"2020-07-22",,1,,58,11,"-"
"2020-07-12",57,"2020-07-22",,1,,58,10,"-"
"2020-07-13",62,"2020-07-23",,1,,68,10,"-"
"2020-07-14",68,"2020-07-23",,1,,68,9,"-"
"2020-07-15",69,"2020-07-24",,1,,69,9,"-"
"2020-07-16",70,"2020-07-25",,1,,70,9,"-"
"2020-07-17",72,"2020-07-28",,1,,76,11,"-"
"2020-07-18",72,"2020-07-28",,1,,76,10,"-"
"2020-07-20",75,"2020-07-28",,1,,76,8,"-"
"2020-07-21",85,"2020-07-31",,1,,92,10,"-"
"2020-07-22",94,"2020-08-01",1,1,58,98,10,"0.%"
"2020-07-23",102,"2020-08-02",1,1,68,110,10,"0.%"
"2020-07-24",115,"2020-08-03",1,2,69,121,10,"1.92%"
"2020-07-25",119,"2020-08-03",1,2,70,121,9,"1.96%"
"2020-07-26",123,"2020-08-04",1,3,70,132,9,"3.23%"
"2020-07-27",154,"2020-08-07",1,4,71,167,11,"3.12%"
"2020-07-28",156,"2020-08-07",1,4,76,167,10,"3.3%"
"2020-07-29",182,"2020-08-09",1,5,76,183,11,"3.74%"
"2020-07-30",188,"2020-08-10",1,5,82,192,11,"3.64%"
"2020-07-31",193,"2020-08-11",1,5,92,206,11,"3.51%"
"2020-08-01",203,"2020-08-11",1,5,98,206,10,"3.7%"
"2020-08-02",209,"2020-08-12",1,5,110,215,10,"3.81%"
"2020-08-03",228,"2020-08-13",2,5,121,233,10,"2.68%"
"2020-08-04",234,"2020-08-14",3,7,132,236,10,"3.85%"
"2020-08-05",252,"2020-08-15",4,7,135,257,10,"2.46%"
"2020-08-06",274,"2020-08-18",4,8,150,303,12,"2.61%"
"2020-08-07",275,"2020-08-18",4,8,167,303,11,"2.94%"
"2020-08-08",285,"2020-08-18",4,8,181,303,10,"3.28%"
"2020-08-09",317,"2020-08-19",5,8,183,343,10,"1.88%"
"2020-08-10",340,"2020-08-19",5,8,192,343,9,"1.99%"
"2020-08-11",367,"2020-08-21",5,8,206,375,10,"1.78%"
"2020-08-12",376,"2020-08-22",5,9,215,381,10,"2.41%"
"2020-08-13",390,"2020-08-24",5,10,233,392,11,"3.14%"
"2020-08-14",397,"2020-08-25",7,10,236,414,11,"1.69%"
"2020-08-15",406,"2020-08-25",7,10,257,414,10,"1.91%"
"2020-08-16",415,"2020-08-26",7,12,271,423,10,"3.29%"
"2020-08-17",426,"2020-08-27",8,12,272,426,10,"2.6%"
"2020-08-18",451,"2020-08-29",8,13,303,462,11,"3.14%"
"2020-08-19",466,"2020-08-30",8,14,343,478,11,"4.44%"
"2020-08-20",483,"2020-08-31",8,14,348,496,11,"4.05%"
"2020-08-21",498,"2020-09-01",8,16,375,505,11,"6.15%"
"2020-08-22",512,"2020-09-02",9,19,381,514,11,"7.52%"
"2020-08-23",526,"2020-09-04",9,19,387,535,12,"6.76%"
"2020-08-24",538,"2020-09-05",10,19,392,557,12,"5.45%"
"2020-08-25",549,"2020-09-05",10,19,414,557,11,"6.29%"
"2020-08-26",561,"2020-09-06",12,19,423,581,11,"4.43%"
"2020-08-27",584,"2020-09-07",12,19,426,593,11,"4.19%"
"2020-08-28",591,"2020-09-07",12,19,445,593,10,"4.73%"
"2020-08-29",604,"2020-09-08",13,19,462,606,10,"4.17%"
"2020-08-30",618,"2020-09-10",14,19,478,633,11,"3.23%"
"2020-08-31",627,"2020-09-10",14,19,496,633,10,"3.65%"
"2020-09-01",647,"2020-09-11",16,20,505,655,10,"2.67%"
"2020-09-02",685,"2020-09-13",19,20,514,687,11,".58%"
"2020-09-03",710,"2020-09-14",19,20,522,712,11,".53%"
"2020-09-04",732,"2020-09-16",19,20,535,742,12,".48%"
"2020-09-05",762,"2020-09-18",19,22,557,772,13,"1.4%"
"2020-09-06",776,"2020-09-19",19,23,581,805,13,"1.79%"
"2020-09-07",803,"2020-09-19",19,23,593,805,12,"1.89%"
"2020-09-08",839,"2020-09-20",19,24,606,840,12,"2.14%"
"2020-09-09",872,"2020-09-23",19,28,612,901,14,"3.11%"
"2020-09-10",910,"2020-09-24",19,30,633,946,14,"3.51%"
"2020-09-11",960,"2020-09-25",20,32,655,1023,14,"3.26%"
"2020-09-12",1008,"2020-09-25",20,32,670,1023,13,"3.4%"
"2020-09-13",1078,"2020-09-28",20,33,687,1098,15,"3.16%"
"2020-09-14",1103,"2020-09-29",20,33,712,1131,15,"3.1%"
"2020-09-15",1114,"2020-09-29",20,33,729,1131,14,"3.23%"
"2020-09-16",1160,"2020-10-01",20,33,742,1173,15,"3.02%"
"2020-09-17",1214,"2020-10-03",21,35,756,1234,16,"2.93%"
"2020-09-18",1257,"2020-10-04",22,37,772,1259,16,"3.08%"
"2020-09-19",1311,"2020-10-06",23,39,805,1318,17,"3.12%"
"2020-09-20",1366,"2020-10-08",24,41,840,1397,18,"3.05%"
"2020-09-21",1380,"2020-10-08",25,41,855,1397,17,"2.95%"
"2020-09-22",1400,"2020-10-09",26,41,870,1424,17,"2.71%"
"2020-09-23",1423,"2020-10-09",28,41,901,1424,16,"2.49%"
"2020-09-24",1460,"2020-10-10",30,42,946,1472,16,"2.28%"
"2020-09-25",1485,"2020-10-11",32,43,1023,1502,16,"2.3%"
"2020-09-26",1526,"2020-10-12",33,44,1061,1527,16,"2.36%"
"2020-09-27",1567,"2020-10-13",33,45,1073,1574,16,"2.4%"
