"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-02-08",1757,"2021-04-01",20,20,1705,1760,52,"0.%"
"2021-02-09",1759,"2021-04-01",20,20,1705,1760,51,"0.%"
"2021-02-10",1760,"2021-04-01",20,20,1705,1760,50,"0.%"
"2021-02-11",1760,"2021-04-01",20,20,1706,1760,49,"0.%"
"2021-02-13",1761,"2021-04-02",20,20,1708,1767,48,"0.%"
"2021-02-14",1762,"2021-04-02",20,20,1708,1767,47,"0.%"
"2021-02-16",1762,"2021-04-02",20,20,1713,1767,45,"0.%"
"2021-02-17",1763,"2021-04-02",20,20,1713,1767,44,"0.%"
"2021-02-18",1764,"2021-04-02",20,20,1713,1767,43,"0.%"
"2021-02-19",1766,"2021-04-02",20,20,1713,1767,42,"0.%"
"2021-02-21",1766,"2021-04-02",20,20,1714,1767,40,"0.%"
"2021-02-22",1766,"2021-04-02",20,20,1715,1767,39,"0.%"
"2021-02-24",1766,"2021-04-02",20,20,1718,1767,37,"0.%"
"2021-02-25",1767,"2021-04-02",20,20,1718,1767,36,"0.%"
"2021-02-26",1768,"2021-04-03",20,20,1719,1777,36,"0.%"
"2021-03-02",1769,"2021-04-03",20,20,1720,1777,32,"0.%"
"2021-03-03",1769,"2021-04-03",20,20,1722,1777,31,"0.%"
"2021-03-08",1772,"2021-04-03",20,20,1722,1777,26,"0.%"
"2021-03-09",1773,"2021-04-03",20,20,1722,1777,25,"0.%"
"2021-03-10",1774,"2021-04-03",20,20,1723,1777,24,"0.%"
"2021-03-11",1775,"2021-04-03",20,20,1723,1777,23,"0.%"
"2021-03-14",1778,"2021-04-04",20,20,1724,1779,21,"0.%"
"2021-03-16",1780,"2021-04-06",20,20,1724,1782,21,"0.%"
"2021-03-17",1783,"2021-04-07",20,20,1728,1785,21,"0.%"
"2021-03-18",1786,"2021-04-08",20,20,1729,1803,21,"0.%"
"2021-03-19",1789,"2021-04-08",20,20,1729,1803,20,"0.%"
"2021-03-20",1797,"2021-04-08",20,20,1729,1803,19,"0.%"
"2021-03-21",1804,"2021-04-09",20,21,1730,1812,19,"1.22%"
"2021-03-22",1805,"2021-04-09",20,21,1730,1812,18,"1.22%"
"2021-03-23",1808,"2021-04-09",20,21,1733,1812,17,"1.27%"
"2021-03-24",1812,"2021-04-09",20,21,1734,1812,16,"1.28%"
"2021-03-25",1820,"2021-04-11",20,21,1734,1826,17,"1.09%"
"2021-03-26",1826,"2021-04-11",20,21,1734,1826,16,"1.09%"
"2021-03-27",1839,"2021-04-13",20,21,1737,1853,17,".86%"
"2021-03-28",1849,"2021-04-13",20,21,1737,1853,16,".86%"
"2021-03-29",1853,"2021-04-13",20,21,1740,1853,15,".88%"
"2021-03-30",1854,"2021-04-14",20,21,1743,1856,15,".88%"
"2021-03-31",1857,"2021-04-16",20,21,1756,1891,16,".74%"
"2021-04-01",1864,"2021-04-16",20,21,1760,1891,15,".76%"
"2021-04-02",1871,"2021-04-16",20,21,1767,1891,14,".81%"
"2021-04-03",1882,"2021-04-16",20,21,1777,1891,13,".88%"
"2021-04-04",1897,"2021-04-17",20,21,1779,1979,13,".5%"
"2021-04-05",1908,"2021-04-17",20,21,1779,1979,12,".5%"
"2021-04-06",1932,"2021-04-17",20,21,1782,1979,11,".51%"
"2021-04-07",1954,"2021-04-17",20,21,1785,1979,10,".52%"
"2021-04-08",1973,"2021-04-17",20,21,1803,1979,9,".57%"
