"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-17",1527,"2020-07-29",7,12,743,1570,12,".6%"
"2020-07-18",1578,"2020-07-30",7,12,832,1619,12,".64%"
"2020-07-19",1638,"2020-07-31",7,12,916,1682,12,".65%"
"2020-07-20",1706,"2020-08-01",8,13,952,1728,12,".64%"
"2020-07-21",1755,"2020-08-02",8,13,1028,1794,12,".65%"
"2020-07-22",1798,"2020-08-03",9,13,1090,1843,12,".53%"
"2020-07-23",1858,"2020-08-04",10,13,1141,1924,12,".38%"
"2020-07-24",1921,"2020-08-04",10,13,1176,1924,11,".4%"
"2020-07-25",1950,"2020-08-05",10,13,1258,1966,11,".42%"
"2020-07-26",1978,"2020-08-06",10,14,1326,2026,11,".57%"
"2020-07-27",2037,"2020-08-07",11,15,1464,2093,11,".64%"
"2020-07-28",2088,"2020-08-07",11,15,1518,2093,10,".7%"
"2020-07-29",2167,"2020-08-08",12,15,1570,2171,10,".5%"
"2020-07-30",2211,"2020-08-09",12,15,1619,2240,10,".48%"
"2020-07-31",2250,"2020-08-10",12,17,1682,2294,10,".82%"
"2020-08-01",2302,"2020-08-11",13,18,1728,2356,10,".8%"
"2020-08-02",2431,"2020-08-12",13,20,1794,2440,10,"1.08%"
"2020-08-03",2507,"2020-08-14",13,21,1843,2562,11,"1.11%"
"2020-08-04",2590,"2020-08-15",13,22,1924,2604,11,"1.32%"
"2020-08-05",2659,"2020-08-17",13,24,1966,2716,12,"1.47%"
"2020-08-06",2748,"2020-08-18",14,25,2026,2793,12,"1.43%"
"2020-08-07",2774,"2020-08-18",15,25,2093,2793,11,"1.43%"
"2020-08-08",2809,"2020-08-19",15,27,2171,2841,11,"1.79%"
"2020-08-09",2885,"2020-08-20",15,27,2240,2929,11,"1.74%"
"2020-08-10",2975,"2020-08-21",17,28,2294,3004,11,"1.55%"
"2020-08-11",3064,"2020-08-22",18,31,2356,3079,11,"1.8%"
"2020-08-12",3100,"2020-08-23",20,34,2440,3159,11,"1.95%"
