"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-13",3144,"2021-04-12",28,28,3081,3160,30,"0.%"
"2021-03-14",3145,"2021-04-12",28,28,3081,3160,29,"0.%"
"2021-03-16",3150,"2021-04-12",28,28,3081,3160,27,"0.%"
"2021-03-17",3153,"2021-04-12",28,28,3081,3160,26,"0.%"
"2021-03-18",3155,"2021-04-12",28,28,3081,3160,25,"0.%"
"2021-03-19",3156,"2021-04-12",28,28,3082,3160,24,"0.%"
"2021-03-20",3158,"2021-04-12",28,28,3092,3160,23,"0.%"
"2021-03-21",3159,"2021-04-12",28,28,3093,3160,22,"0.%"
"2021-03-22",3160,"2021-04-12",28,28,3094,3160,21,"0.%"
"2021-03-23",3161,"2021-04-13",28,28,3097,3172,21,"0.%"
"2021-03-24",3162,"2021-04-13",28,28,3097,3172,20,"0.%"
"2021-03-25",3163,"2021-04-13",28,28,3098,3172,19,"0.%"
"2021-03-26",3165,"2021-04-13",28,28,3102,3172,18,"0.%"
"2021-03-27",3173,"2021-04-14",28,28,3106,3178,18,"0.%"
"2021-03-29",3184,"2021-04-15",28,28,3107,3195,17,"0.%"
"2021-03-30",3185,"2021-04-15",28,28,3109,3195,16,"0.%"
"2021-03-31",3188,"2021-04-15",28,28,3110,3195,15,"0.%"
"2021-04-02",3191,"2021-04-15",28,28,3111,3195,13,"0.%"
"2021-04-03",3197,"2021-04-16",28,28,3113,3205,13,"0.%"
"2021-04-04",3207,"2021-04-17",28,28,3114,3226,13,"0.%"
"2021-04-05",3221,"2021-04-17",28,28,3123,3226,12,"0.%"
"2021-04-06",3236,"2021-04-18",28,28,3129,3272,12,"0.%"
"2021-04-07",3251,"2021-04-18",28,28,3133,3272,11,"0.%"
"2021-04-08",3269,"2021-04-18",28,28,3135,3272,10,"0.%"
"2021-04-09",3277,"2021-04-19",28,29,3138,3303,10,".61%"
"2021-04-10",3289,"2021-04-19",28,29,3140,3303,9,".61%"
"2021-04-11",3303,"2021-04-19",28,29,3141,3303,8,".62%"
"2021-04-12",3326,"2021-04-20",28,30,3160,3362,8,".99%"
"2021-04-13",3411,"2021-04-22",28,32,3172,3426,9,"1.57%"
"2021-04-14",3498,"2021-04-24",28,32,3178,3553,10,"1.07%"
"2021-04-15",3557,"2021-04-25",28,34,3195,3670,10,"1.26%"
"2021-04-16",3624,"2021-04-25",28,34,3205,3670,9,"1.29%"
"2021-04-17",3690,"2021-04-26",28,36,3226,3857,9,"1.27%"
"2021-04-18",3836,"2021-04-26",28,36,3272,3857,8,"1.37%"
"2021-04-19",4029,"2021-04-27",29,36,3303,4047,8,".94%"
"2021-04-20",4212,"2021-04-29",30,39,3362,4423,9,".85%"
"2021-04-21",4357,"2021-04-29",30,39,3376,4423,8,".86%"
"2021-04-22",4543,"2021-04-30",32,42,3426,4602,8,".85%"
"2021-04-23",4775,"2021-05-01",32,42,3496,4811,8,".76%"
"2021-04-24",5020,"2021-05-03",32,50,3553,5229,9,"1.07%"
"2021-04-25",5223,"2021-05-03",34,50,3670,5229,8,"1.03%"
"2021-04-26",5406,"2021-05-04",36,53,3857,5430,8,"1.08%"
"2021-04-27",5602,"2021-05-06",36,53,4047,5737,9,"1.01%"
"2021-04-28",5694,"2021-05-06",39,53,4188,5737,8,".9%"
"2021-04-29",5847,"2021-05-09",39,54,4423,5951,10,".98%"
"2021-04-30",6013,"2021-05-10",42,54,4602,6095,10,".8%"
"2021-05-01",6156,"2021-05-11",42,54,4811,6224,10,".85%"
"2021-05-02",6286,"2021-05-12",47,54,5004,6426,10,".49%"
"2021-05-03",6495,"2021-05-14",50,54,5229,6509,11,".31%"
"2021-05-04",6579,"2021-05-15",53,57,5430,6678,11,".32%"
"2021-05-05",6747,"2021-05-16",53,60,5552,6795,11,".56%"
"2021-05-06",6857,"2021-05-17",53,63,5737,6904,11,".86%"
"2021-05-07",6969,"2021-05-18",54,66,5777,7030,11,".96%"
"2021-05-08",7100,"2021-05-19",54,69,5802,7132,11,"1.13%"
"2021-05-09",7203,"2021-05-20",54,72,5951,7256,11,"1.38%"
"2021-05-10",7308,"2021-05-21",54,75,6095,7327,11,"1.7%"
"2021-05-11",7385,"2021-05-23",54,77,6224,7432,12,"1.9%"
"2021-05-12",7442,"2021-05-24",54,77,6426,7471,12,"2.2%"
"2021-05-13",7496,"2021-05-25",54,77,6441,7511,12,"2.15%"
"2021-05-14",7542,"2021-05-27",54,77,6509,7607,13,"2.09%"
"2021-05-15",7590,"2021-05-27",57,77,6678,7607,12,"2.15%"
"2021-05-16",7626,"2021-05-28",60,77,6795,7633,12,"2.03%"
"2021-05-17",7668,"2021-05-30",63,77,6904,7713,13,"1.73%"
"2021-05-18",7696,"2021-05-30",66,77,7030,7713,12,"1.61%"
"2021-05-19",7723,"2021-05-31",69,77,7132,7731,12,"1.34%"
"2021-05-20",7785,"2021-06-02",72,77,7256,7809,13,".9%"
"2021-05-21",7807,"2021-06-02",75,77,7327,7809,12,".41%"
