"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-23",116,"2020-08-04",1,1,40,121,12,"0.%"
"2020-07-24",124,"2020-08-05",1,1,44,142,12,"0.%"
"2020-07-25",129,"2020-08-05",1,1,46,142,11,"0.%"
"2020-07-26",137,"2020-08-05",1,1,49,142,10,"0.%"
"2020-07-27",145,"2020-08-07",1,1,59,151,11,"0.%"
"2020-07-28",145,"2020-08-07",1,1,78,151,10,"0.%"
"2020-07-29",148,"2020-08-07",1,1,91,151,9,"0.%"
"2020-07-30",165,"2020-08-09",1,1,91,167,10,"0.%"
"2020-07-31",165,"2020-08-09",1,1,96,167,9,"0.%"
"2020-08-01",165,"2020-08-09",1,1,98,167,8,"0.%"
"2020-08-02",179,"2020-08-11",1,2,104,179,9,"1.33%"
"2020-08-03",183,"2020-08-12",1,2,107,183,9,"1.32%"
"2020-08-04",195,"2020-08-14",1,2,121,204,10,"1.2%"
"2020-08-05",207,"2020-08-15",1,2,142,213,10,"1.41%"
"2020-08-06",212,"2020-08-15",1,2,144,213,9,"1.45%"
"2020-08-07",216,"2020-08-16",1,2,151,222,9,"1.41%"
"2020-08-08",233,"2020-08-18",1,2,164,244,10,"1.25%"
"2020-08-09",233,"2020-08-18",1,2,167,244,9,"1.3%"
"2020-08-10",240,"2020-08-18",2,2,173,244,8,"0.%"
"2020-08-11",242,"2020-08-18",2,2,179,244,7,"0.%"
"2020-08-12",248,"2020-08-20",2,2,183,248,8,"0.%"
"2020-08-13",258,"2020-08-22",2,2,185,260,9,"0.%"
"2020-08-14",261,"2020-08-23",2,2,204,262,9,"0.%"
"2020-08-15",263,"2020-08-24",2,2,213,265,9,"0.%"
"2020-08-16",263,"2020-08-24",2,2,222,265,8,"0.%"
"2020-08-17",272,"2020-08-25",2,2,227,273,8,"0.%"
"2020-08-18",290,"2020-08-27",2,2,244,291,9,"0.%"
"2020-08-19",292,"2020-08-28",2,3,246,304,9,"1.72%"
"2020-08-20",294,"2020-08-28",2,3,248,304,8,"1.79%"
"2020-08-21",307,"2020-08-29",2,3,253,308,8,"1.82%"
"2020-08-22",311,"2020-08-30",2,3,260,312,8,"1.92%"
"2020-08-23",313,"2020-08-31",2,3,262,321,8,"1.69%"
"2020-08-24",321,"2020-08-31",2,3,265,321,7,"1.79%"
"2020-08-25",332,"2020-09-01",2,3,273,333,7,"1.67%"
