"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-01-22",2825,"2021-03-13",35,35,2735,2833,50,"0.%"
"2021-01-23",2826,"2021-03-13",35,35,2736,2833,49,"0.%"
"2021-01-24",2835,"2021-03-14",35,35,2740,2839,49,"0.%"
"2021-01-25",2836,"2021-03-14",35,35,2743,2839,48,"0.%"
"2021-01-26",2837,"2021-03-14",35,35,2743,2839,47,"0.%"
"2021-01-27",2839,"2021-03-14",35,35,2745,2839,46,"0.%"
"2021-01-28",2840,"2021-03-15",35,35,2747,2840,46,"0.%"
"2021-01-29",2841,"2021-03-16",35,35,2752,2846,46,"0.%"
"2021-01-30",2841,"2021-03-16",35,35,2754,2846,45,"0.%"
"2021-01-31",2842,"2021-03-16",35,35,2759,2846,44,"0.%"
"2021-02-01",2845,"2021-03-16",35,35,2760,2846,43,"0.%"
"2021-02-02",2845,"2021-03-16",35,35,2763,2846,42,"0.%"
"2021-02-03",2846,"2021-03-16",35,35,2770,2846,41,"0.%"
"2021-02-05",2850,"2021-03-18",35,35,2772,2854,41,"0.%"
"2021-02-06",2851,"2021-03-18",35,35,2774,2854,40,"0.%"
"2021-02-07",2853,"2021-03-18",35,35,2775,2854,39,"0.%"
"2021-02-09",2854,"2021-03-18",35,35,2777,2854,37,"0.%"
"2021-02-10",2855,"2021-03-22",35,35,2778,2858,40,"0.%"
"2021-02-11",2855,"2021-03-22",35,35,2779,2858,39,"0.%"
"2021-02-14",2857,"2021-03-22",35,35,2783,2858,36,"0.%"
"2021-02-15",2857,"2021-03-22",35,35,2784,2858,35,"0.%"
"2021-02-16",2858,"2021-03-22",35,35,2784,2858,34,"0.%"
"2021-02-17",2858,"2021-03-22",35,35,2786,2858,33,"0.%"
"2021-02-18",2862,"2021-03-23",35,35,2788,2863,33,"0.%"
"2021-02-19",2862,"2021-03-23",35,35,2789,2863,32,"0.%"
"2021-02-20",2863,"2021-03-23",35,35,2789,2863,31,"0.%"
"2021-02-21",2866,"2021-03-24",35,35,2789,2866,31,"0.%"
"2021-02-23",2868,"2021-03-25",35,35,2789,2878,30,"0.%"
